"","bhat.Donor.mu"
"modmat.donorrecipientfit:DonorAC_002",3.80861934513379
"modmat.donorrecipientfit:DonorAC_007",4.38109286431034
"modmat.donorrecipientfit:DonorAC_008",3.00131018426533
"modmat.donorrecipientfit:DonorAC_015",5.44230267770604
"modmat.donorrecipientfit:DonorAC_039",2.41048165788478
"modmat.donorrecipientfit:DonorAC_045",2.280818786904
"modmat.donorrecipientfit:DonorAC_047",2.24489360892306
"modmat.donorrecipientfit:DonorAC_052",3.17814064005048
"modmat.donorrecipientfit:DonorAC_054",3.25806717415168
"modmat.donorrecipientfit:DonorAC_061",3.13731336566501
"modmat.donorrecipientfit:DonorAC_064",2.77836055466447
"modmat.donorrecipientfit:DonorAC_068",2.71472513646233
"modmat.donorrecipientfit:DonorAC_071",2.99680965868679
"modmat.donorrecipientfit:DonorAC_089",2.81606976298844
"modmat.donorrecipientfit:DonorAC_091",2.99961851352814
"modmat.donorrecipientfit:DonorAC_094",3.94366805943278
"modmat.donorrecipientfit:DonorAC_096",2.61554822766723
"modmat.donorrecipientfit:DonorAC_097",3.66075856996034
"modmat.donorrecipientfit:DonorAC_102",2.45184633362317
"modmat.donorrecipientfit:DonorAC_103",2.39079210731934
"modmat.donorrecipientfit:DonorAC_107",2.83707882850423
"modmat.donorrecipientfit:DonorAC_124",2.50799148469688
"modmat.donorrecipientfit:DonorAC_125",2.52225472054984
"modmat.donorrecipientfit:DonorAC_150",3.24193594802132
"modmat.donorrecipientfit:DonorAC_156",2.38193842001752
"modmat.donorrecipientfit:DonorAC_159",2.47555006940637
"modmat.donorrecipientfit:DonorAC_160",2.52770935576295
"modmat.donorrecipientfit:DonorAC_161",2.45014012489632
"modmat.donorrecipientfit:DonorAC_165",3.11044746087639
"modmat.donorrecipientfit:DonorAC_168",2.3603881032067
"modmat.donorrecipientfit:DonorAC_169",2.22739589887154
"modmat.donorrecipientfit:DonorAC_170",3.4966987495579
"modmat.donorrecipientfit:DonorAC_172",2.99608898589083
"modmat.donorrecipientfit:DonorAC_177",3.50110839969466
"modmat.donorrecipientfit:DonorAC_179",3.01660035023199
"modmat.donorrecipientfit:DonorAC_186",3.48245294214062
"modmat.donorrecipientfit:DonorAC_195",2.48057149997589
"modmat.donorrecipientfit:DonorAC_198",2.29936632301222
"modmat.donorrecipientfit:DonorAC_207",3.13861885135709
"modmat.donorrecipientfit:DonorAC_216",2.84602663328927
