"","bhat.donor.mu"
"modmat.donorrecipientfit:DonorBB_001",30.9611744059587
"modmat.donorrecipientfit:DonorBB_005",12.1593090658435
"modmat.donorrecipientfit:DonorBB_011",17.4901637654817
"modmat.donorrecipientfit:DonorBB_014",23.6176433241331
"modmat.donorrecipientfit:DonorBB_015",15.1625060340471
"modmat.donorrecipientfit:DonorBB_023",11.831020274671
"modmat.donorrecipientfit:DonorBB_026",17.2253922685893
"modmat.donorrecipientfit:DonorBB_028",24.3624256414488
"modmat.donorrecipientfit:DonorBB_038",21.1063565915798
"modmat.donorrecipientfit:DonorBB_047",15.0830679903864
"modmat.donorrecipientfit:DonorBB_051",16.4470331560222
"modmat.donorrecipientfit:DonorBB_055",26.3752564685348
"modmat.donorrecipientfit:DonorBB_057",21.8701847723435
"modmat.donorrecipientfit:DonorBB_065",21.875707415996
"modmat.donorrecipientfit:DonorBB_066",23.4049009184074
"modmat.donorrecipientfit:DonorBB_073",11.9118437576912
"modmat.donorrecipientfit:DonorBB_075",18.6645267835893
"modmat.donorrecipientfit:DonorBB_091",12.0921029163451
"modmat.donorrecipientfit:DonorBB_099",16.2485087440476
"modmat.donorrecipientfit:DonorBB_100",17.380190320484
"modmat.donorrecipientfit:DonorBB_107",21.2847431181377
"modmat.donorrecipientfit:DonorBB_108",15.3330414419349
"modmat.donorrecipientfit:DonorBB_115",18.7428814569974
"modmat.donorrecipientfit:DonorBB_122",14.3884518807327
"modmat.donorrecipientfit:DonorBB_125",19.3007061227626
"modmat.donorrecipientfit:DonorBB_130",14.8042014286196
"modmat.donorrecipientfit:DonorBB_141",20.6180115424028
"modmat.donorrecipientfit:DonorBB_142",13.7598795208273
"modmat.donorrecipientfit:DonorBB_144",11.4719732701338
"modmat.donorrecipientfit:DonorBB_162",12.2038867354426
"modmat.donorrecipientfit:DonorBB_167",20.9775892696796
"modmat.donorrecipientfit:DonorBB_168",17.4754150951081
"modmat.donorrecipientfit:DonorBB_169",15.7432356666303
"modmat.donorrecipientfit:DonorBB_171",14.3954389107157
"modmat.donorrecipientfit:DonorBB_173",20.2726918128064
"modmat.donorrecipientfit:DonorBB_174",17.9381174083395
"modmat.donorrecipientfit:DonorBB_175",20.9165291561868
"modmat.donorrecipientfit:DonorBB_176",20.9331703375239
"modmat.donorrecipientfit:DonorBB_177",17.5570668397635
"modmat.donorrecipientfit:DonorBB_182",21.5917821865863
"modmat.donorrecipientfit:DonorBB_188",12.4902399942993
"modmat.donorrecipientfit:DonorBB_194",14.9077662582092
"modmat.donorrecipientfit:DonorBB_196",22.8087593718232
"modmat.donorrecipientfit:DonorBB_197",27.3713551656228
"modmat.donorrecipientfit:DonorBB_198",17.4895690852754
"modmat.donorrecipientfit:DonorBB_202",17.0936588997435
"modmat.donorrecipientfit:DonorBB_213",23.4488074456637
"modmat.donorrecipientfit:DonorBB_215",17.7486995509867
"modmat.donorrecipientfit:DonorBB_217",18.4919328379626
