"","bhat.donor.mu"
"modmat.donorrecipientfit:DonorBO_001",3.38826292033894
"modmat.donorrecipientfit:DonorBO_005",3.19744420857088
"modmat.donorrecipientfit:DonorBO_013",2.73183747314335
"modmat.donorrecipientfit:DonorBO_022",3.086981935712
"modmat.donorrecipientfit:DonorBO_029",2.59287024461522
"modmat.donorrecipientfit:DonorBO_032",2.57904208494964
"modmat.donorrecipientfit:DonorBO_033",4.19183691231744
"modmat.donorrecipientfit:DonorBO_038",2.70212551788538
"modmat.donorrecipientfit:DonorBO_039",2.8166801031079
"modmat.donorrecipientfit:DonorBO_040",2.95085143131813
"modmat.donorrecipientfit:DonorBO_058",2.8052119181398
"modmat.donorrecipientfit:DonorBO_065",3.56755689259706
"modmat.donorrecipientfit:DonorBO_069",2.92016382916239
"modmat.donorrecipientfit:DonorBO_070",2.85199949213829
"modmat.donorrecipientfit:DonorBO_073",2.9552164930657
"modmat.donorrecipientfit:DonorBO_074",3.45173789593684
"modmat.donorrecipientfit:DonorBO_088",3.01422965106084
"modmat.donorrecipientfit:DonorBO_096",2.54773296157795
"modmat.donorrecipientfit:DonorBO_101",2.73822776337495
"modmat.donorrecipientfit:DonorBO_106",2.60947628532719
"modmat.donorrecipientfit:DonorBO_109",3.1944484390084
"modmat.donorrecipientfit:DonorBO_119",2.65295208238861
"modmat.donorrecipientfit:DonorBO_128",3.25469742169241
"modmat.donorrecipientfit:DonorBO_130",3.10138792922431
"modmat.donorrecipientfit:DonorBO_143",2.97162634355488
"modmat.donorrecipientfit:DonorBO_149",3.16293895113828
"modmat.donorrecipientfit:DonorBO_151",2.61639486170208
"modmat.donorrecipientfit:DonorBO_153",2.77636787948839
"modmat.donorrecipientfit:DonorBO_162",3.24969782164024
"modmat.donorrecipientfit:DonorBO_163",3.48896382631913
"modmat.donorrecipientfit:DonorBO_168",3.31060672697191
"modmat.donorrecipientfit:DonorBO_170",3.38445813744976
"modmat.donorrecipientfit:DonorBO_173",2.66220737318849
"modmat.donorrecipientfit:DonorBO_177",4.48113308893051
"modmat.donorrecipientfit:DonorBO_183",4.09512125061596
"modmat.donorrecipientfit:DonorBO_185",2.77834336695846
"modmat.donorrecipientfit:DonorBO_187",3.71217502681524
"modmat.donorrecipientfit:DonorBO_188",3.72671358351918
"modmat.donorrecipientfit:DonorBO_189",3.09476302257033
"modmat.donorrecipientfit:DonorBO_192",2.74928886235373
"modmat.donorrecipientfit:DonorBO_194",2.7149640868854
"modmat.donorrecipientfit:DonorBO_198",2.73503159955774
"modmat.donorrecipientfit:DonorBO_199",3.37983315698627
"modmat.donorrecipientfit:DonorBO_201",3.60206071518927
