"","bhat.donor.mu"
"modmat.donorrecipientfit:DonorHR_002",1.59900229910346
"modmat.donorrecipientfit:DonorHR_005",1.40979233804415
"modmat.donorrecipientfit:DonorHR_006",1.52983360100892
"modmat.donorrecipientfit:DonorHR_008",1.58521812263313
"modmat.donorrecipientfit:DonorHR_027",1.30895369069511
"modmat.donorrecipientfit:DonorHR_034",1.61255917701697
"modmat.donorrecipientfit:DonorHR_053",1.54227289844264
"modmat.donorrecipientfit:DonorHR_057",2.04734741775178
"modmat.donorrecipientfit:DonorHR_059",1.73436527645444
"modmat.donorrecipientfit:DonorHR_062",1.52787407324236
"modmat.donorrecipientfit:DonorHR_064",1.81962237096586
"modmat.donorrecipientfit:DonorHR_066",2.13135051428872
"modmat.donorrecipientfit:DonorHR_069",2.09990187371116
"modmat.donorrecipientfit:DonorHR_070",1.30834233773534
"modmat.donorrecipientfit:DonorHR_074",3.23208224924774
"modmat.donorrecipientfit:DonorHR_085",1.64463060320534
"modmat.donorrecipientfit:DonorHR_088",2.08741572163746
"modmat.donorrecipientfit:DonorHR_090",1.39636312533873
"modmat.donorrecipientfit:DonorHR_095",2.09314969589511
"modmat.donorrecipientfit:DonorHR_100",1.87005280365101
"modmat.donorrecipientfit:DonorHR_108",1.79752168205358
"modmat.donorrecipientfit:DonorHR_110",1.73673156683804
"modmat.donorrecipientfit:DonorHR_115",1.51713995624783
"modmat.donorrecipientfit:DonorHR_121",1.3796883157225
"modmat.donorrecipientfit:DonorHR_125",1.81155463244483
"modmat.donorrecipientfit:DonorHR_131",1.77331495431024
"modmat.donorrecipientfit:DonorHR_133",1.6671246358413
"modmat.donorrecipientfit:DonorHR_135",1.21276183601161
"modmat.donorrecipientfit:DonorHR_139",1.72644191385257
"modmat.donorrecipientfit:DonorHR_141",1.46221467005743
"modmat.donorrecipientfit:DonorHR_147",2.15468971360859
"modmat.donorrecipientfit:DonorHR_148",1.8211507850052
"modmat.donorrecipientfit:DonorHR_149",1.62253098523725
"modmat.donorrecipientfit:DonorHR_155",1.67588115908039
"modmat.donorrecipientfit:DonorHR_156",1.60960724774886
"modmat.donorrecipientfit:DonorHR_157",1.93780644373251
"modmat.donorrecipientfit:DonorHR_160",2.26405137478415
"modmat.donorrecipientfit:DonorHR_164",1.41162396047027
"modmat.donorrecipientfit:DonorHR_168",1.41288649707117
"modmat.donorrecipientfit:DonorHR_171",2.49451926575606
"modmat.donorrecipientfit:DonorHR_175",1.40987271427138
"modmat.donorrecipientfit:DonorHR_180",1.89321453714786
"modmat.donorrecipientfit:DonorHR_189",1.42141680033522
"modmat.donorrecipientfit:DonorHR_195",2.48169133258517
"modmat.donorrecipientfit:DonorHR_196",1.67176900855511
"modmat.donorrecipientfit:DonorHR_200",1.52327996862397
