"","bhat.donor.mu"
"modmat.donorrecipientfit:DonorBO_001",0.94033352718927
"modmat.donorrecipientfit:DonorBO_005",0.804113967578355
"modmat.donorrecipientfit:DonorBO_013",0.489545902660592
"modmat.donorrecipientfit:DonorBO_022",0.723390727931397
"modmat.donorrecipientfit:DonorBO_029",0.469719312538503
"modmat.donorrecipientfit:DonorBO_032",0.459892447768488
"modmat.donorrecipientfit:DonorBO_033",0.880678148471274
"modmat.donorrecipientfit:DonorBO_038",0.530690313638759
"modmat.donorrecipientfit:DonorBO_039",0.58522312493966
"modmat.donorrecipientfit:DonorBO_040",0.625023014185682
"modmat.donorrecipientfit:DonorBO_058",0.51023793257959
"modmat.donorrecipientfit:DonorBO_065",0.726335848778807
"modmat.donorrecipientfit:DonorBO_069",0.668581116322178
"modmat.donorrecipientfit:DonorBO_070",0.562665199339527
"modmat.donorrecipientfit:DonorBO_073",0.670278391940595
"modmat.donorrecipientfit:DonorBO_074",0.924150152423076
"modmat.donorrecipientfit:DonorBO_088",0.714698785404215
"modmat.donorrecipientfit:DonorBO_096",0.450142008264162
"modmat.donorrecipientfit:DonorBO_101",0.520074582644993
"modmat.donorrecipientfit:DonorBO_106",0.450142008264162
"modmat.donorrecipientfit:DonorBO_109",0.624256355191844
"modmat.donorrecipientfit:DonorBO_119",0.469719312538503
"modmat.donorrecipientfit:DonorBO_128",0.705817806191948
"modmat.donorrecipientfit:DonorBO_130",0.703497182036026
"modmat.donorrecipientfit:DonorBO_143",0.603703036249049
"modmat.donorrecipientfit:DonorBO_149",0.725766827074074
"modmat.donorrecipientfit:DonorBO_151",0.50950517483341
"modmat.donorrecipientfit:DonorBO_153",0.520460497157028
"modmat.donorrecipientfit:DonorBO_162",0.783449820851972
"modmat.donorrecipientfit:DonorBO_163",0.838493526127905
"modmat.donorrecipientfit:DonorBO_168",0.712615320245634
"modmat.donorrecipientfit:DonorBO_170",0.666368890187592
"modmat.donorrecipientfit:DonorBO_173",0.489545902660592
"modmat.donorrecipientfit:DonorBO_177",1.09267336830451
"modmat.donorrecipientfit:DonorBO_183",1.08266896329881
"modmat.donorrecipientfit:DonorBO_185",0.539433544251965
"modmat.donorrecipientfit:DonorBO_187",0.834806118316105
"modmat.donorrecipientfit:DonorBO_188",0.947101166937974
"modmat.donorrecipientfit:DonorBO_189",0.6014245325485
"modmat.donorrecipientfit:DonorBO_192",0.529478247763206
"modmat.donorrecipientfit:DonorBO_194",0.479763700077667
"modmat.donorrecipientfit:DonorBO_198",0.541337393386685
"modmat.donorrecipientfit:DonorBO_199",0.775979368021297
"modmat.donorrecipientfit:DonorBO_201",0.866069443506258
