Pop	FamFixed	Fam	Seed	Rep	Row	Col	Surv306	BoltDate	FlowerDate	Diam1_306	Diam2_306	Area_306	ShootHt306	S06TotalShoots	S06TotalShootsZ	S06Flowered	S06SampledShoots	AfterColl(1/0)	S06AdjSiliques	S06TotalSiliques	S06CollSiliques	S06SilPerShoot	S06Seeds	S06SeedPerSil	S06SeedWt	S06WtPer100	ReprodOutput	ReprodOutputZ	CollDate	Surv606	Shoots606	Flowering606	Diam1_606	Diam2_606	Area_606	dDiam1	dDiam2	dArea	Surv1106	Diam1_1206	Diam2_1206	Final
F2	A	A	1	R6	9	AF	1	38783	38793	104	85	8840	55	49	49	1	3	1	66	66	10	22	151	15.1	24.2	16.02649007	16277.8	16277.8	38869	1	0	0	90	50	4500	-14	-35	-4340	0			1
F2	A	A	2	R6	12	AH	1	38783	38783	80	73	5840	12	7	7	1	3	1	60	58	6	20	62	10.33333333	2.6	4.193548387	1446.666667	1446.666667	38863	0									0			2
F2	A	A	3	R6	8	AH	1	38783	38793	118	117	13806	42	65	65	1	3	1	52	52	10	17.33333333	154	15.4	10.4	6.753246753	17350.66667	17350.66667	38868	1	0	0	70	40	2800	-48	-77	-11006	0			3
F2	A	A	4	R6	6	AG	1	38783	38786	82	80	6560	15	20	20	1	3	1	30	29	10	10	56	5.6	4.4	7.857142857	1120	1120	38868	1	0	0	95	70	6650	13	-10	90	0			4
F2	A	A	5	R6	2	AG	1	38783	38807	95	87	8265	30	18	18	1	3	1	34	33	10	11.33333333	136	13.6	22.9	16.83823529	2774.4	2774.4	38868	1	0	0	70	50	3500	-25	-37	-4765	1	62	50	5
F2	A	A	6	R6	7	AE	1	38783	38786	75	72	5400	5	16	16	1	3	1	46	44	12	15.33333333	162	13.5	19.6	12.09876543	3312	3312	38861	1	0	0	80	40	3200	5	-32	-2200	1	45	41	6
F2	A	A	7	R6	23	AH	1	38789	38811	159	148	23532	114	32	32	1	3	1	73	73	10	24.33333333	103	10.3	21.9	21.26213592	8020.266667	8020.266667	38863	1	0	0	80	50	4000	-79	-98	-19532	0			7
F2	A	A	8	R6	20	AH	1	38783	38783	87	85	7395	10	17	17	1	3	1	29	28	10	9.666666667	132	13.2	21	15.90909091	2169.2	2169.2	38863	1	0	0	100	60	6000	13	-25	-1395	0			8
F2	A	A	9	R6	10	AG	1	38789	38824	98	97	9506	58	12	12	1	3	1	23	22	7	7.666666667	35	5	2.5	7.142857143	460	460	38863	1	0	0	70	40	2800	-28	-57	-6706	0			9
F2	A	A	10	R6	9	AH	1	38783	38786	72	63	4536	9	19	19	1	3	1	62	61	10	20.66666667	75	7.5	6	8	2945	2945	38863	1	0	0	60	40	2400	-12	-23	-2136	1	33	12	10
F2	A	A	11	R6	4	AG	1	38783	38783	115	100	11500	15	34	34	1	3	1	38	38	10	12.66666667	158	15.8	24.9	15.75949367	6804.533333	6804.533333	38868	1	0	0	70	40	2800	-45	-60	-8700	0			11
F2	A	A	12	R6	27	AF	1	38789	38789	116	107	12412	36	47	47	1	3	1	57	57	10	19	76	7.6	11.9	15.65789474	6786.8	6786.8	38867	1	0	0	75	50	3750	-41	-57	-8662	0			12
F2	A	A	13	R8	12	AS	1	38789	38789	92	85	7820	15	58	58	1	3	1	54	54	8	18	83	10.375	9.9	11.92771084	10831.5	10831.5	38869	1	0	0	0	0	0	-92	-85	-7820	0			13
F2	A	A	14	R8	14	AS	1	38783	38789	125	96	12000	66	36	36	1	3	1	60	60	8	20	85	10.625	10.6	12.47058824	7650	7650	38869	1	0	0	79	60	4740	-46	-36	-7260	0			14
F2	A	A	15	R8	3	AT	1	38783	38786	110	105	11550	29	83	83	1	3	1	57	57	10	19	124	12.4	19.6	15.80645161	19554.8	19554.8	38869	1	0	0	76	75	5700	-34	-30	-5850	0			15
F2	A	A	16	R8	9	AS	1	38786	38789	80	77	6160	31	55	55	1	3	1	71	71	10	23.66666667	193	19.3	39.2	20.31088083	25122.16667	25122.16667	38869	1	0	0	98	77	7546	18	0	1386	0			16
F2	A	A	17	R8	17	AT	1	38793	38811	64	59	3776	55	53	53	1	3	1	39	39	8	13	100	12.5	15.8	15.8	8612.5	8612.5	38869	1	0	0	124	99	12276	60	40	8500	0			17
F2	A	A	18	R8	10	AR	1	38786	38811	85	75	6375	136	43	43	1	3		51	51	12	17	129	10.75	13.2	10.23255814	7858.25	7858.25	38836	1	0	0	0	0	0	-85	-75	-6375	0			18
F2	A	A	19	R8	7	AQ	1	38786	38789	93	92	8556	53	58	58	1	3		43	43	10	14.33333333	188	18.8	18.4	9.787234043	15629.06667	15629.06667	38843	1	0	0	0	0	0	-93	-92	-8556	0			19
F2	A	A	20	R8	12	AR	1	38783	38786	99	98	9702	30	73	73	1	3		29	29	12	9.666666667	220	18.33333333	35	15.90909091	12937.22222	12937.22222	38843	1	0	0	0	0	0	-99	-98	-9702	0			20
F2	A	A	21	R8	3	AR	1	38783	38789	122	98	11956	64	104	104	1	3	1	56	56	10	18.66666667	97	9.7	20.4	21.03092784	18830.93333	18830.93333	38868	1	0	0	112	111	12432	-10	13	476	0			21
F2	A	A	22	R6	13	AE	1	38789	38811	111	102	11322	61	23	23	1	3	1	25	24	10	8.333333333	60	6	11.5	19.16666667	1150	1150	38868	1	0	0	85	70	5950	-26	-32	-5372	0			22
F2	A	A	23	R6	19	AF	1	38793	38824	103	98	10094	111	30	30	1	3	1	69	68	10	23	91	9.1	12.2	13.40659341	6279	6279	38867	1	0	0	90	40	3600	-13	-58	-6494	0			23
F2	A	A	24	R6	25	AF	1	38783	38793	178	170	30260	67	41	41	1	3	1	107	107	10	35.66666667	82	8.2	7.2	8.780487805	11991.13333	11991.13333	38867	1	0	0	70	50	3500	-108	-120	-26760	0			24
F2	A	A	25	R6	17	AE	1	38783	38786	117	102	11934	27	37	37	1	3		47	47	12	15.66666667	152	12.66666667	27.6	18.15789474	7342.444444	7342.444444	38843	0									0			25
F2	A	A	26	R6	22	AF	1	38783	38783	90	86	7740	13	21	21	1	3	1	32	31	10	10.66666667	66	6.6	7.3	11.06060606	1478.4	1478.4	38867	1	1	1	110	90	9900	20	4	2160	0			26
F2	A	A	27	R8	19	AQ	1	38786	38780	83	73	6059	80	56	56	1	3	1	38	38	10	12.66666667	96	9.6	13.7	14.27083333	6809.6	6809.6	38868	1	0	0	108	93	10044	25	20	3985	0			27
F2	A	A	28	R5	5	AB	1	38783	38783	114	98	11172	38	30	30	1	3		67	67	12	22.33333333	138	11.5	22.6	16.37681159	7705	7705	38843	1	0	0	0	0	0	-114	-98	-11172	1	55	50	28
F2	A	A	29	R6	22	AE	1	38783	38789	106	96	10176	43	20	20	1	3		105	105	12	35	262	21.83333333	57.1	21.79389313	15283.33333	15283.33333	38843	1	0	0	70	30	2100	-36	-66	-8076	0			29
F2	A	A	30	R6	15	AF	1	38783	38798	115	105	12075	47	16	16	1	3	1	102	101	10	34	108	10.8	25.3	23.42592593	5875.2	5875.2	38867	1	0	0	60	50	3000	-55	-55	-9075	0			30
F2	A	A	31	R6	16	AH	1	38783	38786	119	114	13566	24	22	22	1	3	1	29	28	10	9.666666667	190	19	41.8	22	4040.666667	4040.666667	38863	1	0	0	90	60	5400	-29	-54	-8166	0			31
F2	A	A	32	R5	13	AB	1	38783	38811	95	92	8740	78	6	6	1	3	1	35	30	10	11.66666667	93	9.3	21.5	23.11827957	651	651	38869	1	0	1	80	70	5600	-15	-22	-3140	1	80	56	32
F2	A	A	33	R5	9	AB	1	38783	38783	90	84	7560	15	22	22	1	3		83	83	11	27.66666667	56	5.090909091	4.8	8.571428571	3098.666667	3098.666667	38843	0									0			33
F2	A	A	34	R6	26	AE	1	38783	38803	90	81	7290	23	35	35	1	3	1	29	29	10	9.666666667	147	14.7	29.3	19.93197279	4973.5	4973.5	38867	1	0	0	75	60	4500	-15	-21	-2790	1	75	60	34
F2	A	A	35	R6	18	AH	1	38793	38811	77	77	5929	36	41	41	1	3	1	49	49	10	16.33333333	41	4.1	7.4	18.04878049	2745.633333	2745.633333	38863	1	0	0	110	60	6600	33	-17	671	0			35
F2	A	A	36	R6	17	AG	1	38783	38793	73	69	5037	19	16	16	1	3	1	62	61	10	20.66666667	178	17.8	33.8	18.98876404	5885.866667	5885.866667	38863	1	0	0	80	50	4000	7	-19	-1037	0			36
F2	A	A	37	R5	25	AB	1	38793	38824	80	74	5920	85	35	35	1	3	1	55	55	10	18.33333333	161	16.1	46.8	29.06832298	10330.83333	10330.83333	38873	1	0	0	100	95	9500	20	21	3580	0			37
F2	A	A	38	R5	17	AA	1	38786	38789	130	115	14950	25	71	71	1	3	1	54	54	10	18	149	14.9	23.7	15.90604027	19042.2	19042.2	38869	1	0	0	0	0	0	-130	-115	-14950	0			38
F2	A	A	39	R5	9	AA	1	38789	38811	112	110	12320	80	22	22	1	3	1	84	83	11	28	149	13.54545455	19.1	12.81879195	8344	8344	38881	1	0	0	70	50	3500	-42	-60	-8820	0			39
F2	A	A	40	R6	6	AE	1	38789	38803	82	80	6560	35	31	31	1	3	1	60	60	10	20	163	16.3	23.8	14.60122699	10106	10106	38869	1	0	0	50	40	2000	-32	-40	-4560	0			40
F2	A	A	41	R6	2	AE	1	38789	38811	140	136	19040	76	31	31	1	3	1	65	64	20	21.66666667	126	6.3	17.9	14.20634921	4231.5	4231.5	38868	1	1	1	110	85	9350	-30	-51	-9690	1	77	68	41
F2	A	A	42	R6	4	AF	1	38786	38789	96	90	8640	35	24	24	1	3	1	68	67	10	22.66666667	181	18.1	23.9	13.20441989	9846.4	9846.4	38869	1	1	1	60	40	2400	-36	-50	-6240	1	57	47	42
F2	A	A	43	R5	13	AA	1	38783	38786	124	105	13020	11	41	41	1	3	1	55	55	10	18.33333333	136	13.6	35.2	25.88235294	10222.66667	10222.66667	38869	1	1	1	70	60	4200	-54	-45	-8820	1	44	40	43
F2	A	A	44	R5	2	AA	1	38783	38783	105	100	10500	49	22	22	1	3	1	38	37	10	12.66666667	157	15.7	27.6	17.57961783	4375.066667	4375.066667	38881	0									1	89	70	44
F2	A	A	45	R6	12	AE	1	38783	38807	75	68	5100	23	21	21	1	3	1	26	25	12	8.666666667	87	7.25	15.4	17.70114943	1319.5	1319.5	38868	1	0	0	100	80	8000	25	12	2900	1	10	4	45
F2	A	A	46	R6	23	AE	1	38783	38789	97	90	8730	39	16	16	1	3	1	95	94	10	31.66666667	175	17.5	23.1	13.2	8866.666667	8866.666667	38867	1	1	0	80	70	5600	-17	-20	-3130	1	68	66	46
F2	A	A	47	R6	17	AF	1	38786	38789	134	119	15946	40	42	42	1	3	1	174	174	10	58	94	9.4	15.1	16.06382979	22898.4	22898.4	38867	1	0	0	50	30	1500	-84	-89	-14446	0			47
F2	A	A	48	R5	7	Z	1	38786	38793	94	86	8084	38	41	41	1	3		45	45	12	15	156	13	40.8	26.15384615	7995	7995	38843	1	0	0	40	30	1200	-54	-56	-6884	0			48
F2	A	A	49	R5	1	Z	1	38783	38789	74	71	5254	39	41	41	1	3		59	59	12	19.66666667	130	10.83333333	29.6	22.76923077	8735.277778	8735.277778	38855	1									1	30	28	49
F2	A	A	50	R5	22	AB	1	38783	38783	112	103	11536	10	21	21	1	3	1	56	55	10	18.66666667	130	13	19.3	14.84615385	5096	5096	38869	1	1	1	80	70	5600	-32	-33	-5936	0			50
F2	A	A	51	R5	3	AB	1	38789	38811	92	85	7820	48	37	37	1	3		40	40	8	13.33333333	40	5	7	17.5	2466.666667	2466.666667	38843	1	0	0	60	40	2400	-32	-45	-5420	1	69	67	51
