ID	Block	Pop	CrossPop	SurvWin1	ReprS1	TotFr1	Seed1	Samp1	FruitSeed1	FruitSeedcr1	FruitSeedR1	SurvWin2	ReprS2	TotFr2	Seed2	Samp2	FruitSeed2	FruitSeedcr2	FruitSeedR2	SurvWin3	ReprS3	TotFr3	Seed3	Samp3	FruitSeed3	FruitSeedcr3	FruitSeedR3
1	S1	B	B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	S1	C 	CA	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0
3	S1	D	DB	1	1	12	16	3	64	4	64	1	1	5	4	3	6.666666667	1.882072058	7	1	0	0	0	0	0	0	0
4	S1	A	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	S1	D	DB	1	1	34	20	3	226.6666667	6.097182849	227	1	0	0	0	0	0	0	0	1	1	15	5	3	25	2.924017738	25
7	S1	D	DA 	1	1	19	34	3	215.3333333	5.993820799	215	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	S1	A	A	1	1	14	56	3	261.3333333	6.393395965	261	1	1	3	1	1	3	1.44224957	3	1	0	0	0	0	0	0	0
9	S1	D	DB	1	1	8	10	3	26.66666667	2.987603164	27	1	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0
10	S1	B	B	1	1	7	30	3	70	4.1212853	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	S1	C 	CA	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
14	S1	D	DB	1	1	1	2	1	2	1.25992105	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
15	S1	C 	CB	1	1	3	8	3	8	2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	S1	D	DA 	1	0	0	0	3	0	0	0	1	1	18	2	3	12	2.289428485	12	1	1	24	1	3	8	2	8
18	S1	A	A	1	1	10	2	3	6.666666667	1.882072058	7	1	1	13	2	3	8.666666667	2.054080049	9	1	1	6	22	3	44	3.530348335	44
19	S1	D	DA 	1	1	4	13	3	17.33333333	2.587978692	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	S1	C 	CB	1	1	21	9	3	63	3.979057208	63	1	1	11	3	3	11	2.223980091	11	1	1	14	1	3	4.666666667	1.671099312	5
21	S1	D	DA 	1	1	12	28	3	112	4.820284528	112	1	0	0	0	0	0	0	0	1	1	4	2	3	2.666666667	1.386722549	3
23	S1	D	DB	1	1	20	25	3	166.6666667	5.503212082	167	1	1	8	16	3	42.66666667	3.494321859	43	1	1	6	3	3	6	1.817120593	6
