UniqueID,Date,Time,Plot,Treatment,CVC
362,6/16/2016,1:00:00 PM,6,Full rain,0.1274
363,6/16/2016,2:00:00 PM,6,Full rain,0.1296
364,6/16/2016,3:00:00 PM,6,Full rain,0.1303
365,6/16/2016,4:00:00 PM,6,Full rain,0.131
366,6/16/2016,5:00:00 PM,6,Full rain,0.1318
367,6/16/2016,6:00:00 PM,6,Full rain,0.1325
368,6/16/2016,7:00:00 PM,6,Full rain,0.1318
369,6/16/2016,8:00:00 PM,6,Full rain,0.1318
370,6/16/2016,9:00:00 PM,6,Full rain,0.131
371,6/16/2016,10:00:00 PM,6,Full rain,0.1296
372,6/16/2016,11:00:00 PM,6,Full rain,0.1288
373,6/17/2016,12:00:00 AM,6,Full rain,0.1281
374,6/17/2016,1:00:00 AM,6,Full rain,0.1274
375,6/17/2016,2:00:00 AM,6,Full rain,0.1267
376,6/17/2016,3:00:00 AM,6,Full rain,0.1267
377,6/17/2016,4:00:00 AM,6,Full rain,0.1259
378,6/17/2016,5:00:00 AM,6,Full rain,0.1252
379,6/17/2016,6:00:00 AM,6,Full rain,0.1245
380,6/17/2016,7:00:00 AM,6,Full rain,0.1245
381,6/17/2016,8:00:00 AM,6,Full rain,0.1245
382,6/17/2016,9:00:00 AM,6,Full rain,0.1245
383,6/17/2016,10:00:00 AM,6,Full rain,0.1259
384,6/17/2016,11:00:00 AM,6,Full rain,0.1267
385,6/17/2016,12:00:00 PM,6,Full rain,0.1281
386,6/17/2016,1:00:00 PM,6,Full rain,0.1296
387,6/17/2016,2:00:00 PM,6,Full rain,0.131
388,6/17/2016,3:00:00 PM,6,Full rain,0.1325
389,6/17/2016,4:00:00 PM,6,Full rain,0.1339
390,6/17/2016,5:00:00 PM,6,Full rain,0.1332
391,6/17/2016,6:00:00 PM,6,Full rain,0.1318
392,6/17/2016,7:00:00 PM,6,Full rain,0.1303
393,6/17/2016,8:00:00 PM,6,Full rain,0.1288
394,6/17/2016,9:00:00 PM,6,Full rain,0.1274
395,6/17/2016,10:00:00 PM,6,Full rain,0.1274
396,6/17/2016,11:00:00 PM,6,Full rain,0.1267
397,6/18/2016,12:00:00 AM,6,Full rain,0.1267
398,6/18/2016,1:00:00 AM,6,Full rain,0.1252
399,6/18/2016,2:00:00 AM,6,Full rain,0.1245
400,6/18/2016,3:00:00 AM,6,Full rain,0.1238
401,6/18/2016,4:00:00 AM,6,Full rain,0.1238
402,6/18/2016,5:00:00 AM,6,Full rain,0.123
403,6/18/2016,6:00:00 AM,6,Full rain,0.123
404,6/18/2016,7:00:00 AM,6,Full rain,0.123
405,6/18/2016,8:00:00 AM,6,Full rain,0.1223
406,6/18/2016,9:00:00 AM,6,Full rain,0.123
407,6/18/2016,10:00:00 AM,6,Full rain,0.123
408,6/18/2016,11:00:00 AM,6,Full rain,0.1245
409,6/18/2016,12:00:00 PM,6,Full rain,0.1238
410,6/18/2016,1:00:00 PM,6,Full rain,0.1252
411,6/18/2016,2:00:00 PM,6,Full rain,0.1274
412,6/18/2016,3:00:00 PM,6,Full rain,0.1296
413,6/18/2016,4:00:00 PM,6,Full rain,0.131
414,6/18/2016,5:00:00 PM,6,Full rain,0.131
415,6/18/2016,6:00:00 PM,6,Full rain,0.131
416,6/18/2016,7:00:00 PM,6,Full rain,0.1303
417,6/18/2016,8:00:00 PM,6,Full rain,0.1288
418,6/18/2016,9:00:00 PM,6,Full rain,0.1274
419,6/18/2016,10:00:00 PM,6,Full rain,0.1274
420,6/18/2016,11:00:00 PM,6,Full rain,0.1259
421,6/19/2016,12:00:00 AM,6,Full rain,0.1252
422,6/19/2016,1:00:00 AM,6,Full rain,0.1245
423,6/19/2016,2:00:00 AM,6,Full rain,0.1238
424,6/19/2016,3:00:00 AM,6,Full rain,0.1238
425,6/19/2016,4:00:00 AM,6,Full rain,0.123
426,6/19/2016,5:00:00 AM,6,Full rain,0.1223
427,6/19/2016,6:00:00 AM,6,Full rain,0.1223
428,6/19/2016,7:00:00 AM,6,Full rain,0.1216
429,6/19/2016,8:00:00 AM,6,Full rain,0.1216
430,6/19/2016,9:00:00 AM,6,Full rain,0.1223
431,6/19/2016,10:00:00 AM,6,Full rain,0.1223
432,6/19/2016,11:00:00 AM,6,Full rain,0.1238
433,6/19/2016,12:00:00 PM,6,Full rain,0.1259
434,6/19/2016,1:00:00 PM,6,Full rain,0.1274
435,6/19/2016,2:00:00 PM,6,Full rain,0.1281
436,6/19/2016,3:00:00 PM,6,Full rain,0.1296
437,6/19/2016,4:00:00 PM,6,Full rain,0.1296
438,6/19/2016,5:00:00 PM,6,Full rain,0.1303
439,6/19/2016,6:00:00 PM,6,Full rain,0.1296
440,6/19/2016,7:00:00 PM,6,Full rain,0.1288
441,6/19/2016,8:00:00 PM,6,Full rain,0.1274
442,6/19/2016,9:00:00 PM,6,Full rain,0.1252
443,6/19/2016,10:00:00 PM,6,Full rain,0.1252
444,6/19/2016,11:00:00 PM,6,Full rain,0.1238
445,6/20/2016,12:00:00 AM,6,Full rain,0.1216
446,6/20/2016,1:00:00 AM,6,Full rain,0.1209
447,6/20/2016,2:00:00 AM,6,Full rain,0.1201
448,6/20/2016,3:00:00 AM,6,Full rain,0.1194
449,6/20/2016,4:00:00 AM,6,Full rain,0.1187
450,6/20/2016,5:00:00 AM,6,Full rain,0.1194
451,6/20/2016,6:00:00 AM,6,Full rain,0.118
452,6/20/2016,7:00:00 AM,6,Full rain,0.118
453,6/20/2016,8:00:00 AM,6,Full rain,0.1172
454,6/20/2016,9:00:00 AM,6,Full rain,0.1172
455,6/20/2016,10:00:00 AM,6,Full rain,0.118
456,6/20/2016,11:00:00 AM,6,Full rain,0.1194
457,6/20/2016,12:00:00 PM,6,Full rain,0.1216
458,6/20/2016,1:00:00 PM,6,Full rain,0.1238
459,6/20/2016,2:00:00 PM,6,Full rain,0.1245
460,6/20/2016,3:00:00 PM,6,Full rain,0.1259
461,6/20/2016,4:00:00 PM,6,Full rain,0.1267
462,6/20/2016,5:00:00 PM,6,Full rain,0.1259
463,6/20/2016,6:00:00 PM,6,Full rain,0.1252
464,6/20/2016,7:00:00 PM,6,Full rain,0.1252
465,6/20/2016,8:00:00 PM,6,Full rain,0.1238
466,6/20/2016,9:00:00 PM,6,Full rain,0.1223
467,6/20/2016,10:00:00 PM,6,Full rain,0.1209
468,6/20/2016,11:00:00 PM,6,Full rain,0.1201
469,6/21/2016,12:00:00 AM,6,Full rain,0.1194
470,6/21/2016,1:00:00 AM,6,Full rain,0.1187
471,6/21/2016,2:00:00 AM,6,Full rain,0.118
472,6/21/2016,3:00:00 AM,6,Full rain,0.1172
473,6/21/2016,4:00:00 AM,6,Full rain,0.1165
474,6/21/2016,5:00:00 AM,6,Full rain,0.1158
475,6/21/2016,6:00:00 AM,6,Full rain,0.115
476,6/21/2016,7:00:00 AM,6,Full rain,0.1143
477,6/21/2016,8:00:00 AM,6,Full rain,0.115
478,6/21/2016,9:00:00 AM,6,Full rain,0.115
479,6/21/2016,10:00:00 AM,6,Full rain,0.1158
480,6/21/2016,11:00:00 AM,6,Full rain,0.118
481,6/21/2016,12:00:00 PM,6,Full rain,0.1201
482,6/21/2016,1:00:00 PM,6,Full rain,0.1216
483,6/21/2016,2:00:00 PM,6,Full rain,0.123
484,6/21/2016,3:00:00 PM,6,Full rain,0.1238
485,6/21/2016,4:00:00 PM,6,Full rain,0.1245
486,6/21/2016,5:00:00 PM,6,Full rain,0.1245
487,6/21/2016,6:00:00 PM,6,Full rain,0.1245
488,6/21/2016,7:00:00 PM,6,Full rain,0.123
489,6/21/2016,8:00:00 PM,6,Full rain,0.1223
490,6/21/2016,9:00:00 PM,6,Full rain,0.1216
491,6/21/2016,10:00:00 PM,6,Full rain,0.1201
492,6/21/2016,11:00:00 PM,6,Full rain,0.1194
493,6/22/2016,12:00:00 AM,6,Full rain,0.1187
494,6/22/2016,1:00:00 AM,6,Full rain,0.118
495,6/22/2016,2:00:00 AM,6,Full rain,0.1172
496,6/22/2016,3:00:00 AM,6,Full rain,0.1172
497,6/22/2016,4:00:00 AM,6,Full rain,0.1165
498,6/22/2016,5:00:00 AM,6,Full rain,0.1158
499,6/22/2016,6:00:00 AM,6,Full rain,0.1158
500,6/22/2016,7:00:00 AM,6,Full rain,0.115
501,6/22/2016,8:00:00 AM,6,Full rain,0.115
502,6/22/2016,9:00:00 AM,6,Full rain,0.1143
503,6/22/2016,10:00:00 AM,6,Full rain,0.1143
504,6/22/2016,11:00:00 AM,6,Full rain,0.1158
505,6/22/2016,12:00:00 PM,6,Full rain,0.118
506,6/22/2016,1:00:00 PM,6,Full rain,0.1201
507,6/22/2016,2:00:00 PM,6,Full rain,0.1223
508,6/22/2016,3:00:00 PM,6,Full rain,0.1238
509,6/22/2016,4:00:00 PM,6,Full rain,0.1238
510,6/22/2016,5:00:00 PM,6,Full rain,0.1238
511,6/22/2016,6:00:00 PM,6,Full rain,0.123
512,6/22/2016,7:00:00 PM,6,Full rain,0.1223
513,6/22/2016,8:00:00 PM,6,Full rain,0.1194
514,6/22/2016,9:00:00 PM,6,Full rain,0.1187
515,6/22/2016,10:00:00 PM,6,Full rain,0.1172
516,6/22/2016,11:00:00 PM,6,Full rain,0.1165
517,6/23/2016,12:00:00 AM,6,Full rain,0.1165
518,6/23/2016,1:00:00 AM,6,Full rain,0.115
519,6/23/2016,2:00:00 AM,6,Full rain,0.115
520,6/23/2016,3:00:00 AM,6,Full rain,0.1143
521,6/23/2016,4:00:00 AM,6,Full rain,0.1136
522,6/23/2016,5:00:00 AM,6,Full rain,0.1121
523,6/23/2016,6:00:00 AM,6,Full rain,0.1121
524,6/23/2016,7:00:00 AM,6,Full rain,0.1121
525,6/23/2016,8:00:00 AM,6,Full rain,0.1121
526,6/23/2016,9:00:00 AM,6,Full rain,0.1121
527,6/23/2016,10:00:00 AM,6,Full rain,0.1114
528,6/23/2016,11:00:00 AM,6,Full rain,0.1114
529,6/23/2016,12:00:00 PM,6,Full rain,0.1114
530,6/23/2016,1:00:00 PM,6,Full rain,0.1129
531,6/23/2016,2:00:00 PM,6,Full rain,0.1143
532,6/23/2016,3:00:00 PM,6,Full rain,0.1158
533,6/23/2016,4:00:00 PM,6,Full rain,0.1172
534,6/23/2016,5:00:00 PM,6,Full rain,0.118
535,6/23/2016,6:00:00 PM,6,Full rain,0.118
536,6/23/2016,7:00:00 PM,6,Full rain,0.1172
537,6/23/2016,8:00:00 PM,6,Full rain,0.1172
538,6/23/2016,9:00:00 PM,6,Full rain,0.1165
539,6/23/2016,10:00:00 PM,6,Full rain,0.115
540,6/23/2016,11:00:00 PM,6,Full rain,0.1143
541,6/24/2016,12:00:00 AM,6,Full rain,0.1143
542,6/24/2016,1:00:00 AM,6,Full rain,0.1129
543,6/24/2016,2:00:00 AM,6,Full rain,0.1121
544,6/24/2016,3:00:00 AM,6,Full rain,0.1121
545,6/24/2016,4:00:00 AM,6,Full rain,0.1114
546,6/24/2016,5:00:00 AM,6,Full rain,0.1114
547,6/24/2016,6:00:00 AM,6,Full rain,0.1107
548,6/24/2016,7:00:00 AM,6,Full rain,0.11
549,6/24/2016,8:00:00 AM,6,Full rain,0.11
550,6/24/2016,9:00:00 AM,6,Full rain,0.1107
551,6/24/2016,10:00:00 AM,6,Full rain,0.1114
552,6/24/2016,11:00:00 AM,6,Full rain,0.1136
553,6/24/2016,12:00:00 PM,6,Full rain,0.115
554,6/24/2016,1:00:00 PM,6,Full rain,0.1165
555,6/24/2016,2:00:00 PM,6,Full rain,0.1172
556,6/24/2016,3:00:00 PM,6,Full rain,0.1187
557,6/24/2016,4:00:00 PM,6,Full rain,0.1194
558,6/24/2016,5:00:00 PM,6,Full rain,0.1201
559,6/24/2016,6:00:00 PM,6,Full rain,0.1201
560,6/24/2016,7:00:00 PM,6,Full rain,0.1194
561,6/24/2016,8:00:00 PM,6,Full rain,0.118
562,6/24/2016,9:00:00 PM,6,Full rain,0.118
563,6/24/2016,10:00:00 PM,6,Full rain,0.1172
564,6/24/2016,11:00:00 PM,6,Full rain,0.1158
565,6/25/2016,12:00:00 AM,6,Full rain,0.115
566,6/25/2016,1:00:00 AM,6,Full rain,0.1143
567,6/25/2016,2:00:00 AM,6,Full rain,0.1143
568,6/25/2016,3:00:00 AM,6,Full rain,0.1129
569,6/25/2016,4:00:00 AM,6,Full rain,0.1129
570,6/25/2016,5:00:00 AM,6,Full rain,0.1129
