Plot,Treatment,Dam,Sire,FloweringPlant,Fitness,Leaf_Area_cm2,Leaf_dry_weight_mg,SLA_cm2_g
1,Drought,9,41,1,782,9.54,36,265.00
1,Drought,14,94,1,608,10.31,35.1,293.73
1,Drought,16,40,1,592,12.46,46.1,270.28
1,Drought,17,47,1,1681,11.3,33.1,341.39
1,Drought,19,40,1,818,12.36,37.4,330.48
1,Drought,20,7,1,2042,11.59,39.3,294.91
1,Drought,24,47,1,215,12.8,44.3,288.94
1,Drought,25,89,1,452,14.53,44.5,326.52
1,Drought,28,21,1,421,13.22,46.9,281.88
1,Drought,31,96,1,864,14.28,51.5,277.28
1,Drought,33,77,1,1113,12.21,34.3,355.98
1,Drought,35,7,1,1888,18.68,49.7,375.86
1,Drought,37,57,1,1320,16.84,58.8,286.39
1,Drought,43,21,1,1139,11.58,33.4,346.71
1,Drought,44,11,1,373,10.59,32.2,328.88
1,Drought,48,23,1,75,13.96,37.7,370.29
1,Drought,49,47,1,786,10.29,31.6,325.63
1,Drought,51,38,1,428,11.99,40.6,295.32
1,Drought,61,23,1,1857,17.07,57.1,298.95
1,Drought,62,94,1,1136,10.86,36.3,299.17
1,Drought,63,77,1,1379,15.21,54.5,279.08
1,Drought,67,57,1,1487,15.26,53.5,285.23
1,Drought,75,41,1,890,11.33,32.6,347.55
1,Drought,76,41,1,451,18.45,64.1,287.83
1,Drought,83,38,1,170,10.41,29.5,352.88
1,Drought,84,4,1,1006,17.97,70.4,255.26
1,Drought,86,89,1,2228,10.41,35.7,291.60
1,Drought,90,95,1,1107,15.32,49,312.65
1,Drought,92,94,1,1024,11.56,47.3,244.40
1,Drought,98,78,1,869,13.64,50.4,270.63
1,Drought,99,96,1,423,12.56,34.4,365.12
1,Drought,100,11,1,739,11.28,35,322.29
2,Drought,14,94,1,1508,15.42,53.4,288.76
2,Drought,17,47,1,1236,18.1,49.2,367.89
2,Drought,18,78,1,341,11.25,36.1,311.63
2,Drought,19,40,1,2491,13.23,44.1,300.00
2,Drought,25,89,1,864,12.49,33.5,372.84
2,Drought,26,21,1,931,15.26,41.6,366.83
2,Drought,30,95,1,1760,17.48,59.8,292.31
2,Drought,31,96,1,1989,17.45,61.5,283.74
2,Drought,37,57,1,2307,17.61,58.1,303.10
2,Drought,43,21,1,913,10.63,34.2,310.82
2,Drought,62,94,1,3410,13.23,45.9,288.24
2,Drought,83,38,1,177,12.71,34.7,366.28
2,Drought,84,4,1,12,16.09,47.7,337.32
2,Drought,91,95,1,1817,13.1,45.1,290.47
2,Drought,99,96,1,564,7.79,33.75,230.81
2,Drought,100,11,1,3314,14.89,51.1,291.39
3,Ambient,16,40,1,1611,14.67,50.3,291.65
3,Ambient,17,47,1,2061,12.82,33.2,386.14
3,Ambient,20,7,1,500,16.68,52.1,320.15
3,Ambient,22,57,1,1224,25.16,56,449.29
3,Ambient,24,47,1,845,11.98,28.9,414.53
3,Ambient,26,21,1,724,21.49,69.3,310.10
3,Ambient,28,21,0,0,12.25,30.5,401.64
3,Ambient,37,57,1,920,27.39,90.1,304.00
3,Ambient,44,11,1,47,5.49,13.1,419.08
3,Ambient,49,47,1,1313,17.26,64.1,269.27
3,Ambient,51,38,1,1109,19.91,76.7,259.58
3,Ambient,61,23,1,728,13.07,32.4,403.40
3,Ambient,62,94,1,1859,15.32,45.6,335.96
3,Ambient,70,11,1,928,24.21,66.8,362.43
3,Ambient,80,6,1,1951,18.6,51.5,361.17
3,Ambient,84,4,1,1536,12.7,33,384.85
3,Ambient,93,96,1,9,17.16,61,281.31
3,Ambient,98,78,1,3855,19.39,56,346.25
4,Ambient,9,41,1,1049,18.42,63.4,290.54
4,Ambient,12,64,1,1,17.08,71.4,239.22
4,Ambient,14,94,1,1685,16.34,48.6,336.21
4,Ambient,16,40,1,2195,14.18,57.1,248.34
4,Ambient,17,47,1,107,15.28,38.4,397.92
4,Ambient,19,40,1,1144,14.78,47.5,311.16
4,Ambient,20,7,1,462,10.36,26.3,393.92
4,Ambient,22,57,1,1932,13.97,47.5,294.11
4,Ambient,25,89,1,1564,15.28,43.6,350.46
4,Ambient,26,21,1,109,13.64,32.1,424.92
4,Ambient,28,21,1,271,12.57,21.4,587.38
4,Ambient,29,4,1,1096,11.23,46.3,242.55
4,Ambient,31,96,1,1396,12.97,159.5,81.32
4,Ambient,33,77,1,1906,15.08,48.5,310.93
4,Ambient,44,11,1,677,15.23,34,447.94
4,Ambient,48,23,1,371,16.71,51,327.65
4,Ambient,61,23,1,841,12.98,41.4,313.53
4,Ambient,62,94,1,62,15.41,57.9,266.15
4,Ambient,63,77,1,350,11.44,30.8,371.43
4,Ambient,69,77,1,1805,9.45,24.2,390.50
4,Ambient,75,41,1,1259,21.44,55.7,384.92
4,Ambient,76,41,1,283,14.77,50.5,292.48
4,Ambient,80,6,1,1869,9.9,32.1,308.41
4,Ambient,81,6,1,210,13.33,40.3,330.77
4,Ambient,86,89,1,327,21.69,53.7,403.91
4,Ambient,87,23,1,1620,14.34,52.2,274.71
4,Ambient,90,95,1,998,9.07,30.8,294.48
4,Ambient,91,95,1,0,5.64,17.1,329.82
4,Ambient,92,94,1,155,8.53,22.1,385.97
4,Ambient,93,96,1,5,18.42,76.2,241.73
4,Ambient,98,78,1,1418,12.64,38.3,330.03
4,Ambient,99,96,1,1,12.11,36.7,329.97
4,Ambient,100,11,1,8,9.75,32.3,301.86
5,Ambient,8,64,1,1898,15.38,40.2,382.59
5,Ambient,9,41,1,155,12.64,41.5,304.58
5,Ambient,12,64,1,1387,20.66,62.2,332.15
5,Ambient,14,94,1,160,14.9,52,286.54
5,Ambient,16,40,1,682,14.75,47,313.83
5,Ambient,19,40,1,53,22.21,59.3,374.54
5,Ambient,20,7,1,93,14.62,55.5,263.42
5,Ambient,24,47,1,148,12.93,34.2,378.07
5,Ambient,25,89,1,241,15.63,31.7,493.06
