cgPlaId,row,pos,yrPlanted,ld2001,fl2001,hdCt2001,achCt2001,ld2002,fl2002,hdCt2002,achCt2002,ld2003,fl2003,hdCt2003,achCt2003,ld2004,fl2004,hdCt2004,achCt2004,ld2005,fl2005,hdCt2005,achCt2005,ld2006,fl2006,hdCt2006,achCt2006,ld2007,fl2007,hdCt2007,achCt2007,ld2008,fl2008,hdCt2008,achCt2008,ld2009,fl2009,hdCt2009,achCt2009,ld2010,fl2010,hdCt2010,achCt2010,ld2011,fl2011,hdCt2011,achCt2011,ld2012,fl2012,hdCt2012,achCt2012,ld2013,fl2013,hdCt2013
2918,10.00,910.00,2001,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,98,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2919,10.00,910.50,2001,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
2920,10.00,911.00,2001,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2921,10.00,911.50,2001,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2922,10.00,912.00,2001,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,2,198,1,0,0,0,1,1,1
2923,10.00,912.50,2001,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2924,10.00,913.00,2001,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,215,1,0,0,0,1,1,2,12,1,1,0,0,1,1,4
2925,10.00,913.50,2001,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2926,10.00,914.00,2001,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,205,1,0,0,0,1,1,1,171,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1
2927,10.00,914.50,2001,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,100,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1
2928,10.00,915.00,2001,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2929,10.00,915.50,2001,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,228,1,0,0,0,1,1,2,293,1,0,0,0,1,1,2
2930,10.00,916.00,2001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2931,10.00,916.50,2001,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
2932,10.00,917.00,2001,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,173,1,1,1,289,1,1,3,457,1,1,2,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2933,10.00,917.50,2001,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,2,360,1,1,1,97,1,1,2,6,1,1,0,0,1,1,1
2934,10.00,918.00,2001,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,268,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0
2935,10.00,918.50,2001,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,148,1,0,0,0,1,1,4,502,1,1,4,678,1,1,1,154,1,1,3,458,1,1,1,19,1,1,3
2936,10.00,919.00,2001,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,229,1,0,0,0,1,1,3,519,1,1,2,542,1,1,3,752,1,1,5,1257,1,1,1,14,1,1,1
2937,10.00,919.50,2001,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,182,1,1,2,416,1,1,4,484,1,1,3,544,1,1,2,418,1,1,3,365,1,1,0,0,1,1,2
2938,10.00,920.00,2001,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,2,314,1,1,1,237,1,1,3,678,1,1,3,691,1,1,1,159,1,1,4,551,1,0,0,0,1,1,0
2939,10.00,920.50,2001,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,208,1,1,2,311,1,1,1,184,1,1,1,5,1,0,0,0,1,1,0,0,1,1,1
2940,10.00,921.00,2001,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,182,1,0,0,0,1,1,3,177,1,0,0,0,1,1,2,294,1,0,0,0,1,0,0,0,1,0,0
2941,10.00,921.50,2001,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,3,562,1,1,2,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
