"cgPlaId","year","aph.bf1"
2918,2004,"bf1"
2918,2005,"bf1"
2918,2006,"bf2"
2918,2007,"bf2"
2918,2008,"bf1"
2918,2009,"bf3"
2918,2010,"0"
2918,2011,"0"
2918,2012,"0"
2918,2013,"0"
2919,2004,"bf1"
2919,2005,"bf1"
2919,2006,"bf1"
2919,2007,"bf2"
2919,2008,"bf2"
2919,2009,"bf2"
2919,2010,"bf1"
2919,2011,"bf1"
2919,2012,"bf1"
2919,2013,"bf1"
2920,2004,"bf1"
2920,2005,"0"
2920,2006,"0"
2920,2007,"0"
2920,2008,"0"
2920,2009,"0"
2920,2010,"0"
2920,2011,"0"
2920,2012,"0"
2920,2013,"0"
2922,2004,"bf1"
2922,2005,"bf1"
2922,2006,"bf1"
2922,2007,"bf2"
2922,2008,"bf1"
2922,2009,"bf3"
2922,2010,"bf2"
2922,2011,"bf1"
2922,2012,"bf1"
2922,2013,"bf1"
2923,2004,"bf1"
2923,2005,"bf1"
2923,2006,"bf1"
2923,2007,"bf2"
2923,2008,"bf2"
2923,2009,"bf1"
2923,2010,"bf1"
2923,2011,"0"
2923,2012,"0"
2923,2013,"0"
2924,2004,"bf1"
2924,2005,"bf1"
2924,2006,"bf1"
2924,2007,"bf2"
2924,2008,"bf2"
2924,2009,"bf1"
2924,2010,"bf3"
2924,2011,"bf1"
2924,2012,"bf1"
2924,2013,"bf1"
2925,2004,"bf1"
2925,2005,"bf1"
2925,2006,"bf1"
2925,2007,"bf0"
2925,2008,"0"
2925,2009,"0"
2925,2010,"0"
2925,2011,"0"
2925,2012,"0"
2925,2013,"0"
2926,2004,"bf1"
2926,2005,"bf1"
2926,2006,"bf2"
2926,2007,"bf2"
2926,2008,"bf1"
2926,2009,"bf2"
2926,2010,"bf2"
2926,2011,"bf1"
2926,2012,"bf1"
2926,2013,"bf0"
2927,2004,"bf1"
2927,2005,"bf1"
2927,2006,"bf3"
2927,2007,"bf2"
2927,2008,"bf3"
2927,2009,"bf1"
2927,2010,"bf2"
2927,2011,"bf1"
2927,2012,"bf1"
2927,2013,"bf1"
2928,2004,"bf1"
2928,2005,"bf1"
2928,2006,"bf2"
2928,2007,"bf1"
2928,2008,"0"
2928,2009,"0"
2928,2010,"0"
2928,2011,"0"
2928,2012,"0"
2928,2013,"0"
2929,2004,"bf1"
2929,2005,"bf1"
2929,2006,"bf1"
2929,2007,"bf2"
2929,2008,"bf2"
2929,2009,"bf1"
2929,2010,"bf2"
2929,2011,"bf1"
2929,2012,"bf1"
2929,2013,"bf1"
2930,2004,"0"
2930,2005,"0"
2930,2006,"0"
2930,2007,"0"
2930,2008,"0"
2930,2009,"0"
2930,2010,"0"
2930,2011,"0"
2930,2012,"0"
2930,2013,"0"
2931,2004,"bf1"
2931,2005,"bf1"
2931,2006,"bf1"
2931,2007,"bf1"
2931,2008,"bf1"
2931,2009,"bf1"
2931,2010,"bf1"
2931,2011,"bf1"
2931,2012,"bf1"
2931,2013,"bf1"
2932,2004,"bf1"
2932,2005,"bf2"
2932,2006,"bf1"
2932,2007,"bf2"
2932,2008,"bf3"
2932,2009,"bf2"
2932,2010,"0"
2932,2011,"0"
2932,2012,"0"
2932,2013,"0"
2933,2004,"bf1"
2933,2005,"bf1"
2933,2006,"bf1"
2933,2007,"bf2"
2933,2008,"bf2"
2933,2009,"bf1"
2933,2010,"bf3"
2933,2011,"bf1"
2933,2012,"bf1"
2933,2013,"bf1"
2934,2004,"bf1"
2934,2005,"bf2"
2934,2006,"bf2"
2934,2007,"bf2"
2934,2008,"bf2"
2934,2009,"bf1"
2934,2010,"bf3"
2934,2011,"bf0"
2934,2012,"bf1"
2934,2013,"bf1"
2935,2004,"bf2"
2935,2005,"bf2"
2935,2006,"bf2"
2935,2007,"bf1"
2935,2008,"bf2"
2935,2009,"bf3"
2935,2010,"bf3"
2935,2011,"bf1"
2935,2012,"bf1"
2935,2013,"bf0"
2936,2004,"bf1"
2936,2005,"bf2"
2936,2006,"bf1"
2936,2007,"bf2"
2936,2008,"bf1"
2936,2009,"bf1"
2936,2010,"bf3"
2936,2011,"bf1"
2936,2012,"bf2"
2936,2013,"bf1"
2937,2004,"bf1"
2937,2005,"bf2"
2937,2006,"bf1"
2937,2007,"bf2"
2937,2008,"bf2"
2937,2009,"bf2"
2937,2010,"bf3"
2937,2011,"bf1"
2937,2012,"bf3"
2937,2013,"bf0"
2938,2004,"bf1"
2938,2005,"bf2"
2938,2006,"bf2"
2938,2007,"bf3"
2938,2008,"bf3"
2938,2009,"bf2"
2938,2010,"bf3"
2938,2011,"bf1"
2938,2012,"bf3"
2938,2013,"bf1"
2939,2004,"bf1"
2939,2005,"bf2"
2939,2006,"bf1"
2939,2007,"bf2"
2939,2008,"bf2"
2939,2009,"bf2"
2939,2010,"bf3"
2939,2011,"bf1"
2939,2012,"bf2"
2939,2013,"bf1"
2940,2004,"bf1"
2940,2005,"bf2"
2940,2006,"bf2"
2940,2007,"bf2"
2940,2008,"bf2"
2940,2009,"bf2"
2940,2010,"bf3"
2940,2011,"bf1"
2940,2012,"bf1"
2940,2013,"bf1"
2941,2004,"bf1"
2941,2005,"bf1"
2941,2006,"bf3"
2941,2007,"bf2"
2941,2008,"0"
2941,2009,"0"
2941,2010,"0"
2941,2011,"0"
2941,2012,"0"
2941,2013,"0"
2942,2004,"bf1"
2942,2005,"bf1"
2942,2006,"bf2"
2942,2007,"bf1"
2942,2008,"0"
2942,2009,"0"
2942,2010,"0"
2942,2011,"0"
2942,2012,"0"
2942,2013,"0"
2943,2004,"bf2"
2943,2005,"bf2"
2943,2006,"bf3"
2943,2007,"bf2"
2943,2008,"bf2"
2943,2009,"bf3"
2943,2010,"bf2"
2943,2011,"bf1"
2943,2012,"bf1"
2943,2013,"bf1"
2944,2004,"bf1"
2944,2005,"bf1"
2944,2006,"bf0"
2944,2007,"bf2"
2944,2008,"0"
2944,2009,"0"
2944,2010,"0"
2944,2011,"0"
2944,2012,"0"
2944,2013,"0"
2945,2004,"bf2"
2945,2005,"bf2"
2945,2006,"bf2"
2945,2007,"bf3"
2945,2008,"0"
2945,2009,"0"
2945,2010,"0"
2945,2011,"0"
2945,2012,"0"
2945,2013,"0"
2946,2004,"bf2"
2946,2005,"bf0"
2946,2006,"bf2"
2946,2007,"bf2"
2946,2008,"0"
2946,2009,"0"
2946,2010,"0"
2946,2011,"0"
2946,2012,"0"
2946,2013,"0"
2947,2004,"bf2"
2947,2005,"bf2"
2947,2006,"bf2"
2947,2007,"bf2"
2947,2008,"0"
2947,2009,"0"
2947,2010,"0"
2947,2011,"0"
2947,2012,"0"
2947,2013,"0"
2948,2004,"bf1"
2948,2005,"bf1"
2948,2006,"bf2"
2948,2007,"bf3"
2948,2008,"bf2"
2948,2009,"bf2"
2948,2010,"bf1"
2948,2011,"bf1"
2948,2012,"bf2"
2948,2013,"bf1"
2949,2004,"bf1"
2949,2005,"bf1"
2949,2006,"bf2"
2949,2007,"bf2"
2949,2008,"bf1"
2949,2009,"bf2"
2949,2010,"bf2"
2949,2011,"bf1"
2949,2012,"bf3"
2949,2013,"bf1"
2950,2004,"bf1"
2950,2005,"bf1"
2950,2006,"bf2"
2950,2007,"bf1"
2950,2008,"0"
2950,2009,"0"
2950,2010,"0"
2950,2011,"0"
2950,2012,"0"
2950,2013,"0"
2951,2004,"0"
2951,2005,"0"
2951,2006,"0"
2951,2007,"0"
2951,2008,"0"
2951,2009,"0"
2951,2010,"0"
2951,2011,"0"
2951,2012,"0"
2951,2013,"0"
2952,2004,"bf2"
2952,2005,"bf2"
2952,2006,"bf2"
2952,2007,"bf2"
2952,2008,"0"
2952,2009,"0"
2952,2010,"0"
2952,2011,"0"
2952,2012,"0"
2952,2013,"0"
2953,2004,"bf2"
2953,2005,"bf1"
2953,2006,"bf2"
2953,2007,"bf2"
2953,2008,"bf1"
2953,2009,"bf1"
2953,2010,"bf2"
2953,2011,"bf1"
2953,2012,"bf3"
2953,2013,"bf1"
2954,2004,"bf2"
2954,2005,"bf1"
2954,2006,"bf2"
2954,2007,"bf2"
2954,2008,"0"
2954,2009,"0"
2954,2010,"0"
2954,2011,"0"
2954,2012,"0"
2954,2013,"0"
2955,2004,"bf3"
2955,2005,"bf2"
2955,2006,"bf2"
2955,2007,"bf3"
2955,2008,"bf3"
2955,2009,"bf3"
2955,2010,"bf3"
2955,2011,"bf1"
2955,2012,"bf3"
2955,2013,"bf1"
2956,2004,"bf2"
2956,2005,"bf0"
2956,2006,"bf2"
2956,2007,"bf1"
2956,2008,"bf2"
2956,2009,"bf2"
2956,2010,"bf3"
2956,2011,"bf1"
2956,2012,"bf3"
2956,2013,"bf1"
2957,2004,"bf1"
2957,2005,"bf0"
2957,2006,"bf2"
2957,2007,"bf2"
2957,2008,"bf2"
2957,2009,"bf1"
2957,2010,"bf3"
2957,2011,"bf1"
2957,2012,"0"
2957,2013,"0"
2958,2004,"bf2"
2958,2005,"bf2"
2958,2006,"bf2"
2958,2007,"bf2"
2958,2008,"0"
2958,2009,"0"
2958,2010,"0"
2958,2011,"0"
2958,2012,"0"
2958,2013,"0"
2959,2004,"bf2"
2959,2005,"bf1"
2959,2006,"bf2"
2959,2007,"bf2"
2959,2008,"0"
2959,2009,"0"
2959,2010,"0"
2959,2011,"0"
2959,2012,"0"
2959,2013,"0"
2960,2004,"bf2"
2960,2005,"bf2"
2960,2006,"bf2"
2960,2007,"bf2"
2960,2008,"bf1"
2960,2009,"bf1"
2960,2010,"bf1"
2960,2011,"bf1"
2960,2012,"bf1"
2960,2013,"0"
2961,2004,"0"
2961,2005,"0"
2961,2006,"0"
2961,2007,"0"
2961,2008,"0"
2961,2009,"0"
2961,2010,"0"
2961,2011,"0"
2961,2012,"0"
2961,2013,"0"
2962,2004,"bf1"
2962,2005,"bf2"
2962,2006,"bf2"
2962,2007,"bf2"
2962,2008,"0"
2962,2009,"0"
2962,2010,"0"
2962,2011,"0"
2962,2012,"0"
2962,2013,"0"
2963,2004,"bf1"
2963,2005,"bf1"
2963,2006,"bf1"
2963,2007,"bf2"
2963,2008,"bf1"
2963,2009,"bf1"
2963,2010,"bf2"
2963,2011,"bf1"
2963,2012,"bf1"
2963,2013,"bf1"
2964,2004,"bf1"
2964,2005,"bf2"
2964,2006,"bf3"
2964,2007,"bf2"
2964,2008,"0"
2964,2009,"0"
2964,2010,"0"
2964,2011,"0"
2964,2012,"0"
2964,2013,"0"
2965,2004,"bf1"
2965,2005,"bf1"
2965,2006,"bf2"
2965,2007,"bf3"
2965,2008,"0"
2965,2009,"0"
2965,2010,"0"
2965,2011,"0"
2965,2012,"0"
2965,2013,"0"
2966,2004,"bf2"
2966,2005,"bf1"
2966,2006,"bf3"
2966,2007,"bf2"
2966,2008,"bf1"
2966,2009,"bf2"
2966,2010,"bf2"
2966,2011,"bf1"
2966,2012,"bf1"
2966,2013,"0"
2967,2004,"bf1"
2967,2005,"bf2"
2967,2006,"bf2"
2967,2007,"bf2"
2967,2008,"bf1"
2967,2009,"bf1"
2967,2010,"bf2"
2967,2011,"bf1"
2967,2012,"bf1"
2967,2013,"0"
2968,2004,"bf1"
2968,2005,"bf2"
2968,2006,"bf3"
2968,2007,"bf2"
2968,2008,"bf1"
2968,2009,"bf1"
2968,2010,"bf2"
2968,2011,"bf1"
2968,2012,"bf1"
2968,2013,"bf1"
2969,2004,"bf1"
2969,2005,"bf1"
2969,2006,"bf3"
2969,2007,"bf2"
2969,2008,"bf1"
2969,2009,"bf1"
2969,2010,"bf1"
2969,2011,"bf1"
2969,2012,"bf1"
2969,2013,"bf1"
2970,2004,"bf3"
2970,2005,"bf2"
2970,2006,"bf2"
2970,2007,"bf2"
2970,2008,"bf1"
2970,2009,"bf1"
2970,2010,"bf3"
2970,2011,"bf1"
2970,2012,"bf1"
2970,2013,"bf1"
2972,2004,"bf1"
2972,2005,"bf2"
2972,2006,"bf2"
2972,2007,"bf3"
2972,2008,"bf1"
2972,2009,"bf1"
2972,2010,"bf3"
2972,2011,"0"
2972,2012,"0"
2972,2013,"0"
2973,2004,"bf2"
2973,2005,"bf2"
2973,2006,"bf2"
2973,2007,"bf3"
2973,2008,"bf1"
2973,2009,"bf1"
2973,2010,"bf2"
2973,2011,"bf1"
2973,2012,"bf1"
2973,2013,"bf1"
2974,2004,"bf2"
2974,2005,"bf2"
2974,2006,"bf2"
2974,2007,"bf3"
2974,2008,"bf1"
2974,2009,"bf1"
2974,2010,"bf2"
2974,2011,"0"
2974,2012,"0"
2974,2013,"0"
2975,2004,"bf3"
2975,2005,"bf3"
2975,2006,"bf1"
2975,2007,"bf2"
2975,2008,"bf1"
2975,2009,"bf1"
2975,2010,"bf3"
2975,2011,"bf1"
2975,2012,"bf1"
2975,2013,"bf1"
2976,2004,"bf1"
2976,2005,"bf1"
2976,2006,"bf2"
2976,2007,"bf2"
2976,2008,"bf2"
2976,2009,"bf1"
2976,2010,"bf1"
2976,2011,"bf1"
2976,2012,"bf1"
2976,2013,"bf1"
2977,2004,"bf1"
2977,2005,"bf2"
2977,2006,"bf2"
2977,2007,"bf3"
2977,2008,"bf3"
2977,2009,"bf1"
2977,2010,"bf3"
2977,2011,"bf1"
2977,2012,"bf1"
2977,2013,"bf1"
2978,2004,"bf3"
2978,2005,"bf2"
2978,2006,"bf2"
2978,2007,"bf1"
2978,2008,"bf1"
2978,2009,"bf1"
2978,2010,"bf1"
2978,2011,"bf1"
2978,2012,"bf1"
2978,2013,"0"
2979,2004,"bf2"
2979,2005,"bf2"
2979,2006,"bf2"
2979,2007,"bf3"
2979,2008,"bf1"
2979,2009,"bf1"
2979,2010,"bf2"
2979,2011,"bf0"
2979,2012,"bf1"
2979,2013,"bf1"
2980,2004,"bf2"
2980,2005,"bf2"
2980,2006,"bf2"
2980,2007,"bf2"
2980,2008,"bf1"
2980,2009,"bf2"
2980,2010,"bf1"
2980,2011,"bf1"
2980,2012,"bf1"
2980,2013,"bf1"
2981,2004,"bf1"
2981,2005,"bf2"
2981,2006,"bf2"
2981,2007,"bf2"
2981,2008,"bf1"
2981,2009,"bf1"
2981,2010,"bf1"
2981,2011,"bf1"
2981,2012,"bf1"
2981,2013,"bf1"
2983,2004,"bf1"
2983,2005,"bf2"
2983,2006,"bf3"
2983,2007,"bf3"
2983,2008,"bf2"
2983,2009,"bf1"
2983,2010,"bf3"
2983,2011,"bf1"
2983,2012,"bf1"
2983,2013,"bf1"
2984,2004,"bf1"
2984,2005,"bf1"
2984,2006,"bf2"
2984,2007,"bf2"
2984,2008,"bf3"
2984,2009,"bf1"
2984,2010,"bf1"
2984,2011,"bf1"
2984,2012,"bf1"
2984,2013,"0"
2985,2004,"bf1"
2985,2005,"bf2"
2985,2006,"bf2"
2985,2007,"bf2"
2985,2008,"bf3"
2985,2009,"bf1"
2985,2010,"bf2"
2985,2011,"bf1"
2985,2012,"bf2"
2985,2013,"bf1"
2986,2004,"bf1"
2986,2005,"bf2"
2986,2006,"bf2"
2986,2007,"bf3"
2986,2008,"bf3"
2986,2009,"bf2"
2986,2010,"bf2"
2986,2011,"bf1"
2986,2012,"bf2"
2986,2013,"bf1"
2987,2004,"bf1"
2987,2005,"bf2"
2987,2006,"bf1"
2987,2007,"bf2"
2987,2008,"bf1"
2987,2009,"bf2"
2987,2010,"bf2"
2987,2011,"bf0"
2987,2012,"bf1"
2987,2013,"bf1"
2988,2004,"bf1"
2988,2005,"bf2"
2988,2006,"bf2"
2988,2007,"bf2"
2988,2008,"bf2"
2988,2009,"bf2"
2988,2010,"bf2"
2988,2011,"bf1"
2988,2012,"bf1"
2988,2013,"bf1"
2989,2004,"bf2"
2989,2005,"bf1"
2989,2006,"bf1"
2989,2007,"bf2"
2989,2008,"bf3"
2989,2009,"bf2"
2989,2010,"bf3"
2989,2011,"bf1"
2989,2012,"bf0"
2989,2013,"bf1"
2990,2004,"bf1"
2990,2005,"bf1"
2990,2006,"bf1"
2990,2007,"bf1"
2990,2008,"0"
2990,2009,"0"
2990,2010,"0"
2990,2011,"0"
2990,2012,"0"
2990,2013,"0"
2991,2004,"bf2"
2991,2005,"bf2"
2991,2006,"bf2"
2991,2007,"bf2"
2991,2008,"bf3"
2991,2009,"bf2"
2991,2010,"bf2"
2991,2011,"bf1"
2991,2012,"bf1"
2991,2013,"bf1"
2993,2004,"bf2"
2993,2005,"bf2"
2993,2006,"bf1"
2993,2007,"bf2"
2993,2008,"bf3"
2993,2009,"bf3"
2993,2010,"bf1"
2993,2011,"bf1"
2993,2012,"bf2"
2993,2013,"bf1"
2994,2004,"0"
2994,2005,"0"
2994,2006,"0"
2994,2007,"0"
2994,2008,"0"
2994,2009,"0"
2994,2010,"0"
2994,2011,"0"
2994,2012,"0"
2994,2013,"0"
