"cgplaid","newplantid","lds1","lds2","lds3","ld01","crosstype","yearcross","flat","site_patfam","SitemaxFloweringPl","DistNearestSite","mass","row","posi","ld.2004","fl.2004","hdct.2004","achct.2004","ld.2002","achct.2002","ld.2003","achct.2003","ld.2005","fl.2005","hdct.2005","achct.2005","ld.2006","fl.2006","hdct.2006","achct.2006","ld.2007","fl.2007","hdct.2007","achct.2007","ld.2008","fl.2008"
2918,758,1,1,1,1,"Wr","2000","3","Stevens",56,170,0.00319569120287211,"10",-0.35,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1
2919,674,1,1,1,1,"Wr","2000","3","Eriley",25,80,0.393195691202873,"10",-0.344999999999999,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
2920,1129,1,1,1,1,"Br","1999","1","Lf",144,9999,-1.08680430879713,"10",-0.34,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2922,1098,1,1,1,1,"Br","1999","3","Lf",144,9999,0.363195691202872,"10",-0.33,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
2923,177,1,1,1,1,"Br","2000","2","SPP",5044,9999,-0.936804308797127,"10",-0.324999999999999,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
2924,772,1,1,1,1,"Br","2000","3","Stevens",56,9999,0.453195691202872,"10",-0.319999999999999,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
2925,208,1,1,1,1,"Br","2000","2","SPP",5044,9999,0.843195691202872,"10",-0.315,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,142,0,0
2926,623,1,1,1,1,"Br","2000","3","Lf",144,9999,-1.38680430879713,"10",-0.309999999999999,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,205,1,0,0,0,1,1
2927,645,1,1,1,1,"Br","2000","2","Lf",144,9999,-0.276804308797128,"10",-0.305,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,100,1,0,0,0,1,1
2928,969,1,1,1,1,"Wr","1999","1","SPP",5044,600,0.523195691202873,"10",-0.299999999999999,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2929,856,1,1,1,1,"Wi","2000","3","Stevens",56,170,1.03319569120287,"10",-0.295,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
2930,914,1,1,1,0,"Br","2000","2","Lf",144,9999,0.0931956912028729,"10",-0.289999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2931,33,1,1,1,1,"Wi","2000","1","Stevens",56,170,-0.436804308797127,"10",-0.285,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
2932,464,1,1,1,1,"Br","2000","2","Stevens",56,9999,1.29319569120287,"10",-0.279999999999999,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,173,1,1,1,289,1,1
2933,354,1,1,1,1,"Wi","2000","3","Stevens",56,170,-0.906804308797128,"10",-0.274999999999999,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
2935,1066,1,1,1,1,"Br","1999","2","SPP",5044,9999,1.62319569120287,"10",-0.264999999999999,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,148,1,0,0,0,1,1
2936,1070,1,1,1,1,"Br","1999","3","SPP",5044,9999,1.14319569120287,"10",-0.26,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,229,1,0,0,0,1,1
2937,355,1,1,1,1,"Wi","2000","1","Stevens",56,170,-1.23680430879713,"10",-0.254999999999999,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,182,1,1,2,416,1,1
2938,1026,1,1,1,1,"Br","1999","2","SPP",5044,9999,-0.686804308797128,"10",-0.25,1,0,0,0,1,0,1,0,1,0,0,0,1,1,2,314,1,1,1,237,1,1
2939,1128,1,1,1,1,"Br","1999","2","Lf",144,9999,-1.28680430879713,"10",-0.244999999999999,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,208,1,1
2940,1016,1,1,1,1,"Br","1999","1","Eriley",25,9999,-0.926804308797128,"10",-0.239999999999998,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,182,1,0,0,0,1,1
2941,1150,1,1,1,1,"Br","1999","3","Eriley",25,9999,-1.37680430879713,"10",-0.234999999999999,1,0,0,0,1,0,1,0,1,0,0,0,1,1,3,562,1,1,2,468,0,0
2942,900,1,1,1,1,"Br","2000","3","NWLF",14,9999,0.563195691202873,"10",-0.229999999999999,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2943,835,1,1,1,1,"Br","2000","3","Lf",144,9999,0.0731956912028724,"10",-0.225,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,145,1,1,1,217,1,0
2944,1056,1,1,1,1,"Br","1999","1","SPP",5044,9999,-0.706804308797128,"10",-0.219999999999999,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,124,1,0,0,0,0,0
2945,246,1,1,1,1,"Br","2000","2","NWLF",14,9999,0.273195691202873,"10",-0.215,1,1,1,156,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2946,1133,1,1,1,1,"Wr","1999","3","Eriley",25,80,-1.35680430879713,"10",-0.209999999999999,1,0,0,0,1,0,1,0,1,1,1,149,1,1,2,275,1,0,0,0,0,0
2947,916,1,1,1,1,"Br","2000","2","SPP",5044,9999,0.0331956912028724,"10",-0.205,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2948,579,1,1,1,1,"Br","2000","3","NWLF",14,9999,1.26319569120287,"10",-0.199999999999999,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,151,1,1
2949,547,1,1,1,1,"Br","2000","3","Lf",144,9999,0.633195691202872,"10",-0.194999999999999,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,165,1,0
2950,1055,1,1,1,1,"Br","1999","3","SPP",5044,9999,-0.976804308797127,"10",-0.19,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,196,1,0,0,0,0,0
2951,709,1,1,1,0,"Wi","2000","2","Stevens",56,170,-0.976804308797127,"10",-0.184999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2952,834,1,1,1,1,"Br","2000","2","Lf",144,9999,-0.326804308797128,"10",-0.18,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,2,306,0,0
2953,1090,1,1,1,1,"Wr","1999","3","Eriley",25,80,0.883195691202873,"10",-0.174999999999999,1,1,1,184,1,0,1,0,1,0,0,0,1,1,3,553,1,1,4,738,0,0
2954,445,1,1,1,1,"Wi","2000","3","Eriley",25,80,0.873195691202872,"10",-0.17,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,213,1,0,0,0,0,0
2955,801,1,1,1,1,"Wr","2000","2","Lf",144,10,-0.476804308797127,"10",-0.164999999999999,1,1,1,115,1,0,1,0,1,0,0,0,1,1,3,377,1,1,1,250,1,1
2956,385,1,1,1,1,"Wi","2000","3","Stevens",56,170,-1.27680430879713,"10",-0.16,1,0,0,0,1,0,1,0,1,1,1,184,1,1,2,76,1,1,2,369,1,1
2957,9,1,1,1,1,"Wr","2000","2","NWLF",14,300,1.01319569120287,"10",-0.154999999999999,1,0,0,0,1,0,1,0,1,1,1,173,1,1,3,345,1,0,0,0,1,1
2958,1045,1,1,1,1,"Br","1999","3","Eriley",25,9999,-1.44680430879713,"10",-0.149999999999999,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,230,0,0
2959,328,1,1,1,1,"Br","2000","1","Lf",144,9999,1.17319569120287,"10",-0.145,1,0,0,0,1,0,1,0,1,1,2,305,1,0,0,0,1,1,4,611,0,0
2960,879,1,1,1,1,"Br","2000","2","Stevens",56,9999,0.393195691202873,"10",-0.139999999999999,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
2961,61,1,1,1,1,"Wi","2000","1","SPP",5044,600,-0.696804308797128,"10",-0.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2962,911,1,1,1,1,"Br","2000","2","Lf",144,9999,0.173195691202872,"10",-0.129999999999999,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2963,390,1,1,1,1,"Wi","2000","1","SPP",5044,600,-0.0468043087971277,"10",-0.125,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
2964,51,1,1,1,1,"Br","2000","3","NWLF",14,9999,0.0231956912028721,"10",-0.119999999999999,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2965,898,1,1,1,1,"Br","2000","1","NWLF",14,9999,0.963195691202873,"10",-0.114999999999998,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2966,1107,1,1,1,1,"Br","1999","1","Eriley",25,9999,-1.14680430879713,"10",-0.109999999999999,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
2967,705,1,1,1,1,"Wi","2000","2","Stevens",56,170,-0.366804308797128,"10",-0.104999999999999,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
2968,533,1,1,1,1,"Br","2000","3","Stevens",56,9999,0.623195691202873,"10",-0.0999999999999996,1,0,0,0,1,0,1,0,1,0,0,0,1,1,2,267,1,0,0,0,1,0
2969,988,1,1,1,1,"Br","1999","2","Eriley",25,9999,0.0931956912028729,"10",-0.0949999999999989,1,0,0,0,-99199,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
2970,1100,1,1,1,1,"Br","1999","1","Lf",144,9999,-0.356804308797128,"10",-0.0899999999999999,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
2972,511,1,1,1,1,"Br","2000","2","Lf",144,9999,0.183195691202873,"10",-0.0800000000000001,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
2973,1194,1,1,1,1,"Br","1999","1","Lf",144,9999,1.03319569120287,"10",-0.0749999999999993,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
2974,987,1,1,1,1,"Br","1999","3","Eriley",25,9999,-0.126804308797127,"10",-0.0699999999999985,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
2975,81,1,1,1,1,"Br","2000","1","Stevens",56,9999,0.143195691202873,"10",-0.0649999999999995,1,1,1,144,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
2976,42,1,1,1,1,"Wi","2000","1","Stevens",56,170,0.323195691202872,"10",-0.0599999999999987,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
2977,67,1,1,1,1,"Wi","2000","1","SPP",5044,600,-0.286804308797127,"10",-0.0549999999999997,1,1,1,171,1,0,1,0,1,0,0,0,1,1,2,322,1,0,0,0,1,1
2978,415,1,1,1,1,"Br","2000","3","Stevens",56,9999,-0.346804308797128,"10",-0.0499999999999989,1,1,1,140,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
2980,450,1,1,1,1,"Br","2000","1","Lf",144,9999,2.10319569120287,"10",-0.0399999999999991,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
2981,841,1,1,1,1,"Wi","2000","3","Stevens",56,170,1.10319569120287,"10",-0.0350000000000001,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
2983,917,1,1,1,1,"Br","2000","1","SPP",5044,9999,-0.876804308797128,"10",-0.0249999999999986,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
2984,474,1,1,1,1,"Br","2000","2","Lf",144,9999,0.863195691202872,"10",-0.0199999999999996,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1
