"row","pos","cgPlaId","expNm","measureYr","measureDt","plaStatusDesc","basalRosetteCt","floweringRosetteCt","basalLfCt","longestBasalLf","longestCaulineLf","insects","ant1","ant2to10","antGT10","aphid1","aphid2to10","aphid11to80","aphidGT80","antNest","insectsNote","nibbles","holes","wrinkles","rolledLf","totalMinorInsDam","totalHalfGoneInsDam","totalGoneInsDam","totalCrisp"
10,910,2918,"Inbreeding",2001,"","basal",NA,NA,-777,NA,NA,"",0,0,0,0,0,0,0,0,"",NA,NA,NA,NA,0,0,0,0
10,910,2918,"Inbreeding",2002,"2002-07-23","basal",NA,NA,2,16,NA,"",0,0,0,0,0,0,0,0,"",NA,NA,NA,NA,0,0,0,0
10,910,2918,"Inbreeding",2003,"2003-08-04","basal",1,0,3,27,NA,"",0,0,0,0,0,0,0,0,"",NA,NA,NA,NA,0,0,0,0
10,910,2918,"Inbreeding",2004,"2004-08-05","basal",2,0,6,22,NA,"",0,0,0,0,0,0,0,0,"",NA,NA,NA,NA,0,0,0,0
10,910,2918,"Inbreeding",2005,"2005-08-04","basal",2,0,9,33,NA,"",0,0,0,0,0,0,0,0,"",1,1,0,0,2,0,0,1
10,910,2918,"Inbreeding",2006,"2006-07-31","basal",2,0,11,23,NA,"11-80 aphids;>10 ants",0,0,1,0,0,1,0,0,"",NA,NA,NA,NA,0,0,0,0
10,910,2918,"Inbreeding",2007,"2007-07-24","basal",3,0,12,31,NA,"11-80 aphids",0,0,0,0,0,1,0,0,"",1,0,0,0,5,0,0,2
10,910,2918,"Inbreeding",2008,"2008-07-29","flowering",NA,1,11,24,NA,"",0,0,0,0,0,0,0,0,"",1,0,0,0,1,0,0,0
10,910,2918,"Inbreeding",2009,"2009-07-21","flowering",1,1,4,20,NA,">80 aphids;>10 ants;ant nest",0,0,1,0,0,0,1,1,"",1,1,0,0,2,0,0,0
10,910,2918,"Inbreeding",2010,"2010-07-14","can't find",NA,NA,NA,NA,NA,"",0,0,0,0,0,0,0,0,"",NA,NA,NA,NA,0,0,0,0
10,910,2918,"Inbreeding",2011,"2011-07-20","rebar or tin can only",NA,NA,NA,NA,NA,"",0,0,0,0,0,0,0,0,"",NA,NA,NA,NA,0,0,0,0
10,910,2918,"Inbreeding",2012,"2012-07-02","rebar or tin can only",NA,NA,NA,NA,NA,"",0,0,0,0,0,0,0,0,"",NA,NA,NA,NA,0,0,0,0
10,910,2918,"Inbreeding",2013,"2013-08-01","can't find",NA,NA,NA,NA,NA,"",0,0,0,0,0,0,0,0,"",NA,NA,NA,NA,0,0,0,0
