"cgHdId","cgPlaId","hdmeasureYr","expNm","caulineLfCt","longestCaulineLfByRosette","hdInsects","ant1","ant2to10","antGT10","aphid1","aphid2to10","aphid11to80","aphidGT80","antNest","hdInsectDamageTxt","nibbles","holes","wrinkles","rolledLf","totalMinorInsDam","totalHalfGoneInsDam","totalGoneInsDam"
2004000843,2945,2004,"Inbreeding",11,26,"2-10 aphids",0,0,0,0,1,0,0,0,"",NA,NA,NA,NA,0,0,0
2004000846,2953,2004,"Inbreeding",11,23,"2-10 aphids;2-10 ants",0,1,0,0,1,0,0,0,"",NA,NA,NA,NA,0,0,0
2004000856,2955,2004,"Inbreeding",12,22,"11-80 aphids;1 ant",1,0,0,0,0,1,0,0,"",NA,NA,NA,NA,0,0,0
2004000861,2975,2004,"Inbreeding",13,28,"11-80 aphids;2-10 ants",0,1,0,0,0,1,0,0,"",NA,NA,NA,NA,0,0,0
2004000865,2977,2004,"Inbreeding",12,21,">80 aphids;1 ant",1,0,0,0,0,0,1,0,"",NA,NA,NA,NA,0,0,0
2004000870,2978,2004,"Inbreeding",10,26,"11-80 aphids;2-10 ants;1 larva",0,1,0,0,0,1,0,0,"",NA,NA,NA,NA,0,0,0
2004000873,2979,2004,"Inbreeding",9,23,"2-10 aphids",0,0,0,0,1,0,0,0,"",NA,NA,NA,NA,0,0,0
2004000878,3011,2004,"Inbreeding",9,19,"11-80 aphids;1 ant",1,0,0,0,0,1,0,0,"",NA,NA,NA,NA,0,0,0
2004000924,3080,2004,"Inbreeding",10,20,"",0,0,0,0,0,0,0,0,"",NA,NA,NA,NA,0,0,0
2004000928,3082,2004,"Inbreeding",15,20,"11-80 aphids;1 2mm brown/blk beetle",0,0,0,0,0,1,0,0,"",NA,NA,NA,NA,0,0,0
2004000937,3083,2004,"Inbreeding",22,23,"11-80 aphids",0,0,0,0,0,1,0,0,"",NA,NA,NA,NA,0,0,0
2004000942,3086,2004,"Inbreeding",16,20,"11-80 aphids",0,0,0,0,0,1,0,0,"",NA,NA,NA,NA,0,0,0
2004000946,3089,2004,"Inbreeding",8,23,"11-80 aphids;2-10 ants",0,1,0,0,0,1,0,0,"",NA,NA,NA,NA,0,0,0
2004000950,3102,2004,"Inbreeding",9,18,"11-80 aphids;2-10 ants",0,1,0,0,0,1,0,0,"",NA,NA,NA,NA,0,0,0
2004000953,3179,2004,"Inbreeding",9,23,">80 aphids;2-10 ants",0,1,0,0,0,0,1,0,"",NA,NA,NA,NA,0,0,0
2004000958,3298,2004,"Inbreeding",8,18,"11-80 aphids;2-10 ants",0,1,0,0,0,1,0,0,"",NA,NA,NA,NA,0,0,0
2004000965,3266,2004,"Inbreeding",13,22,"11-80 aphids;2-10 ants;other (Note)",0,1,0,0,0,1,0,0,"",NA,NA,NA,NA,0,0,0
2004000968,3264,2004,"Inbreeding",17,26,">80 aphids;2-10 ants;other (Note)",0,1,0,0,0,0,1,0,"",NA,NA,NA,NA,0,0,0
2004000974,3241,2004,"Inbreeding",9,23,"2-10 aphids;white gunk",0,0,0,0,1,0,0,0,"",NA,NA,NA,NA,0,0,0
2004000977,3222,2004,"Inbreeding",11,20,"2-10 aphids;1 ant",1,0,0,0,1,0,0,0,"",NA,NA,NA,NA,0,0,0
2004000979,3197,2004,"Inbreeding",6,20,"",0,0,0,0,0,0,0,0,"",NA,NA,NA,NA,0,0,0
2004000982,3342,2004,"Inbreeding",9,20,"11-80 aphids;2-10 ants;white gunk",0,1,0,0,0,1,0,0,"",NA,NA,NA,NA,0,0,0
2004000986,3372,2004,"Inbreeding",18,29,"2-10 aphids",0,0,0,0,1,0,0,0,"",NA,NA,NA,NA,0,0,0
2005000213,2946,2005,"Inbreeding",9,41,"",0,0,0,0,0,0,0,0,"Nibbles;Holes;4 lvs minor",1,1,0,0,4,0,0
2005000214,2956,2005,"Inbreeding",13,25,"1 ant",1,0,0,0,0,0,0,0,"Nibbles;Holes;1 lf minor;4 lvs minor",1,1,0,0,5,0,0
2005000215,2957,2005,"Inbreeding",14,31,"other (Note)",0,0,0,0,0,0,0,0,"Nibbles;1 lf minor;4 lvs minor",1,0,0,0,5,0,0
2005000216,2959,2005,"Inbreeding",8,18,"",0,0,0,0,0,0,0,0,"Nibbles;2 lvs minor",1,0,0,0,2,0,0
