"cgPlaId","expNm","matCgPlaId","matFam","matPop","sireCgPlaId","sireFam","sirePop","crossLevel"
9267,"",NA,410,"Eriley",NA,410,"Eriley","I"
9462,"",NA,188,"SPP",NA,188,"SPP","I"
9545,"",NA,410,"Eriley",NA,410,"Eriley","I"
9575,"",NA,410,"Eriley",NA,410,"Eriley","I"
9745,"",NA,410,"Eriley",NA,410,"Eriley","I"
10383,"",NA,188,"SPP",NA,188,"SPP","I"
10606,"",NA,410,"Eriley",NA,410,"Eriley","I"
2918,"Inbreeding",537,31,"Stevens",545,14,"Stevens","W"
2919,"Inbreeding",139,408,"Eriley",135,406,"Eriley","W"
2920,"Inbreeding",110,417,"SPP",105,110,"Lf","B"
2921,"Inbreeding",256,110,"Lf",NA,NA,"",""
2922,"Inbreeding",12,176,"SPP",105,110,"Lf","B"
2923,"Inbreeding",227,110,"Lf",86,198,"SPP","B"
2924,"Inbreeding",165,127,"Lf",545,14,"Stevens","B"
2925,"Inbreeding",377,69,"NWLF",86,198,"SPP","B"
2926,"Inbreeding",434,79,"NWLF",29,129,"Lf","B"
2927,"Inbreeding",62,406,"Eriley",227,110,"Lf","B"
2928,"Inbreeding",12,176,"SPP",60,195,"SPP","W"
2929,"Inbreeding",513,18,"Stevens",544,18,"Stevens","I"
2930,"Inbreeding",93,92,"AA",227,110,"Lf","B"
2931,"Inbreeding",545,14,"Stevens",438,14,"Stevens","I"
2932,"Inbreeding",60,195,"SPP",545,14,"Stevens","B"
2933,"Inbreeding",231,14,"Stevens",438,14,"Stevens","I"
2934,"Inbreeding",12,176,"SPP",12,176,"SPP","I"
2935,"Inbreeding",164,403,"Eriley",12,176,"SPP","B"
2936,"Inbreeding",164,403,"Eriley",60,195,"SPP","B"
2937,"Inbreeding",231,14,"Stevens",438,14,"Stevens","I"
2938,"Inbreeding",133,411,"Eriley",60,195,"SPP","B"
2939,"Inbreeding",110,417,"SPP",105,110,"Lf","B"
2940,"Inbreeding",110,417,"SPP",164,403,"Eriley","B"
2941,"Inbreeding",105,110,"Lf",19,404,"Eriley","B"
2942,"Inbreeding",93,92,"AA",377,69,"NWLF","B"
2943,"Inbreeding",363,52,"NWLF",227,110,"Lf","B"
2944,"Inbreeding",160,41,"Lf",60,195,"SPP","B"
2945,"Inbreeding",8,141,"Lf",378,76,"NWLF","B"
2946,"Inbreeding",133,411,"Eriley",19,404,"Eriley","W"
2947,"Inbreeding",93,92,"AA",86,198,"SPP","B"
2948,"Inbreeding",37,140,"Lf",377,69,"NWLF","B"
2949,"Inbreeding",334,76,"NWLF",227,110,"Lf","B"
2950,"Inbreeding",160,41,"Lf",60,195,"SPP","B"
2951,"Inbreeding",336,14,"Stevens",331,14,"Stevens","I"
2952,"Inbreeding",363,52,"NWLF",227,110,"Lf","B"
2953,"Inbreeding",19,404,"Eriley",164,403,"Eriley","W"
2954,"Inbreeding",136,405,"Eriley",166,405,"Eriley","I"
2955,"Inbreeding",165,127,"Lf",227,110,"Lf","W"
2956,"Inbreeding",331,14,"Stevens",231,14,"Stevens","I"
2957,"Inbreeding",322,60,"NWLF",378,76,"NWLF","W"
2958,"Inbreeding",105,110,"Lf",164,403,"Eriley","B"
2959,"Inbreeding",57,290,"Nessman",227,110,"Lf","B"
2960,"Inbreeding",439,69,"NWLF",545,14,"Stevens","B"
2961,"Inbreeding",348,185,"SPP",201,185,"SPP","I"
2962,"Inbreeding",93,92,"AA",227,110,"Lf","B"
2963,"Inbreeding",159,198,"SPP",86,198,"SPP","I"
2964,"Inbreeding",545,14,"Stevens",322,60,"NWLF","B"
2965,"Inbreeding",93,92,"AA",377,69,"NWLF","B"
2966,"Inbreeding",60,195,"SPP",19,404,"Eriley","B"
2967,"Inbreeding",336,14,"Stevens",545,14,"Stevens","I"
2968,"Inbreeding",334,76,"NWLF",545,14,"Stevens","B"
2969,"Inbreeding",12,176,"SPP",164,403,"Eriley","B"
2970,"Inbreeding",12,176,"SPP",105,110,"Lf","B"
2971,"Inbreeding",105,110,"Lf",NA,NA,"",""
2972,"Inbreeding",161,411,"Eriley",64,140,"Lf","B"
2973,"Inbreeding",19,404,"Eriley",105,110,"Lf","B"
2974,"Inbreeding",12,176,"SPP",164,403,"Eriley","B"
2975,"Inbreeding",299,70,"NWLF",545,14,"Stevens","B"
2976,"Inbreeding",545,14,"Stevens",336,14,"Stevens","I"
2977,"Inbreeding",348,185,"SPP",329,185,"SPP","I"
2978,"Inbreeding",507,141,"Lf",545,14,"Stevens","B"
