positionID,packID,row,group.position,position,maternalID,paternalID,planting.notes,presence1,leafnumber1,notes1,presence2,leafnumber2,notes2,presence3,leafnumber3,notes3,presence4,flowering4,munched4,notes4,presence5,flowering5,munched5,notes5,presence6,notes6,notes7,presence8,flowering8,crispy.pods8,green.pods8,ground.pods8,pods.on.plant8,seed.ct,green.seed.ct,ground.seed.ct,notes8,final.notes
1,1,100,1,0.8,65,110,,0,NA,,0,NA,,0,NA,,0,NA,NA,,NA,NA,NA,,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,
2,1,100,1,0.9,65,110,,0,NA,,0,NA,,0,NA,,0,NA,NA,,NA,NA,NA,,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,
3,1,100,1,1,65,110,,1,3,,1,4,,1,6,,1,0,0,,0,NA,NA,,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,
4,1,100,1,1.1,65,110,,0,NA,,0,NA,,0,NA,,0,NA,NA,,NA,NA,NA,,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,
5,1,100,1,1.2,65,110,,0,NA,,0,NA,,1,1,,1,0,0,,1,0,0,,0,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,
6,2,100,3,2.8,94,160,,0,NA,,0,NA,,0,NA,,0,NA,NA,,NA,NA,NA,,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,
7,2,100,3,2.9,94,160,,1,3,,1,5,,1,6,,1,0,0,,0,NA,NA,,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,
8,2,100,3,3,94,160,,0,NA,,0,NA,,0,NA,,0,NA,NA,,NA,NA,NA,,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,
9,2,100,3,3.1,94,160,,0,NA,,0,NA,,0,NA,,0,NA,NA,,NA,NA,NA,,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,
10,2,100,3,3.2,94,160,,1,0,,1,2,,1,4,,1,0,0,,1,0,0,,1,,,1,1,1,0,0,0,8,NA,NA,,
11,3,100,5,4.8,150,119,,0,NA,,0,NA,,0,NA,,0,NA,NA,,NA,NA,NA,,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,
12,3,100,5,4.9,150,119,,0,NA,,0,NA,,0,NA,,0,NA,NA,,NA,NA,NA,,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,
13,3,100,5,5,150,119,,0,NA,,0,NA,,0,NA,,0,NA,NA,,NA,NA,NA,,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,
14,3,100,5,5.1,150,119,,0,NA,,0,NA,,0,NA,,0,NA,NA,,NA,NA,NA,,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,
15,3,100,5,5.2,150,119,,0,NA,,0,NA,,0,NA,,0,NA,NA,,NA,NA,NA,,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,
16,4,100,7,6.8,181,71,,0,NA,,0,NA,,0,NA,,0,NA,NA,,NA,NA,NA,,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,
17,4,100,7,6.9,181,71,,0,NA,,0,NA,,0,NA,,0,NA,NA,,NA,NA,NA,,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,
18,4,100,7,7,181,71,,0,NA,,0,NA,,0,NA,,0,NA,NA,,NA,NA,NA,,NA,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,
