id,site,block,patch,p.pos,trt,pop,fam,esurv,july.stage,july.height,july.leaf,herbivory.category,disease.category,fall.stage,branch.number,seed.pods,browsed
1,ACNW,1,1,1,removal,CRA,20,0,0,0,0,?,?,0,0,0,0
2,ACNW,1,1,2,removal,CRA,6,0,0,0,0,?,?,0,0,0,0
3,ACNW,1,1,3,removal,CRA,23,0,0,0,0,?,?,0,0,0,0
4,ACNW,1,1,4,removal,CRA,26,0,0,0,0,?,?,0,0,0,0
5,ACNW,1,2,1,competition,GCD,13,0,0,0,0,?,?,0,0,0,0
6,ACNW,1,2,2,competition,GCD,29,0,0,0,0,?,?,0,0,0,0
7,ACNW,1,2,3,competition,GCD,5,0,0,0,0,?,?,0,0,0,0
8,ACNW,1,2,4,competition,GCD,8,0,0,0,0,?,?,0,0,0,0
9,ACNW,1,3,1,removal,KZA,10,0,0,0,0,?,?,0,0,0,0
10,ACNW,1,3,2,removal,KZA,28,0,0,0,0,?,?,0,0,0,0
11,ACNW,1,3,3,removal,KZA,2,0,0,0,0,?,?,0,0,0,0
12,ACNW,1,3,4,removal,KZA,16,0,0,0,0,?,?,0,0,0,0
13,ACNW,1,4,1,competition,CRA,20,0,0,0,0,?,?,0,0,0,0
14,ACNW,1,4,2,competition,CRA,6,1,1,17.5,4,1,3,0,0,0,0
15,ACNW,1,4,3,competition,CRA,23,0,0,0,0,?,?,0,0,0,0
16,ACNW,1,4,4,competition,CRA,26,1,1,18.5,4,1,3,0,0,0,0
17,ACNW,1,5,1,competition,TYS,14,0,0,0,0,?,?,0,0,0,0
18,ACNW,1,5,2,competition,TYS,30,0,0,0,0,?,?,0,0,0,0
19,ACNW,1,5,3,competition,TYS,35,0,0,0,0,?,?,0,0,0,0
20,ACNW,1,5,4,competition,TYS,26,0,0,0,0,?,?,0,0,0,0
21,ACNW,1,6,1,removal,GCD,13,0,0,0,0,?,?,0,0,0,0
22,ACNW,1,6,2,removal,GCD,29,0,0,0,0,?,?,0,0,0,0
23,ACNW,1,6,3,removal,GCD,5,0,0,0,0,?,?,0,0,0,0
24,ACNW,1,6,4,removal,GCD,8,0,0,0,0,?,?,0,0,0,0
25,ACNW,1,7,1,removal,GRE,30,0,0,0,0,?,?,0,0,0,0
26,ACNW,1,7,2,removal,GRE,33,0,0,0,0,?,?,0,0,0,0
27,ACNW,1,7,3,removal,GRE,20,0,0,0,0,?,?,0,0,0,0
28,ACNW,1,7,4,removal,GRE,28,?,0,0,0,?,?,0,0,0,0
29,ACNW,1,8,1,removal,TYS,14,0,0,0,0,?,?,0,0,0,0
30,ACNW,1,8,2,removal,TYS,30,0,0,0,0,?,?,0,0,0,0
31,ACNW,1,8,3,removal,TYS,35,0,0,0,0,?,?,0,0,0,0
32,ACNW,1,8,4,removal,TYS,26,0,0,0,0,?,?,0,0,0,0
33,ACNW,1,9,1,competition,GRE,30,0,0,0,0,?,?,0,0,0,0
34,ACNW,1,9,2,competition,GRE,33,1,1,13.5,4,1,3,1,1,0,0
35,ACNW,1,9,3,competition,GRE,20,0,0,0,0,?,?,0,0,0,0
36,ACNW,1,9,4,competition,GRE,28,0,0,0,0,?,?,0,0,0,0
37,ACNW,1,10,1,competition,KZA,10,0,0,0,0,?,?,0,0,0,0
38,ACNW,1,10,2,competition,KZA,28,0,0,0,0,?,?,0,0,0,0
39,ACNW,1,10,3,competition,KZA,2,1,1,15,3,1,3,1,1,0,0
40,ACNW,1,10,4,competition,KZA,16,0,0,0,0,?,?,0,0,0,0
41,ACNW,2,1,1,competition,KZA,15,0,0,0,0,?,?,0,0,0,0
42,ACNW,2,1,2,competition,KZA,37,0,0,0,0,?,?,0,0,0,0
43,ACNW,2,1,3,competition,KZA,9,0,0,0,0,?,?,0,0,0,0
44,ACNW,2,1,4,competition,KZA,11,1,0,0,0,?,?,0,0,0,0
45,ACNW,2,2,1,removal,GRE,7,0,0,0,0,?,?,0,0,0,0
46,ACNW,2,2,2,removal,GRE,6,0,0,0,0,?,?,0,0,0,0
47,ACNW,2,2,3,removal,GRE,37,0,0,0,0,?,?,0,0,0,0
48,ACNW,2,2,4,removal,GRE,13,0,0,0,0,?,?,0,0,0,0
49,ACNW,2,3,1,removal,GCD,28,0,0,0,0,?,?,0,0,0,0
50,ACNW,2,3,2,removal,GCD,30,0,0,0,0,?,?,0,0,0,0
51,ACNW,2,3,3,removal,GCD,2,0,0,0,0,?,?,0,0,0,0
52,ACNW,2,3,4,removal,GCD,26,0,0,0,0,?,?,0,0,0,0
53,ACNW,2,4,1,removal,CRA,11,1,1,0,0,?,?,0,0,0,1
54,ACNW,2,4,2,removal,CRA,14,0,0,0,0,?,?,0,0,0,0
55,ACNW,2,4,3,removal,CRA,4,1,0,0,0,?,?,0,0,0,0
56,ACNW,2,4,4,removal,CRA,38,1,0,0,0,?,?,0,0,0,0
57,ACNW,2,5,1,removal,KZA,15,0,0,0,0,?,?,0,0,0,0
58,ACNW,2,5,2,removal,KZA,37,0,0,0,0,?,?,0,0,0,0
59,ACNW,2,5,3,removal,KZA,9,0,0,0,0,?,?,0,0,0,0
60,ACNW,2,5,4,removal,KZA,11,0,0,0,0,?,?,0,0,0,0
61,ACNW,2,6,1,competition,GCD,28,?,0,0,0,?,?,0,0,0,0
62,ACNW,2,6,2,competition,GCD,30,1,1,22,6,2,3,0,0,0,0
63,ACNW,2,6,3,competition,GCD,2,1,1,20.5,4,1,3,0,0,0,0
64,ACNW,2,6,4,competition,GCD,26,0,0,0,0,?,?,0,0,0,0
65,ACNW,2,7,1,competition,CRA,11,0,0,0,0,?,?,0,0,0,0
66,ACNW,2,7,2,competition,CRA,14,0,0,0,0,?,?,0,0,0,0
67,ACNW,2,7,3,competition,CRA,4,0,0,0,0,?,?,0,0,0,0
68,ACNW,2,7,4,competition,CRA,38,1,1,15,5,1,3,0,0,0,0
69,ACNW,2,8,1,competition,GRE,7,0,0,0,0,?,?,0,0,0,0
70,ACNW,2,8,2,competition,GRE,6,1,0,0,0,?,?,0,0,0,0
71,ACNW,2,8,3,competition,GRE,37,1,0,0,0,?,?,0,0,0,0
72,ACNW,2,8,4,competition,GRE,13,1,1,0,0,?,?,0,0,0,0
73,ACNW,2,9,1,removal,TYS,37,1,1,10,5,1,4,0,0,0,0
74,ACNW,2,9,2,removal,TYS,27,?,0,0,0,?,?,0,0,0,0
75,ACNW,2,9,3,removal,TYS,25,?,0,0,0,?,?,0,0,0,0
76,ACNW,2,9,4,removal,TYS,24,?,0,0,0,?,?,0,0,0,0
77,ACNW,2,10,1,competition,TYS,37,1,1,10,2,1,4,1,1,0,0
78,ACNW,2,10,2,competition,TYS,27,0,0,0,0,?,?,0,0,0,0
79,ACNW,2,10,3,competition,TYS,25,0,0,0,0,?,?,0,0,0,0
80,ACNW,2,10,4,competition,TYS,24,0,0,0,0,?,?,0,0,0,0
81,ACNW,3,1,1,removal,KZA,1,0,0,0,0,?,?,0,0,0,0
82,ACNW,3,1,2,removal,KZA,36,0,0,0,0,?,?,0,0,0,0
83,ACNW,3,1,3,removal,KZA,13,1,0,0,0,?,?,0,0,0,0
84,ACNW,3,1,4,removal,KZA,5,0,0,0,0,?,?,0,0,0,0
85,ACNW,3,2,1,removal,GRE,23,0,0,0,0,?,?,0,0,0,0
86,ACNW,3,2,2,removal,GRE,25,0,0,0,0,?,?,0,0,0,0
87,ACNW,3,2,3,removal,GRE,18,0,0,0,0,?,?,0,0,0,0
88,ACNW,3,2,4,removal,GRE,24,1,1,20.5,6,1,3,0,0,0,0
89,ACNW,3,3,1,removal,TYS,10,0,0,0,0,?,?,0,0,0,0
90,ACNW,3,3,2,removal,TYS,32,0,0,0,0,?,?,0,0,0,0
91,ACNW,3,3,3,removal,TYS,20,0,0,0,0,?,?,0,0,0,0
92,ACNW,3,3,4,removal,TYS,21,1,1,0,0,?,?,0,0,0,1
93,ACNW,3,4,1,competition,GCD,12,0,0,0,0,?,?,0,0,0,0
94,ACNW,3,4,2,competition,GCD,14,0,0,0,0,?,?,0,0,0,0
95,ACNW,3,4,3,competition,GCD,40,0,0,0,0,?,?,0,0,0,0
96,ACNW,3,4,4,competition,GCD,25,0,0,0,0,?,?,0,0,0,0
