Year,Site,Plant.ID,Trt,NumCf,pForbs,pGrasses,pLegumes,pWoody,pBare,weight.clipped,Initial.Height,Initial.LfNum,Survival,Stage,Final.Height,Fin.Branch,Fin.LeafNum,Fin.SeedPod
2007,CRA,1,C,,.,.,.,.,.,.,33,.,1,.,89,.,12,13
2007,CRA,2,R,,.,.,.,.,.,.,41,.,0,.,.,.,.,.
2007,CRA,3,C,,.,.,.,.,.,.,28,.,.,.,.,.,.,.
2007,CRA,4,R,,.,.,.,.,.,.,15,.,0,.,.,.,.,.
2007,CRA,5,C,,.,.,.,.,.,.,28,.,0,.,.,.,.,.
2007,CRA,6,R,,.,.,.,.,.,.,28,.,.,.,.,.,.,.
2007,CRA,7,C,,.,.,.,.,.,.,23,.,.,.,.,.,.,.
2007,CRA,8,R,,.,.,.,.,.,.,28,.,0,.,.,.,.,.
2007,CRA,9,C,,.,.,.,.,.,.,33,.,1,.,74,.,.,4
2007,CRA,10,R,,.,.,.,.,.,.,33,.,0,.,.,.,.,.
2007,CRA,11,C,,.,.,.,.,.,.,41,.,1,.,74,.,7,4
2007,CRA,12,R,,.,.,.,.,.,.,36,.,.,.,.,.,.,.
2007,CRA,13,C,,.,.,.,.,.,.,23,.,0,.,.,.,.,.
2007,CRA,14,R,,.,.,.,.,.,.,30,.,0,.,.,.,.,.
2007,CRA,15,C,,.,.,.,.,.,.,33,.,1,.,74,.,.,15
2007,CRA,16,R,,.,.,.,.,.,.,20,.,0,.,.,.,.,.
2007,CRA,17,C,,.,.,.,.,.,.,23,.,1,.,79,.,5,6
2007,CRA,18,R,,.,.,.,.,.,.,23,.,0,.,.,.,.,.
2007,CRA,19,C,,.,.,.,.,.,.,23,.,.,.,.,.,.,.
2007,CRA,20,R,,.,.,.,.,.,.,18,.,.,.,.,.,.,.
2007,CRA,21,C,,.,.,.,.,.,.,8,.,1,.,38,.,6,4
2007,CRA,22,R,,.,.,.,.,.,.,8,.,0,.,.,.,.,.
2007,CRA,23,C,,.,.,.,.,.,.,30,.,1,.,61,.,.,4
2007,CRA,24,R,,.,.,.,.,.,.,23,.,0,.,.,.,.,.
2007,CRA,25,C,,.,.,.,.,.,.,20,.,1,.,36,.,3,1
2007,CRA,26,R,,.,.,.,.,.,.,20,.,0,.,.,.,.,.
2007,CRA,27,C,,.,.,.,.,.,.,15,.,1,.,43,.,9,7
2007,CRA,28,R,,.,.,.,.,.,.,15,.,0,.,.,.,.,.
2007,CRA,29,C,,.,.,.,.,.,.,18,.,1,.,58,1,10,10
2007,CRA,30,R,,.,.,.,.,.,.,18,.,1,.,53,2,15,4
2007,CRA,31,C,,.,.,.,.,.,.,33,.,1,.,102,.,4,18
2007,CRA,32,R,,.,.,.,.,.,.,33,.,1,.,46,2,3,4
2007,CRA,33,C,,.,.,.,.,.,.,28,.,1,.,56,.,8,3
2007,CRA,34,R,,.,.,.,.,.,.,28,.,1,.,107,.,23,29
2007,CRA,35,C,,.,.,.,.,.,.,18,.,.,.,.,.,.,.
2007,CRA,36,R,,.,.,.,.,.,.,15,.,.,.,.,.,.,.
2007,CRA,37,C,,.,.,.,.,.,.,25,.,1,.,25,.,.,1
2007,CRA,38,R,,.,.,.,.,.,.,25,.,.,.,.,.,.,.
2007,CRA,39,C,,.,.,.,.,.,.,28,.,1,.,53,.,.,4
2007,CRA,40,R,,.,.,.,.,.,.,23,.,.,.,.,.,.,.
2007,CRA,41,C,,.,.,.,.,.,.,33,.,1,.,66,.,3,0
2007,CRA,42,R,,.,.,.,.,.,.,38,.,0,.,.,.,.,.
2007,CRA,43,C,,.,.,.,.,.,.,25,.,1,.,61,.,3,8
2007,CRA,44,R,,.,.,.,.,.,.,28,.,0,.,.,.,.,.
2007,CRA,45,C,,.,.,.,.,.,.,18,.,1,.,36,.,0,1
2007,CRA,46,R,,.,.,.,.,.,.,15,.,.,.,.,.,.,.
2007,CRA,47,C,,.,.,.,.,.,.,33,.,1,.,117,.,11,13
2007,CRA,48,R,,.,.,.,.,.,.,36,.,1,.,99,.,10,18
2007,CRA,49,C,,.,.,.,.,.,.,38,.,1,.,64,.,0,4
2007,CRA,50,R,,.,.,.,.,.,.,38,.,1,.,114,.,23,45
2007,CRA,51,C,,.,.,.,.,.,.,23,.,1,.,36,.,5,0
2007,CRA,52,R,,.,.,.,.,.,.,23,.,0,.,.,.,.,.
2007,CRA,53,C,,.,.,.,.,.,.,28,.,0,.,.,.,.,.
2007,CRA,54,R,,.,.,.,.,.,.,23,.,.,.,.,.,.,.
2007,CRA,55,C,,.,.,.,.,.,.,38,.,1,.,119,6,47,36
2007,CRA,56,R,,.,.,.,.,.,.,38,.,1,.,46,2,12,5
2007,CRA,57,C,,.,.,.,.,.,.,36,.,0,.,.,.,.,.
2007,CRA,58,R,,.,.,.,.,.,.,36,.,.,.,.,.,.,.
2007,CRA,59,C,,.,.,.,.,.,.,36,.,1,.,86,.,12,11
2007,CRA,60,R,,.,.,.,.,.,.,33,.,.,.,.,.,.,.
2007,GCD,1,C,,.,.,.,.,.,.,20,.,1,.,31,1,5,4
2007,GCD,2,R,,.,.,.,.,.,.,20,.,1,.,51,2,17,10
2007,GCD,3,C,,.,.,.,.,.,.,20,.,1,.,23,2,6,5
2007,GCD,4,R,,.,.,.,.,.,.,20,.,1,.,38,2,10,8
2007,GCD,5,C,,.,.,.,.,.,.,15,.,1,.,20,1,5,2
2007,GCD,6,R,,.,.,.,.,.,.,15,.,1,.,31,2,10,7
2007,GCD,7,C,,.,.,.,.,.,.,15,.,1,.,25,1,5,5
2007,GCD,8,R,,.,.,.,.,.,.,13,.,1,.,28,1,4,2
2007,GCD,9,C,,.,.,.,.,.,.,18,.,1,.,41,2,19,11
2007,GCD,10,R,,.,.,.,.,.,.,13,.,1,.,36,1,3,5
2007,GCD,11,C,,.,.,.,.,.,.,23,.,1,.,43,1,10,6
2007,GCD,12,R,,.,.,.,.,.,.,23,.,1,.,41,2,.,9
2007,GCD,13,C,,.,.,.,.,.,.,28,.,1,.,38,1,7,7
2007,GCD,14,R,,.,.,.,.,.,.,28,.,1,.,36,1,7,10
2007,GCD,15,C,,.,.,.,.,.,.,23,.,1,.,43,2,16,12
2007,GCD,16,R,,.,.,.,.,.,.,23,.,1,.,46,1,12,10
2007,GCD,17,C,,.,.,.,.,.,.,23,.,1,.,33,1,6,7
2007,GCD,18,R,,.,.,.,.,.,.,23,.,1,.,33,1,13,7
2007,GCD,19,C,,.,.,.,.,.,.,18,.,1,.,23,1,0,1
2007,GCD,20,R,,.,.,.,.,.,.,18,.,1,.,31,1,4,5
2007,GCD,21,C,,.,.,.,.,.,.,28,.,1,.,43,.,.,.
2007,GCD,22,R,,.,.,.,.,.,.,20,.,1,.,20,.,.,.
2007,GCD,23,C,,.,.,.,.,.,.,36,.,.,.,.,.,.,.
2007,GCD,24,R,,.,.,.,.,.,.,36,.,0,.,.,.,.,.
2007,GCD,25,C,,.,.,.,.,.,.,25,.,.,.,.,.,.,.
2007,GCD,26,R,,.,.,.,.,.,.,25,.,0,.,.,.,.,.
2007,GCD,27,C,,.,.,.,.,.,.,20,.,1,.,23,3,9,2
2007,GCD,28,R,,.,.,.,.,.,.,20,.,0,.,.,.,.,.
2007,GCD,29,C,,.,.,.,.,.,.,20,.,1,.,31,1,7,5
2007,GCD,30,R,,.,.,.,.,.,.,15,.,1,.,18,2,4,1
2007,GCD,31,C,,.,.,.,.,.,.,20,.,0,.,.,.,.,.
2007,GCD,32,R,,.,.,.,.,.,.,20,.,0,.,.,.,.,.
2007,GCD,33,C,,.,.,.,.,.,.,20,.,0,.,.,.,.,.
2007,GCD,34,R,,.,.,.,.,.,.,18,.,1,.,18,1,2,1
2007,GCD,35,C,,.,.,.,.,.,.,15,.,1,.,18,1,0,3
2007,GCD,36,R,,.,.,.,.,.,.,15,.,0,.,.,.,.,.
2007,GCD,37,C,,.,.,.,.,.,.,20,.,0,.,.,.,.,.
2007,GCD,38,R,,.,.,.,.,.,.,20,.,.,.,.,.,.,.
2007,GCD,39,C,,.,.,.,.,.,.,23,.,.,.,.,.,.,.
2007,GCD,40,R,,.,.,.,.,.,.,23,.,0,.,.,.,.,.
2007,GCD,41,C,,.,.,.,.,.,.,20,.,0,.,.,.,.,.
2007,GCD,42,R,,.,.,.,.,.,.,20,.,.,.,.,.,.,.
2007,GCD,43,C,,.,.,.,.,.,.,13,.,1,.,18,1,0,1
2007,GCD,44,R,,.,.,.,.,.,.,10,.,1,.,18,3,5,2
2007,GCD,45,C,,.,.,.,.,.,.,25,.,.,.,.,.,.,.
2007,GCD,46,R,,.,.,.,.,.,.,25,.,.,.,.,.,.,.
2007,GCD,47,C,,.,.,.,.,.,.,15,.,.,.,.,.,.,.
2007,GCD,48,R,,.,.,.,.,.,.,18,.,0,.,.,.,.,.
2007,GCD,49,C,,.,.,.,.,.,.,18,.,1,.,38,1,2,5
2007,GCD,50,R,,.,.,.,.,.,.,15,.,0,.,.,.,.,.
2007,GCD,51,C,,.,.,.,.,.,.,25,.,.,.,.,.,.,.
2007,GCD,52,R,,.,.,.,.,.,.,25,.,0,.,.,.,.,.
2007,GCD,53,C,,.,.,.,.,.,.,15,.,1,.,15,1,3,0
2007,GCD,54,R,,.,.,.,.,.,.,15,.,1,.,18,1,4,2
2007,GCD,55,C,,.,.,.,.,.,.,20,.,1,.,43,1,9,10
2007,GCD,56,R,,.,.,.,.,.,.,18,.,0,.,.,.,.,.
2007,GCD,57,C,,.,.,.,.,.,.,23,.,1,.,25,1,8,4
2007,GCD,58,R,,.,.,.,.,.,.,23,.,1,.,28,1,1,6
2007,GCD,59,C,,.,.,.,.,.,.,30,.,1,.,46,1,0,10
2007,GCD,60,R,,.,.,.,.,.,.,28,.,1,.,33,1,0,2
2007,GRE,1,C,,.,.,.,.,.,.,18,.,1,.,58,1,4,7
2007,GRE,2,R,,.,.,.,.,.,.,15,.,1,.,79,6,40,48
2007,GRE,3,C,,.,.,.,.,.,.,15,.,1,.,58,2,16,4
2007,GRE,4,R,,.,.,.,.,.,.,13,.,1,.,46,2,16,11
2007,GRE,5,C,,.,.,.,.,.,.,13,.,1,.,23,1,1,0
2007,GRE,6,R,,.,.,.,.,.,.,15,.,1,.,64,2,13,17
2007,GRE,7,C,,.,.,.,.,.,.,20,.,1,.,71,1,5,4
2007,GRE,8,R,,.,.,.,.,.,.,18,.,1,.,58,1,16,13
2007,GRE,9,C,,.,.,.,.,.,.,15,.,0,.,.,.,.,.
2007,GRE,10,R,,.,.,.,.,.,.,15,.,1,.,66,4,33,16
2007,GRE,11,C,,.,.,.,.,.,.,23,.,1,.,79,1,9,9
2007,GRE,12,R,,.,.,.,.,.,.,23,.,1,.,64,2,17,18
