Population,Pool,Sire,Dam,Treatment,RepbyDam, Replicate,Bin ,Column,Row,IfPlantGerm,IfFlowered,numberinflors,inflorwt
Dales,3,1,A,Normal,1,D1AC1,3C,C,7,1,1,1,7.79
Dales,3,1,A,Normal,2,D1AC2,11C,J,18,1,1,2,8.51
Dales,3,1,A,Normal,3,D1AC3,5C,F,6,1,1,3,9.64
Dales,3,1,A,Nino,1,D1AN1,6N,E,7,1,1,4,8.66
Dales,3,1,A,Nino,2,D1AN2,5N,D,18,1,1,5,8.1
Dales,3,1,A,Nino,3,D1AN3,9N,C,17,1,1,1,7.37
Dales,3,1,A,Nina,1,D1AS1,11S,G,11,1,1,1,8.005
Dales,3,1,A,Nina,2,D1AS2,10S,B,10,1,1,2,6.047
Dales,3,1,A,Nina,3,D1AS3,2S,G,7,1,1,1,7.505
Dales,2,1,B,Normal,1,D1BC1,11C,J,16,1,1,2,9.63
Dales,2,1,B,Normal,2,D1BC2,7C,G,13,1,1,3,12.82
Dales,2,1,B,Normal,3,D1BC3,1C,H,10,1,1,3,12.27
Dales,2,1,B,Nino,1,D1BN1,8N,D,20,1,1,3,25.53
Dales,2,1,B,Nino,2,D1BN2,2N,H,14,1,1,1,1.49
Dales,2,1,B,Nino,3,D1BN3,4N,D,12,1,1,2,12.33
Dales,2,1,B,Nina,1,D1BS1,7S,G,3,1,0,,
Dales,2,1,B,Nina,2,D1BS2,6S,C,9,1,0,,
Dales,2,1,B,Nina,3,D1BS3,11S,G,5,1,0,,
Dales,1,1,C,Normal,1,D1CC1,11C,J,14,1,1,3,14.21
Dales,1,1,C,Normal,2,D1CC2,5C,E,11,1,1,1,6.12
Dales,1,1,C,Normal,3,D1CC3,8C,H,14,1,1,2,9.33
Dales,1,1,C,Nino,1,D1CN1,5N,C,17,1,1,5,21.16
Dales,1,1,C,Nino,2,D1CN2,8N,C,15,1,1,1,9.82
Dales,1,1,C,Nino,3,D1CN3,2N,J,6,1,1,2,10.75
Dales,1,1,C,Nina,1,D1CS1,1S,A,1,1,0,,
Dales,1,1,C,Nina,2,D1CS2,4S,A,5,1,1,1,8.712
Dales,1,1,C,Nina,3,D1CS3,10S,E,7,1,0,,
Dales,2,2,A,Normal,1,D2AC1,3C,G,5,1,1,2,7.28
