Sire ,BV_LB_2018,BV_LB_2019,BV_ML_2018,BV_ML_2019,BV_SD_2018,BV_SD_2019
6,0.033641052,0.82238397,114.5566288,2.57180461,4.723901068,3.45782451
17,0.073622018,0.537696805,85.50994409,0.925752851,4.723901068,2.51483404
19,0.03360323,0.930564514,88.20808654,0.917759108,4.723901068,2.617714006
20,0.032639727,0.535292202,87.37057135,1.019843909,4.723901068,2.478786745
21,0.121040897,0.992659045,261.9449349,1.409528592,27.97524072,4.946548559
30,0.034451034,0.741446939,253.2557236,0.94224984,12.94339254,4.043695637
44,0.032935411,0.837719355,103.5628508,1.490028402,4.723901068,2.533857847
47,0.034512891,0.834229205,189.5076449,0.911969321,6.032162865,2.762579773
57,0.033296353,1.074915271,161.7005928,1.332960715,4.723901068,4.339889324
61,0.034156591,0.722220352,198.5206796,2.025224279,6.150009044,4.686541429
62,0.056116339,0.544686858,89.91784582,1.656819431,7.342121045,2.497470534
65,0.032841849,0.972390138,246.8227127,1.518708556,15.0071003,2.581534748
66,0.034283126,0.590064299,130.6059232,1.171586057,11.22462587,3.779502617
67,0.12622565,0.595142735,125.3346831,1.327522002,14.96942809,3.708153527
69,0.033854035,1.111988181,150.3805687,1.528615673,28.40327058,4.663500795
73,0.031574765,0.840971835,136.3947149,1.049564238,15.27009713,2.835257386
75,0.033972681,0.670598664,140.0120361,1.308166209,4.86226588,3.75963207
83,0.10902587,0.662684483,142.5889012,1.448403972,4.723901068,2.486602298
85,0.039360782,0.825247481,146.0324817,1.857017307,4.723901068,3.899510848
102,0.031044106,1.044202159,160.1961398,0.868348676,4.723901068,4.63249829
105,0.054780652,0.548776223,86.24618876,0.892071898,4.723901068,2.590592088
111,0.032895478,0.751841008,181.9263644,2.217528651,4.918039132,2.531679541
113,0.032798545,1.180308545,237.4732599,1.114032623,7.136138093,4.951727008
126,0.106737204,0.736055568,204.3314276,1.13763518,4.723901068,3.258893221
127,0.033271075,0.787526145,282.9499683,2.373232428,14.2785103,4.051051148
133,0.033080154,0.928860399,149.9646976,1.032815798,7.240772428,3.681436677
134,0.032861558,0.741741484,117.586567,0.874050155,4.723901068,2.947762599
136,0.032823299,1.167198251,215.1510673,1.492373234,13.48046882,4.916394677
138,0.112860232,0.596725834,232.8051359,1.271303407,4.723901068,3.493871129
139,0.033488142,0.932044139,246.0517724,1.306625188,6.396218346,2.490221001
140,0.032849292,0.741449283,239.9860422,3.942906071,13.17559088,5.199814723
141,0.033893274,0.563875333,201.9076548,1.704430374,4.723901068,2.855833626
142,0.035583921,0.546641442,87.55406569,0.836168071,6.317351693,4.767530244
144,0.033799213,0.658574382,169.8337759,1.453950593,6.652803194,2.474577874
146,0.033426256,0.621501924,159.7333665,0.853554955,4.723901068,2.508532873
147,0.032637837,0.997731596,170.9020124,1.672813707,4.723901068,3.491815107
149,0.033034897,0.534994308,164.3315041,1.732228065,4.723901068,3.706716458
154,0.038015612,0.656048988,174.8076014,1.271394237,14.04379342,3.291579957
158,0.03285528,0.546160333,131.8423769,1.250264037,4.723901068,2.517195452
163,0.032059243,0.69600076,90.96237341,1.383387031,8.299836625,2.481607148
134,0.033182448,0.530980445,126.7451988,1.375113523,4.797501292,2.528376781
177,0.033025054,0.535792787,137.341602,1.756474784,12.19097208,3.985109443
178,0.032354325,0.549652686,114.7376867,0.822122536,4.751448012,2.491344328
187,0.105485209,0.517883972,225.8169071,1.051187831,7.027641841,3.047287911
196,0.033418609,0.861089373,370.1539527,1.766959464,8.165392612,2.834746962
198,0.031705612,0.723889628,146.9690488,2.502967183,9.831636924,4.35696114
200,0.034119491,0.730166604,103.5996255,1.679437474,9.893115182,2.552896612
