Site,Dam,Sire,Packet_ID,Planting_position,Germination,Surv_flwr,total_pods_collected,total_seeds,total_pods,Xloc,Yloc
ML,95,44,1,106-1.1,0,0,0,0,0,-21,-49
ML,95,44,1,106-1.2,0,0,0,0,0,-21,-49
ML,95,44,1,106-1.3,0,0,0,0,0,-21,-49
ML,95,44,1,106-1.4,0,0,0,0,0,-21,-49
ML,95,44,1,106-1.5,0,0,0,0,0,-21,-49
ML,104,136,6,106-11.1,0,0,0,0,0,-21,-39
ML,104,136,6,106-11.2,0,0,0,0,0,-21,-39
ML,104,136,6,106-11.3,0,0,0,0,0,-21,-39
ML,104,136,6,106-11.4,0,0,0,0,0,-21,-39
ML,104,136,6,106-11.5,0,0,0,0,0,-21,-39
ML,107,139,7,106-13.1,0,0,0,0,0,-21,-37
ML,107,139,7,106-13.2,0,0,0,0,0,-21,-37
ML,107,139,7,106-13.3,0,0,0,0,0,-21,-37
ML,107,139,7,106-13.4,0,0,0,0,0,-21,-37
ML,107,139,7,106-13.5,0,0,0,0,0,-21,-37
ML,195,196,8,106-15.1,0,0,0,0,0,-21,-35
ML,195,196,8,106-15.2,0,0,0,0,0,-21,-35
ML,195,196,8,106-15.3,0,0,0,0,0,-21,-35
ML,195,196,8,106-15.4,1,1,283,2320,925,-21,-35
ML,195,196,8,106-15.5,1,1,135,1396,1120,-21,-35
ML,151,144,9,106-17.1,0,0,0,0,0,-21,-33
ML,151,144,9,106-17.2,0,0,0,0,0,-21,-33
ML,151,144,9,106-17.3,0,0,0,0,0,-21,-33
ML,151,144,9,106-17.4,0,0,0,0,0,-21,-33
ML,151,144,9,106-17.5,0,0,0,0,0,-21,-33
ML,55,178,10,106-19.1,0,0,0,0,0,-21,-31
ML,55,178,10,106-19.2,0,0,0,0,0,-21,-31
ML,55,178,10,106-19.3,0,0,0,0,0,-21,-31
ML,55,178,10,106-19.4,0,0,0,0,0,-21,-31
ML,55,178,10,106-19.5,0,0,0,0,0,-21,-31
ML,119,158,11,106-21.1,0,0,0,0,0,-21,-29
ML,119,158,11,106-21.2,0,0,0,0,0,-21,-29
ML,119,158,11,106-21.3,0,0,0,0,0,-21,-29
