"","bhat.Donor.mu"
"modmat.donorrecipientfit:DonorBB_001",0.367282519235974
"modmat.donorrecipientfit:DonorBB_005",0.539700509293851
"modmat.donorrecipientfit:DonorBB_011",0.388622726269451
"modmat.donorrecipientfit:DonorBB_014",0.434777653684999
"modmat.donorrecipientfit:DonorBB_015",0.410092925290373
"modmat.donorrecipientfit:DonorBB_023",0.449328051145955
"modmat.donorrecipientfit:DonorBB_026",0.865991698453002
"modmat.donorrecipientfit:DonorBB_028",0.664220548681361
"modmat.donorrecipientfit:DonorBB_038",0.752400696179879
"modmat.donorrecipientfit:DonorBB_047",0.440107769443412
"modmat.donorrecipientfit:DonorBB_051",0.716808203849499
"modmat.donorrecipientfit:DonorBB_055",0.562591919204426
"modmat.donorrecipientfit:DonorBB_057",0.801744100080951
"modmat.donorrecipientfit:DonorBB_065",0.533676752459862
"modmat.donorrecipientfit:DonorBB_066",0.734940469600794
"modmat.donorrecipientfit:DonorBB_073",0.368172287363078
"modmat.donorrecipientfit:DonorBB_075",0.380018202039288
"modmat.donorrecipientfit:DonorBB_091",0.34118245950416
"modmat.donorrecipientfit:DonorBB_099",0.315130771144938
"modmat.donorrecipientfit:DonorBB_100",0.400786173608189
"modmat.donorrecipientfit:DonorBB_107",0.621813069637986
"modmat.donorrecipientfit:DonorBB_108",0.504573786873896
"modmat.donorrecipientfit:DonorBB_115",0.455848718474546
"modmat.donorrecipientfit:DonorBB_122",0.410771754032829
"modmat.donorrecipientfit:DonorBB_125",0.388292503700767
"modmat.donorrecipientfit:DonorBB_130",0.431606199753767
"modmat.donorrecipientfit:DonorBB_141",0.39370644103566
"modmat.donorrecipientfit:DonorBB_142",1.52915741610129
"modmat.donorrecipientfit:DonorBB_144",0.390145875777103
"modmat.donorrecipientfit:DonorBB_162",0.357834744120045
"modmat.donorrecipientfit:DonorBB_167",0.342135421158263
"modmat.donorrecipientfit:DonorBB_168",0.570985951643584
"modmat.donorrecipientfit:DonorBB_169",0.677099005186584
"modmat.donorrecipientfit:DonorBB_171",0.632158164614883
"modmat.donorrecipientfit:DonorBB_173",0.32577811654088
"modmat.donorrecipientfit:DonorBB_174",0.321302521823772
"modmat.donorrecipientfit:DonorBB_175",0.671454254528326
"modmat.donorrecipientfit:DonorBB_176",0.40597305267897
"modmat.donorrecipientfit:DonorBB_177",0.540291636026542
"modmat.donorrecipientfit:DonorBB_182",1.34490736746687
"modmat.donorrecipientfit:DonorBB_188",0.497058619745674
"modmat.donorrecipientfit:DonorBB_194",0.430448766622463
"modmat.donorrecipientfit:DonorBB_196",1.16578110344947
"modmat.donorrecipientfit:DonorBB_197",0.796454639634987
"modmat.donorrecipientfit:DonorBB_198",0.609395904652585
"modmat.donorrecipientfit:DonorBB_202",0.715797575014782
"modmat.donorrecipientfit:DonorBB_213",0.713450288188771
"modmat.donorrecipientfit:DonorBB_215",0.497371502298187
"modmat.donorrecipientfit:DonorBB_217",0.859446987732011
