"","bhat.Donor.mu"
"modmat.donorrecipientfit:DonorBO_001",0.415469852863532
"modmat.donorrecipientfit:DonorBO_005",0.473295940120633
"modmat.donorrecipientfit:DonorBO_013",0.511655766267693
"modmat.donorrecipientfit:DonorBO_022",0.486311199381271
"modmat.donorrecipientfit:DonorBO_029",0.475540672373268
"modmat.donorrecipientfit:DonorBO_032",0.713719938496778
"modmat.donorrecipientfit:DonorBO_033",0.516540991186221
"modmat.donorrecipientfit:DonorBO_038",0.495774761313046
"modmat.donorrecipientfit:DonorBO_039",0.599565323392976
"modmat.donorrecipientfit:DonorBO_040",0.425124327416657
"modmat.donorrecipientfit:DonorBO_058",0.834221668822333
"modmat.donorrecipientfit:DonorBO_065",0.577677785314684
"modmat.donorrecipientfit:DonorBO_069",0.507155005033169
"modmat.donorrecipientfit:DonorBO_070",0.424769619613825
"modmat.donorrecipientfit:DonorBO_073",0.475007660766781
"modmat.donorrecipientfit:DonorBO_074",0.530293323750608
"modmat.donorrecipientfit:DonorBO_088",0.538286616350961
"modmat.donorrecipientfit:DonorBO_096",0.526923908986041
"modmat.donorrecipientfit:DonorBO_101",0.674778526939894
"modmat.donorrecipientfit:DonorBO_106",0.636450616308871
"modmat.donorrecipientfit:DonorBO_109",0.444251530966467
"modmat.donorrecipientfit:DonorBO_119",0.68283323447737
"modmat.donorrecipientfit:DonorBO_128",0.415533318241801
"modmat.donorrecipientfit:DonorBO_130",0.405781398447857
"modmat.donorrecipientfit:DonorBO_143",0.49618413952997
"modmat.donorrecipientfit:DonorBO_149",0.451314577744197
"modmat.donorrecipientfit:DonorBO_151",0.515567952575764
"modmat.donorrecipientfit:DonorBO_153",0.482879425126653
"modmat.donorrecipientfit:DonorBO_162",0.554506590568117
"modmat.donorrecipientfit:DonorBO_163",0.562728043633181
"modmat.donorrecipientfit:DonorBO_168",0.557718118988495
"modmat.donorrecipientfit:DonorBO_170",0.496301198826108
"modmat.donorrecipientfit:DonorBO_173",0.515579580243618
"modmat.donorrecipientfit:DonorBO_177",0.405756668668049
"modmat.donorrecipientfit:DonorBO_183",0.377790672692986
"modmat.donorrecipientfit:DonorBO_185",0.542957737225291
"modmat.donorrecipientfit:DonorBO_187",0.445496329556043
"modmat.donorrecipientfit:DonorBO_188",0.580804305602904
"modmat.donorrecipientfit:DonorBO_189",0.540442539570323
"modmat.donorrecipientfit:DonorBO_192",0.971482410614562
"modmat.donorrecipientfit:DonorBO_194",0.741909192980011
"modmat.donorrecipientfit:DonorBO_198",0.405828364979397
"modmat.donorrecipientfit:DonorBO_199",0.652876434651034
"modmat.donorrecipientfit:DonorBO_201",0.525699915858545
