"","bhat.Donor.mu"
"modmat.donorrecipientfit:DonorHR_002",1.55394337337018
"modmat.donorrecipientfit:DonorHR_005",1.30973327537593
"modmat.donorrecipientfit:DonorHR_006",1.21938765754489
"modmat.donorrecipientfit:DonorHR_008",1.13411748010886
"modmat.donorrecipientfit:DonorHR_027",1.73986811414287
"modmat.donorrecipientfit:DonorHR_034",1.586907859379
"modmat.donorrecipientfit:DonorHR_053",1.66786405002172
"modmat.donorrecipientfit:DonorHR_057",1.23159519716359
"modmat.donorrecipientfit:DonorHR_059",1.6523775580848
"modmat.donorrecipientfit:DonorHR_062",1.06983616626397
"modmat.donorrecipientfit:DonorHR_064",2.18129124250788
"modmat.donorrecipientfit:DonorHR_066",1.73761270634894
"modmat.donorrecipientfit:DonorHR_069",1.40935383894366
"modmat.donorrecipientfit:DonorHR_070",1.46304577742845
"modmat.donorrecipientfit:DonorHR_074",1.61104353708583
"modmat.donorrecipientfit:DonorHR_085",1.32270526964275
"modmat.donorrecipientfit:DonorHR_088",1.14393949268706
"modmat.donorrecipientfit:DonorHR_090",1.60775219542093
"modmat.donorrecipientfit:DonorHR_095",1.34314956409885
"modmat.donorrecipientfit:DonorHR_100",1.31438940418247
"modmat.donorrecipientfit:DonorHR_108",1.72340189573973
"modmat.donorrecipientfit:DonorHR_110",1.52025949055364
"modmat.donorrecipientfit:DonorHR_115",1.16025174396059
"modmat.donorrecipientfit:DonorHR_121",1.9759920405163
"modmat.donorrecipientfit:DonorHR_125",1.33118562651922
"modmat.donorrecipientfit:DonorHR_131",1.31937369611523
"modmat.donorrecipientfit:DonorHR_133",1.71583252085399
"modmat.donorrecipientfit:DonorHR_135",1.13262577938264
"modmat.donorrecipientfit:DonorHR_139",1.49450632636673
"modmat.donorrecipientfit:DonorHR_141",1.40417021399669
"modmat.donorrecipientfit:DonorHR_147",1.22788649742919
"modmat.donorrecipientfit:DonorHR_148",1.56689813257628
"modmat.donorrecipientfit:DonorHR_149",1.50186126396012
"modmat.donorrecipientfit:DonorHR_155",1.39246796749589
"modmat.donorrecipientfit:DonorHR_156",1.90045338279539
"modmat.donorrecipientfit:DonorHR_157",1.69322373861246
"modmat.donorrecipientfit:DonorHR_160",1.14630999762918
"modmat.donorrecipientfit:DonorHR_164",1.99380169360575
"modmat.donorrecipientfit:DonorHR_168",1.68323565175699
"modmat.donorrecipientfit:DonorHR_171",1.50176193652977
"modmat.donorrecipientfit:DonorHR_175",1.84484102342424
"modmat.donorrecipientfit:DonorHR_180",2.0524629494083
"modmat.donorrecipientfit:DonorHR_189",1.16669850085996
"modmat.donorrecipientfit:DonorHR_195",1.200921929748
"modmat.donorrecipientfit:DonorHR_196",1.55396171635741
"modmat.donorrecipientfit:DonorHR_200",1.12734524039619
