"","Donor","BV_HR22","BV_HR23"
"1","002",1.55394337337018,1.59900229910346
"2","005",1.30973327537593,1.40979233804415
"3","006",1.21938765754489,1.52983360100892
"4","008",1.13411748010886,1.58521812263313
"5","027",1.73986811414287,1.30895369069511
"6","034",1.586907859379,1.61255917701697
"7","053",1.66786405002172,1.54227289844264
"8","057",1.23159519716359,2.04734741775178
"9","059",1.6523775580848,1.73436527645444
"10","062",1.06983616626397,1.52787407324236
"11","064",2.18129124250788,1.81962237096586
"12","066",1.73761270634894,2.13135051428872
"13","069",1.40935383894366,2.09990187371116
"14","070",1.46304577742845,1.30834233773534
"15","074",1.61104353708583,3.23208224924774
"16","085",1.32270526964275,1.64463060320534
"17","088",1.14393949268706,2.08741572163746
"18","090",1.60775219542093,1.39636312533873
"19","095",1.34314956409885,2.09314969589511
"20","100",1.31438940418247,1.87005280365101
"21","108",1.72340189573973,1.79752168205358
"22","110",1.52025949055364,1.73673156683804
"23","115",1.16025174396059,1.51713995624783
"24","121",1.9759920405163,1.3796883157225
"25","125",1.33118562651922,1.81155463244483
"26","131",1.31937369611523,1.77331495431024
"27","133",1.71583252085399,1.6671246358413
"28","135",1.13262577938264,1.21276183601161
"29","139",1.49450632636673,1.72644191385257
"30","141",1.40417021399669,1.46221467005743
"31","147",1.22788649742919,2.15468971360859
"32","148",1.56689813257628,1.8211507850052
"33","149",1.50186126396012,1.62253098523725
"34","155",1.39246796749589,1.67588115908039
"35","156",1.90045338279539,1.60960724774886
"36","157",1.69322373861246,1.93780644373251
"37","160",1.14630999762918,2.26405137478415
"38","164",1.99380169360575,1.41162396047027
"39","168",1.68323565175699,1.41288649707117
"40","171",1.50176193652977,2.49451926575606
"41","175",1.84484102342424,1.40987271427138
"42","180",2.0524629494083,1.89321453714786
"43","189",1.16669850085996,1.42141680033522
"44","195",1.200921929748,2.48169133258517
"45","196",1.55396171635741,1.67176900855511
"46","200",1.12734524039619,1.52327996862397
