sample_ID_SEG,Transect,Recipient,Donor,Gen,SegPos,Plant_ID,Sequence,F_plant,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,F_Num_01,F_Num_02,F_Num_03,skel_dryweight_mg,skel_dryweight_mg_SEG,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,total_seeds,total_fruits,mean_seeds_per_fruit,est_fecundity,mean_seed_mass_mg,corolla_diam_mm,photo_date,corolla_diam_mm_SEG,photo_date_SEG,leaf_area_mm2,leaf_dryweight_mg,leaf_area_mm2_SEG,leaf_dryweight_mg_SEG,SLA_SEG,SLA,LMA_SEG,LMA,d13C,sample_weight_mg,d13C_SEG,sample_weight_mg_SEG,surv_to_flower,surv_to_fruitprod,prod_closed_fruits,prod_filled_seeds
AC-005-G1-003-9L,3,AC_005,AC_156,G1,9L,1,81,TRUE,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-12,14,,,,6.16,6.16,4,0,1,3,4,0.25,1,1.11,20.338,2023-04-28,20.338,2023-04-28,,,34.896,2.11,16.538388625592418,,0.06046538285190279,,-31.59,1.74,-31.59,1.74,1,1,1,1
AC-005-G1-004-22L,4,AC_005,AC_156,G1,22L,1,129,TRUE,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-12,14,,,,2.96,2.96,3,0,8,8,3,2.666666667,8,1.54125,20.78,2023-04-28,20.78,2023-04-28,,,34.993,2.35,14.890638297872341,,0.06715628840053725,,-32.98,1.31,-32.98,1.31,1,1,1,1
AC-005-G1-005-15R,5,AC_005,AC_156,G1,15R,3,158,TRUE,2022-10-17,2022-10-21,2024-04-28,559,555,2024-04-28,0,,,,0.8,0.8,0,0,0,0,0,,0,,,,19.515,2023-04-28,,,62.497,3.14,19.903503184713376,,0.050242411635758516,,,,,,1,0,0,0
AC-005-G2-001-23R,1,AC_005,AC_156,G2,23R,3,23,TRUE,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-26,28,,1900-01-01,,53.28,53.28,7,0,19,20,7,2.714285714,19,1.646583333,18.939,2023-04-28,18.939,2023-04-28,,,,,,,,,-33.28,4.16,-33.28,4.16,1,1,1,1
AC-005-G2-002-1L,2,AC_005,AC_156,G2,1L,4,37,TRUE,2022-10-17,2022-10-21,2024-05-12,573,569,2024-05-26,14,,,,,,5,0,1,2,5,0.2,1,1.72,16.906,2023-05-12,16.906,2023-05-12,,,53.67,3.78,14.1984126984127,,0.07043040804918949,,-32.46,2.37,-32.46,2.37,1,1,1,1
AC-005-G2-008-16R,8,AC_005,AC_156,G2,16R,2,266,TRUE,2022-10-17,2022-10-21,2024-04-28,559,555,2024-04-28,0,,,,3.15,3.15,0,1,0,0,1,,,,,,21.893,2024-04-28,,,,,,,,,-31.9,0.97,-31.9,0.97,1,1,0,0
AC-010-G1-003-8L,3,AC_010,AC_168,G1,8L,1,80,TRUE,2022-10-17,2022-10-21,2024-05-12,573,569,2024-05-12,0,,,,9.91,9.91,3,0,3,3,3,1,3,4.03,,,,,,,,,,,,,-30.97,1.01,-30.97,1.01,1,1,1,1
AC-010-G2-002-15L,2,AC_010,AC_168,G2,15L,3,51,TRUE,2022-10-17,2022-10-21,2024-05-26,587,583,2024-05-26,0,,,,,,1,0,1,1,1,1,1,5.3,18.961,2023-05-26,18.961,2023-05-26,,,54.091,3.57,15.1515406162465,,0.06599988907581668,,,,,,1,1,1,1
AC-010-G2-005-6R,5,AC_010,AC_168,G2,6R,5,149,TRUE,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-26,28,1900-01-02,,,20.49,20.49,6,0,4,4,6,0.6666666667,4,1.75,23.85,2023-05-12,23.85,2023-05-12,,,11.656,0.58,20.09655172413793,,0.04975978037062457,,-31.32,5.41,-31.32,5.41,1,1,1,1
AC-011-G1-004-3R,4,AC_011,AC_186,G1,3R,2,110,TRUE,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-26,28,1900-01-03,1900-01-01,,20.15,20.15,8,1,9,15,9,1.125,10.125,1.073214286,19.31,2023-04-28,19.31,2023-04-28,,,49.471,3.39,14.593215339233037,,0.06852499444118777,,-32.06,2.71,-32.06,2.71,1,1,1,1
