sample_ID,Location,Recipient,Donor,Gen,SegPos,Plant_ID,Sequence,F_plant,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,FD_06,FD_07,FD_08,FD_09,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,skel_dryweight_mg,skel_dryweights_mg_SEG,Sym,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,total_seeds,total_fruits,mean_seeds_per_fruit,est_fecundity,latitude_SEG,longitude_SEG,mean_seed_mass_mg,corolla_diam_mm,photo_date,corolla_diam_mm_SEG,photo_date_SEG,leaf_area_mm2,leaf_dryweight_mg,leaf_area_mm2_SEG,leaf_dryweight_mg_SEG,SLA_SEG,SLA,LMA_SEG,LMA,sample_ID_SEG,d13C,sample_weight_mg,d13C_SEG,sample_weight_mg_SEG,surv_to_flower,surv_to_fruitprod,prod_closed_fruits,prod_filled_seeds
BB-002-G1-025-74L-5,25,BB_002,BB_174,G1,74L,5,74,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-26,42,2023-04-26,,,,,2023-03-15,,,,,,-,0,0,0,0,0,,0,38.31482,-123.06959,,26.345,2024-03-15,26.345,2024-03-15,,,69.288,3.62,19.140331491712704,,0.052245699110957174,,BB-002-G1-025-74L,,,,,1,0,0,0
BB-002-G1-051-153L-1,51,BB_002,BB_174,G1,153L,1,153,TRUE,2022-10-03,2022-10-06,2023-03-29,177,174,2023-04-13,15,,,,,,,,,,15.58,15.58,-,2,0,2,3,2,1,2,38.3143,-123.06956,4.94,,,26.804,2024-02-16,,,71.844,4.62,15.55064935064935,,0.06430599632537164,,BB-002-G1-051-153L,-30.58,3.95,-30.58,3.95,1,1,1,1
BB-002-G1-071-211L-4,71,BB_002,BB_174,G1,211L,4,211,TRUE,2022-10-03,2022-10-06,2023-03-30,178,175,2023-04-27,28,2023-04-27,,,,,2023-03-30,,,,23.28,23.28,-,2,0,8,8,2,4,8,38.31431,-123.06992,2.83125,,,,,,,,,,,,,BB-002-G1-071-211L,-31.22,2.62,-31.22,2.62,1,1,1,1
BB-002-G2-002-6R-3,2,BB_002,BB_174,G2,6R,3,6,TRUE,2022-10-03,2022-10-06,2023-03-01,149,146,2023-04-27,57,2023-04-27,,,,,2023-03-15,,0,,80.17,80.17,X,1,0,0,2,1,0,0,38.31514,-123.06908,,25.175,2024-03-15,25.175,2024-03-15,,,,,,,,,BB-002-G2-002-6R,-29.62,4.58,-29.62,4.58,1,1,1,0
BB-002-G2-083-248R-4,83,BB_002,BB_174,G2,248R,4,248,TRUE,2022-10-03,2022-10-06,2023-03-02,150,147,2023-04-27,56,2023-04-27,,,,,"3/2/2023,3/15",,,,55.37,55.37,X,14,2,67,87,16,4.785714286,76.57142857,38.31412,-123.06958,4.244,26.006,2024-03-15,26.006,2024-03-15,,,,,,,,,BB-002-G2-083-248R,-28.3,2.8,-28.3,2.8,1,1,1,1
BB-002-G2-101-301L-4,101,BB_002,BB_174,G2,301L,4,301,TRUE,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-27,43,2023-04-27,,,,,,,,,33.73,33.73,X,2,0,2,3,2,1,2,38.31353,-123.06926,3.94,,,23.444,2024-03-15,,,54.226,2.64,20.540151515151514,,0.048685132593220964,,BB-002-G2-101-301L,-28.83,4.11,-28.83,4.11,1,1,1,1
BB-003-G1-020-60R-2,20,BB_003,BB_141,G1,60R,2,60,TRUE,2022-10-03,2022-10-06,2023-03-01,149,146,2023-05-10,70,2023-04-27,2023-05-10,,,,2023-03-01,3,,,349.68,349.68,-,17,0,89,89,17,5.235294118,89,38.31482,-123.06939,5.2535,22.374,2024-03-01,22.374,2024-03-01,,,,,,,,,BB-003-G1-020-60R,-29.98,4.57,-29.98,4.57,1,1,1,1
BB-003-G1-080-239L-5,80,BB_003,BB_141,G1,239L,5,239,TRUE,2022-10-03,2022-10-06,2023-03-02,150,147,2023-04-27,56,2023-04-27,,,,,2023-03-02,,,,104.81,104.81,-,11,1,34,37,12,3.090909091,37.09090909,38.31424,-123.0656,5.550333333,,,,,,,58.524,3.14,18.638216560509555,,0.053653202105119265,,BB-003-G1-080-239L,-29.93,4.49,-29.93,4.49,1,1,1,1
BB-003-G1-092-274L-1,92,BB_003,BB_141,G1,274L,1,274,TRUE,2022-10-03,2022-10-06,2023-02-16,136,133,2023-04-27,70,2023-04-27,,,,,2023-02-16,,,,36.71,36.71,-,0,0,0,0,0,,0,38.31383,-123.06949,,27.519,2024-02-16,27.519,2024-02-16,,,47.143,4.68,10.0732905982906,,0.09927242644719257,,BB-003-G1-092-274L,-28.44,3.8,-28.44,3.8,1,0,0,0
BB-004-G1-005-13R-4,5,BB_004,BB_215,G1,13R,4,13,TRUE,2022-10-03,2022-10-06,2023-03-01,149,146,2023-05-10,70,2023-04-26,2023-05-10,,,,2023-03-01,2,,,,,-,10,1,28,32,11,2.8,30.8,38.31506,-123.06911,3.863571429,20.145,2024-03-01,20.145,2024-03-01,,,78.605,4.11,19.125304136253042,,0.05228675020672985,,BB-004-G1-005-13R,,,-30.9,4.24,1,1,1,1
