sample_ID_SEG,sample_ID,Transect,Recipient,Donor,Gen,SegPos,Plant_ID,Sequence,F_plant,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,F_Num_01,F_Num_02,F_Num_03,skel_dryweight_mg,skel_dryweight_mg_SEG,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,total_seeds,total_fruits,mean_seeds_per_fruit,est_fecundity,mean_seed_mass_mg,corolla_diam_mm,photo_date,corolla_diam_mm_SEG,photo_date_SEG,leaf_area_mm2,leaf_dryweight_mg,leaf_area_mm2_SEG,leaf_dryweight_mg_SEG,SLA_SEG,SLA,LMA_SEG,LMA,d13C,sample_weight_mg,d13C_SEG,sample_weight_mg_SEG,surv_to_flower,surv_to_fruitprod,prod_closed_fruits,prod_filled_seeds
BO-001-G1-005-29L,BO-001-G1-005-29L-5,5,BO_001,BO_109,G1,29L,5,153,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,,,,,2,0,3,9,2,1.5,3,1.62,19.62,2023-05-05,19.62,2023-05-05,,,,,,,,,,,,,1,1,1,1
BO-001-G2-006-11R,BO-001-G2-006-11R-3,6,BO_001,BO_109,G2,11R,3,179,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,,,,,1,1,8,8,2,8,16,2.41375,19.213,2023-05-05,19.213,2023-05-05,,,,,,,,,-29.72,1.81,-29.72,1.81,1,1,1,1
BO-001-G2-010-22L,BO-001-G2-010-22L-3,10,BO_001,BO_109,G2,22L,3,301,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,1,,,11.07,11.07,1,3,4,4,4,4,16,1.74,,,23.951,2023-04-21,,,30.449,1.44,21.14513888888889,,0.04729219350389175,,-29.76,3.61,-29.76,3.61,1,1,1,1
BO-004-G1-005-8L,BO-004-G1-005-8L-3,5,BO_004,BO_143,G1,8L,3,132,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,,,,12.15,12.15,1,0,4,4,1,4,4,3.3675,,,,,,,27.377,2.01,13.62039800995025,,0.07341929356759323,,-29.14,3.22,-29.14,3.22,1,1,1,1
BO-008-G1-008-20L,BO-008-G1-008-20L-3,8,BO_008,BO_188,G1,20L,3,244,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,1,,,20.53,20.53,5,0,4,6,5,0.8,4,5.305,,,,,,,56.588,4.67,12.117344753747323,,0.0825263306708136,,-28.7,1.88,-28.7,1.88,1,1,1,1
BO-008-G1-008-21L,BO-008-G1-008-21L-2,8,BO_008,BO_188,G1,21L,2,245,TRUE,2022-10-31,2022-11-03,,,,,,,,,8.57,8.57,0,1,0,0,1,,,,,,27.881,2023-04-21,,,38.281,3.18,12.038050314465409,,0.08306993025260573,,-29.07,2.92,-29.07,2.92,0,1,0,0
BO-008-G1-010-12R,BO-008-G1-010-12R-5,10,BO_008,BO_188,G1,12R,5,291,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,1,,,96.9,96.9,7,2,59,60,9,8.428571429,75.85714286,3.205,27.258,2023-04-21,27.258,2023-04-21,89.51,6.54,89.51,6.54,13.686544342507647,13.686544342507647,0.07306446207127694,0.07306446207127694,-28.95,4.17,-28.95,4.17,1,1,1,1
BO-008-G2-005-6R,BO-008-G2-005-6R-5,5,BO_008,BO_188,G2,6R,5,130,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,,,1.07,1.07,0,0,0,0,0,,0,,22.792,2023-05-05,22.792,2023-05-05,,,,,,,,,,,,,1,0,0,0
BO-008-G2-008-4L,BO-008-G2-008-4L-1,8,BO_008,BO_188,G2,4L,1,228,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,3,,,23.8,23.8,3,0,12,16,3,4,12,0.8416666667,,,,,,,65.574,5.63,11.647246891651864,,0.08585719949980175,,-29.97,5.76,-29.97,5.76,1,1,1,1
BO-009-G1-009-25R,BO-009-G1-009-25R-5,9,BO_009,BO_022,G1,25R,5,274,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,1,,,31.3,31.3,3,1,6,6,4,2,8,4.936666667,23.091,2023-04-21,23.091,2023-04-21,,,36.495,1.86,19.62096774193548,,0.050965885737772304,,-28.95,5.38,-28.95,5.38,1,1,1,1
BO-012-G1-007-10L,BO-012-G1-007-10L-1,7,BO_012,BO_096,G1,10L,1,208,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,,,,7.96,7.96,1,0,0,0,1,0,0,,,,,,,,,,,,,,-27.98,2.52,-27.98,2.52,1,1,1,0
BO-012-G1-010-14R,BO-012-G1-010-14R-3,10,BO_012,BO_096,G1,14R,3,293,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,3,,,12.35,12.35,0,3,0,0,3,,,,17.626,2023-05-05,17.626,2023-05-05,31.505,1.81,31.505,1.81,17.406077348066297,17.406077348066297,0.05745119822250437,0.05745119822250437,-27.82,2.31,-27.82,2.31,1,1,0,0
BO-013-G1-005-8R,BO-013-G1-005-8R-1,5,BO_013,BO_119,G1,8R,1,132,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,,,,7.15,7.15,1,0,2,2,1,2,2,4.015,16.539,2023-05-05,16.539,2023-05-05,,,18.634,1.15,16.203478260869566,,0.061715144359772454,,-30.62,3.07,-30.62,3.07,1,1,1,1
