Recipient,Transect,Gen,SegPos,Donor,Plant_ID,Sequence,F_plant,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,skel_weight_mg,Sym,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,total_seeds,total_fruits,mean_seeds_per_fruit,est_fecundity,mean_seed_mass_mg,corolla_diam_mm,photo_date,leaf_area_mm2,leaf_dryweight_mg,SLA,d13C,sample_weight_mg,surv_to_flower,surv_to_fruitprod,prod_closed_fruits,prod_filled_seeds
HR_001,2,G1,12L,HR_171,3,57,TRUE,2022-11-10,2022-11-13,2024-04-05,512,509,2024-04-05,0,,2024-04-05,,,,,-,1,0,1,1,1,1,1,1.3,20.646,2024-04-05,90.49,4.25,21.29176470588235,,,1,1,1,1
HR_001,4,G2,17L,HR_171,1,152,TRUE,2022-11-10,2022-11-13,2024-04-05,512,509,2024-04-20,15,,2024-04-05,,,,3.43,X,2,0,1,1,2,0.5,1,2.12,19.463,2024-04-05,14.697,0.93,15.80322580645161,-31.38,1.94,1,1,1,1
HR_001,5,G2,39R,HR_171,5,219,TRUE,2022-11-10,2022-11-13,2024-04-05,512,509,2024-04-20,15,,2024-04-05,,,,1.33,X,1,0,0,2,1,0,0,,20.997,2024-04-05,12.353,0.66,18.716666666666665,,,1,1,1,0
HR_001,8,G1,2R,HR_171,2,317,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2024-04-20,381,,2023-04-05,,,,15.39,-,5,0,13,30,5,2.6,13,1.540769231,22.443,2024-04-05,,,,-30.69,4.97,1,1,1,1
HR_001,8,G2,9R,HR_171,4,324,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2024-04-20,381,,2023-04-05,,,,2.41,X,0,1,0,0,1,,,,,,,,,,,1,1,0,0
HR_001,9,G1,2L,HR_171,3,362,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2024-04-20,381,,2023-04-05,,,,6.56,-,3,3,7,12,6,2.333333333,14,1.798571429,24.239,2024-04-05,,,,-30.32,1.48,1,1,1,1
HR_004,4,G2,43L,HR_135,3,178,TRUE,2022-11-10,2022-11-13,2024-04-05,512,509,2024-04-20,15,,2024-04-05,,,,61.57,X,9,6,32,44,15,3.555555556,53.33333333,2.690625,23.517,2024-04-05,,,,-29.55,3.23,1,1,1,1
HR_004,5,G2,24R,HR_135,5,204,TRUE,2022-11-10,2022-11-13,2024-04-05,512,509,2024-04-20,15,,,,,,10.66,X,2,2,5,9,4,2.5,10,2.34,23.021,2024-04-05,,,,-29.65,3.34,1,1,1,1
HR_004,6,G1,34L,HR_135,3,259,TRUE,2022-11-10,2022-11-13,2024-03-23,499,496,2024-04-05,13,,2024-03-23,,,,5.89,-,1,5,2,3,6,2,12,2.895,22.995,2024-03-23,,,,-30.91,4.79,1,1,1,1
HR_004,6,G2,19R,HR_135,4,244,TRUE,2022-11-10,2022-11-13,2024-04-05,512,509,2024-04-20,15,,2024-04-05,,,,10.74,X,3,0,11,17,3,3.666666667,11,2.404545455,,,,,,-30.78,5.33,1,1,1,1
HR_004,8,G1,28L,HR_135,2,343,TRUE,2022-11-10,2022-11-13,2024-04-20,527,524,2024-04-20,0,,,,,,4.05,-,0,1,0,0,1,,,,,,,,,-30.06,2.08,1,1,0,0
HR_005,1,G1,8R,HR_164,1,8,TRUE,2022-11-10,2022-11-13,2024-04-05,512,509,2024-04-20,15,,2024-04-05,,,,7.9,-,2,1,1,4,3,0.5,1.5,4.99,21.442,2024-04-05,,,,-31.37,4.08,1,1,1,1
HR_005,1,G2,35L,HR_164,5,35,TRUE,2022-11-10,2022-11-13,,,,,,,,,,,1.64,X,0,0,0,0,0,,0,,,,,,,,,0,0,0,0
HR_005,1,G2,36R,HR_164,3,36,TRUE,2022-11-10,2022-11-13,2024-04-20,527,524,2024-04-20,0,,2024-04-20,,,,2.98,X,1,0,4,5,1,4,4,1.3475,,,,,,,,1,1,1,1
HR_005,3,G2,29R,HR_164,3,119,TRUE,2022-11-10,2022-11-13,2024-04-05,512,509,2024-04-20,15,2024-05-05,2024-04-05,,,,11.76,X,6,2,10,22,8,1.666666667,13.33333333,2.024,22.864,2024-04-05,30.404,2,15.202,-32.35,5.17,1,1,1,1
HR_005,4,G1,33R,HR_164,4,168,TRUE,2022-11-10,2022-11-13,2024-04-20,527,524,2024-05-04,14,,2024-04-20,1900-01-01,,,,-,3,0,0,1,3,0,0,,21.84,2024-04-05,11.984,0.63,19.022222222222222,-30.34,0.76,1,1,1,0
HR_005,8,G1,13L,HR_164,4,328,TRUE,2022-11-10,2022-11-13,2024-04-20,527,524,2024-05-04,14,,2024-04-20,1900-01-01,,,11.49,-,1,2,2,11,3,2,6,0.715,24.79,2024-04-20,41.275,2.25,18.344444444444445,-30.48,5.28,1,1,1,1
HR_006,3,G1,27R,HR_057,5,117,TRUE,2022-11-10,2022-11-13,2024-04-20,527,524,2024-04-20,0,,2024-04-20,,,,4.96,-,0,1,0,0,1,,,,27.173,2024-04-20,,,,-30.62,1.97,1,1,0,0
HR_006,3,G2,10L,HR_057,5,100,TRUE,2022-11-10,2022-11-13,2024-04-20,527,524,2024-04-20,0,,,,,,17.02,X,2,1,7,13,3,3.5,10.5,1.91125,,,,,,-30.04,2.05,1,1,1,1
