Transect,Gen,Donor,Recipient,Segment,Plant_ID,Leaf area (mm^2),Bright-max,Area notes,Dry weight (mg),Weight notes,Perimeter
1,G1,AC_089,AC_057,1L,,,,,,,
1,G2,AC_107,AC_130,1R,1,47.806,113,,2.77,,84.619
1,G2,AC_071,AC_215,2L,3,71.264,124,,3.20,,95.322
1,G2,AC_102,AC_191,2R,4,73.723,125,,2.76,,96.603
1,G2,AC_091,AC_189,3L,3,53.101,125,,2.86,,87.616
1,G1,AC_089,AC_032,3R,5,74.933,114,,4.30,,94.945
1,G1,AC_198,AC_072,4L,1,32.812,124,,1.54,,
1,G2,AC_089,AC_032,4R,1,79.498,83,,4.95,,
1,G1,AC_091,AC_204,5L,3,62.23,104,,3.65,,
1,G1,AC_054,AC_119,5R,2,42.984,97,,3.45,,
1,G2,AC_159,AC_094,6L,,,,,,,
1,G1,AC_045,AC_123,6R,4,62.037,81,,4.43,,
1,G1,AC_124,AC_030,7L,4,7.648,80,,0.56,,
1,G2,AC_045,AC_151,7R,2,52.991,86,,2.95,,
1,G2,AC_007,AC_147,8L,4,77.409,88,,5.28,,
1,G1,AC_007,AC_147,8R,4,68.024,86,,4.37,,
1,G1,AC_064,AC_086,9L,1,53.328,88,,2.83,,
1,G1,AC_068,AC_089,9R,,,,,,,
1,G2,AC_052,AC_212,10L,1,26.799,93,,1.58,,
1,G1,AC_052,AC_212,10R,,,,,,,
1,G1,AC_195,AC_179,11L,5,31.192,77,,2.04,,
1,G2,AC_159,AC_192,11R,5,44.921,79,,2.96,,
1,G2,AC_177,AC_107,12L,,,,,,,
1,G2,AC_008,AC_188,12R,5,55.876,84,,3.28,,
1,G1,AC_008,AC_068,13L,4,62.007,96,,3.14,,
1,G2,AC_068,AC_195,13R,1,53.057,88,,3.06,,
1,G1,AC_039,AC_148,14L,5,19.64,110,,,,
1,G1,AC_216,AC_034,14R,4,85.437,117,,5.43,,
1,G2,AC_159,AC_094,15L,3,47.877,95,,3.09,,
1,G2,AC_177,AC_107,15R,3,71.451,89,,4.43,,
1,G2,AC_165,AC_199,16L,,,,,,,
1,G1,AC_047,AC_113,16R,,,,,,,
1,G1,AC_068,AC_195,17L,,,,,,,
1,G2,AC_198,AC_066,17R,5,42.102,93,,2.55,,
1,G1,AC_007,AC_081,18L,,,,,,,
1,G1,AC_186,AC_153,18R,4,40.655,96,,2.52,,
1,G2,AC_054,AC_155,19L,,,,,,,
1,G1,AC_054,AC_119,19R,5,29.212,99,,1.43,,
1,G2,AC_161,AC_213,20L,,,,,,,
1,G1,AC_102,AC_178,20R,5,18.762,105,,0.93,,
1,G1,AC_008,AC_188,21L,,,,,,,
1,G2,AC_186,AC_011,21R,3,30.888,97,,1.34,,
1,G1,AC_052,AC_133,22L,,,,,,,
1,G2,AC_165,AC_062,22R,,,,,,,
1,G2,AC_107,AC_130,23L,,,,,,,
1,G2,AC_156,AC_005,23R,,,,,,,
1,G1,AC_091,AC_218,24L,,,,,,,
1,G1,AC_102,AC_178,24R,,,,,,,
1,G1,AC_177,AC_107,25L,,,,,,,
1,G1,AC_103,AC_154,25R,,,,,,,
1,G1,AC_064,AC_086,26L,3,35.89,91,,1.86,,
1,G2,AC_170,AC_118,26R,,,,,,,
1,G2,AC_160,AC_015,27L,3,34.171,101,,1.53,,
1,G2,AC_103,AC_201,27R,,,,,,,
1,G1,AC_091,AC_189,28L,,,,,,,
1,G2,AC_068,AC_089,28R,,,,,,,
1,G1,AC_045,AC_123,29L,3,62.279,122,,3.64,,
1,G1,AC_172,AC_208,29R,3,26.614,124,,1.66,,
1,G1,AC_054,AC_119,30L,,,,,,,
1,G2,AC_068,AC_056,30R,,,,,,,
1,G2,AC_172,AC_040,31L,,,,,,,
1,G1,AC_039,AC_148,31R,,,,,,,
1,G1,AC_061,AC_052,32L,,,,,,,
1,G2,AC_047,AC_113,32R,,,,,,,
1,G2,AC_150,AC_083,33L,4,35.002,107,,2.24,,
1,G1,AC_039,AC_148,33R,,,,,,,
1,G1,AC_047,AC_152,34L,,,,,,,
1,G2,AC_096,AC_181,34R,,,,,,,
1,G2,AC_179,AC_136,35L,,,,,,,
1,G1,AC_047,AC_113,35R,,,,,,,
1,G2,AC_071,AC_115,36L,,,,,,,
1,G1,AC_186,AC_048,36R,,,,,,,
2,G2,AC_156,AC_005,1L,5,53.67,117,,3.78,,
2,G1,AC_097,AC_054,1R,5,20.856,114,,1.30,,
2,G2,AC_165,AC_206,2L,1,37.731,115,,1.79,,
2,G2,AC_186,AC_011,2R,2,20.454,90,,1.56,,
2,G2,AC_172,AC_111,3L,5,22.635,113,,1.44,,
2,G1,AC_170,AC_203,3R,1,49.019,131,,3.46,,
2,G2,AC_054,AC_119,4L,3,99.641,75,,6.32,,
2,G2,AC_207,AC_082,4R,3,56.26,104,,2.07,,
2,G2,AC_170,AC_118,5L,4,27.714,94,,1.88,,
2,G1,AC_094,AC_216,5R,4,81.3,110,,4.26,,
2,G1,AC_052,AC_131,6L,3,82.673,108,,5.23,,
2,G2,AC_064,AC_086,6R,4,43.561,108,,3.35,,
2,G1,AC_064,AC_205,7L,3,55.457,112,,4.22,,
2,G2,AC_165,AC_062,7R,1,30.951,103,,2.26,,
2,G1,AC_064,AC_205,8L,3,51.12,94,,4.42,,
2,G1,AC_170,AC_118,8R,2,45.141,,,3.49,,
2,G1,AC_103,AC_144,9L,3,61.139,134,,4.24,,
2,G1,AC_161,AC_088,9R,1,36.732,77,,2.76,,
2,G1,AC_124,AC_030,10L,5,74.767,117,,5.75,,
2,G2,AC_172,AC_040,10R,1,39.745,131,,3.58,,
2,G1,AC_198,AC_051,11L,2,27.09,124,,1.64,,
2,G1,AC_156,AC_090,11R,5,50.338,127,,3.28,,
2,G2,AC_125,AC_038,12L,2,30.528,129,,1.97,,
2,G2,AC_195,AC_193,12R,1,58.074,146,,4.65,,
2,G2,AC_039,AC_168,13L,4,52.998,141,,3.76,,
2,G1,AC_068,AC_089,13R,2,25.638,129,,1.66,,
2,G2,AC_015,AC_190,14L,3,,,no leaf found in envelope,,,
2,G2,AC_156,AC_016,14R,2,40.046,159,,2.83,,
2,G2,AC_168,AC_010,15L,1,54.091,125,,3.57,,
2,G1,AC_097,AC_054,15R,5,43.599,128,,3.26,,
2,G1,AC_168,AC_010,16L,,,,,,,
2,G2,AC_103,AC_144,16R,3,45.798,156,,2.83,,
2,G2,AC_169,AC_075,17L,3,65.287,130,,4,,
2,G1,AC_169,AC_120,17R,1,53.705,148,,3.32,,
2,G2,AC_198,AC_066,18L,3,38.694,125,,,,
2,G1,AC_169,AC_075,18R,1,50.274,164,,2.35,,
2,G1,AC_068,AC_056,19L,5,68.026,156,,3.85,,
2,G2,AC_094,AC_217,19R,3,56.913,160,,3.96,,
2,G1,AC_064,AC_086,20L,2,27.717,133,,2.05,,
2,G1,AC_198,AC_072,20R,2,93.536,125,,5.13,,
2,G1,AC_096,AC_181,21L,3,26.43,153,,1.63,,
2,G2,AC_052,AC_131,21R,1,55.353,136,,4.37,,
2,G1,AC_089,AC_032,22L,4,63.31,152,,4.12,,
2,G1,AC_094,AC_109,22R,3,55.437,132,re-measured in order to get brightmax,3.64,,
2,G1,AC_207,AC_055,23L,,,,,,,
2,G1,AC_103,AC_154,23R,2,51.188,136,,4.12,,
2,G2,AC_096,AC_128,24L,,,,,,,
2,G1,AC_170,AC_185,24R,,,,,,,
2,G1,AC_103,AC_154,25L,1,51.067,146,,2.95,,
2,G1,AC_002,AC_122,25R,4,39.498,152,,2.17,,
2,G1,AC_052,AC_133,26L,5,51.65,134,,2.91,,
2,G1,AC_015,AC_197,26R,2,48.299,124,,3.84,,
2,G2,AC_216,AC_058,27L,5,35.473,126,,3.5,,
2,G1,AC_124,AC_014,27R,2,28.231,136,,1.72,,
2,G2,AC_097,AC_054,28L,,,,,,,
2,G2,AC_052,AC_133,28R,4,37.232,175,,3.24,,
2,G1,AC_177,AC_107,29L,4,11.316,114,,0.8,,
2,G2,AC_054,AC_046,29R,5,47.147,142,,2.56,,
2,G1,AC_161,AC_088,30L,1,29.52,156,,2.18,,
2,G2,AC_179,AC_114,30R,3,20.218,156,,1.26,,
2,G2,AC_150,AC_200,31L,4,16.093,147,,0.79,,
2,G2,AC_170,AC_203,31R,4,21.081,119,,1.61,,
2,G2,AC_096,AC_074,32L,,,,,,,
2,G1,AC_054,AC_046,32R,4,24.857,148,,1.69,,
2,G1,AC_007,AC_187,33L,,,,,,,
2,G1,AC_169,AC_182,33R,,,,,,,
2,G2,AC_125,AC_095,34L,,,,,,,
2,G2,AC_008,AC_092,34R,3,40.8,139,,2.23,,
2,G2,AC_064,AC_205,35L,1,20.234,161,,1.37,,
2,G2,AC_160,AC_186,35R,,,,,,,
2,G1,AC_061,AC_158,36L,5,21.309,117,,1.99,,
2,G2,AC_186,AC_048,36R,,,,,,,
3,G1,AC_061,AC_052,1L,1,40.877,141,,3.23,,
3,G2,AC_047,AC_113,1R,5,31.172,112,,2.35,,
3,G1,AC_071,AC_215,2L,3,40.73,102,,2.59,,
3,G1,AC_125,AC_038,2R,5,37.089,121,,2.27,,
3,G2,AC_068,AC_089,3L,2,66.263,122,,3.78,,
3,G1,AC_015,AC_190,3R,4,36.797,129,,2.23,,
3,G2,AC_015,AC_197,4L,4,41.361,128,,3.06,,
3,G1,AC_089,AC_057,4R,,,,,,,
3,G2,AC_015,AC_197,5L,3,63.911,127,,5.11,,
3,G1,AC_168,AC_159,5R,,,,,,,
3,G1,AC_207,AC_082,6L,5,40.519,114,,2.08,,
3,G2,AC_045,AC_096,6R,1,38.88,97,,2.59,,
3,G1,AC_216,AC_099,7L,2,30.057,95,,1.59,,
3,G2,AC_103,AC_154,7R,4,50.013,103,,3.57,,
3,G1,AC_168,AC_010,8L,,,,,,,
3,G2,AC_096,AC_181,8R,5,69.9,111,,4.02,,
3,G1,AC_156,AC_005,9L,3,34.896,99,,2.11,,
3,G1,AC_007,AC_187,9R,2,31.226,92,,2.63,,
3,G1,AC_159,AC_094,10L,,,,,,,
3,G2,AC_015,AC_190,10R,,,,,,,
3,G2,AC_039,AC_148,11L,5,19.713,112,,1.44,,
3,G1,AC_045,AC_096,11R,,,,,,,
3,G2,AC_008,AC_068,12L,3,42.015,113,,3.52,,
3,G1,AC_089,AC_057,12R,1,41.151,97,,2.65,,
3,G2,AC_097,AC_064,13L,1,40.004,99,,2.83,,
3,G2,AC_124,AC_100,13R,5,42.481,117,,2.8,,
3,G2,AC_169,AC_075,14L,2,33.769,97,,2.6,,
3,G2,AC_170,AC_185,14R,,,,,,,
3,G1,AC_052,AC_212,15L,,,,,,,
3,G2,AC_161,AC_088,15R,5,80.227,96,,5.33,,
3,G2,AC_179,AC_114,16L,1,25.214,102,,1.37,,
3,G1,AC_103,AC_144,16R,2,40.202,108,,2.39,,
3,G1,AC_002,AC_122,17L,5,32.408,86,,1.88,,
3,G1,AC_168,AC_159,17R,,,,,,,
3,G2,AC_008,AC_068,18L,,,,,,,
3,G1,AC_097,AC_064,18R,2,30.627,95,,2.31,,
3,G1,AC_071,AC_215,19L,4,36.622,101,,2.91,,
3,G2,AC_216,AC_099,19R,2,63.978,89,,3.81,,
3,G1,AC_156,AC_016,20L,4,40.506,99,,2.66,,
3,G1,AC_125,AC_038,20R,2,38.641,94,,2.95,,
3,G1,AC_071,AC_215,21L,3,49.967,102,,2.9,,
3,G1,AC_165,AC_199,21R,2,29.799,94,,2.28,,
3,G2,AC_165,AC_206,22L,3,33.619,98,,2.8,,
3,G1,AC_015,AC_190,22R,4,66.749,99,,4.15,,
3,G2,AC_125,AC_038,23L,1,22.62,98,,1.56,,
3,G1,AC_165,AC_199,23R,,,,,,,
3,G1,AC_089,AC_032,24L,3,71.975,94,,5.1,,
3,G1,AC_177,AC_211,24R,1,52.634,97,,3.81,,
3,G1,AC_096,AC_181,25L,3,39.265,125,,2.74,,
3,G1,AC_160,AC_186,25R,1,35.687,97,,2.61,,
3,G1,AC_054,AC_046,26L,,,,,,,
3,G1,AC_156,AC_016,26R,,,,,,,
3,G1,AC_179,AC_136,27L,5,46.37,117,,3.38,,
3,G2,AC_195,AC_179,27R,,,,,,,
3,G2,AC_007,AC_081,28L,,,,,,,
3,G2,AC_052,AC_212,28R,,,,,,,
3,G1,AC_102,AC_191,29L,4,21.635,108,,1.15,,
3,G2,AC_161,AC_213,29R,1,26.443,97,,2.04,,
3,G2,AC_103,AC_144,30L,,,,,,,
3,G2,AC_103,AC_154,30R,,,,,,,
3,G2,AC_160,AC_015,31L,5,44.656,90,,2.61,,
3,G2,AC_179,AC_171,31R,,,,,,,
3,G1,AC_198,AC_051,32L,,,,,,,
3,G1,AC_015,AC_197,32R,,,,,,,
3,G2,AC_216,AC_058,33L,2,36.32,113,,2.48,,
3,G1,AC_172,AC_111,33R,2,24.122,111,,1.71,,
3,G2,AC_054,AC_101,34L,,,,,,,
3,G1,AC_015,AC_190,34R,,,,,,,
3,G2,AC_216,AC_034,35L,1,34.777,95,,2.63,,
3,G2,AC_096,AC_074,35R,1,59.18,122,,4.58,,
4,G2,AC_172,AC_111,1L,2,33.208,101,,2.37,,
4,G2,AC_007,AC_187,1R,1,53.821,120,,4.47,,
4,G2,AC_054,AC_046,2L,1,28.584,86,,1.94,,
4,G1,AC_045,AC_096,2R,,,,,,,
4,G2,AC_207,AC_055,3L,,,,,,,
4,G1,AC_186,AC_011,3R,4,49.471,108,,3.39,,
4,G1,AC_002,AC_104,4L,1,25.014,90,,1.59,,
4,G2,AC_177,AC_107,4R,5,33.559,112,,1.66,,
4,G2,AC_102,AC_178,5L,5,63.604,119,,3.19,,
4,G1,AC_103,AC_201,5R,1,45.36,109,,2.95,,
4,G1,AC_195,AC_179,6L,2,44.909,104,,2.7,,
4,G2,AC_094,AC_109,6R,5,28.293,99,,1.94,,
4,G2,AC_124,AC_014,7L,5,34.667,80,,2.41,,
4,G1,AC_179,AC_136,7R,3,65.814,103,,4.45,,
4,G1,AC_039,AC_168,8L,3,54.874,92,,2.92,,
4,G2,AC_089,AC_057,8R,4,47.593,97,,3.43,,
4,G1,AC_007,AC_147,9L,3,37.299,68,,3.33,,
4,G1,AC_160,AC_186,9R,4,73.917,88,,5.94,,
4,G2,AC_150,AC_083,10L,2,46.992,119,,2.91,,
4,G2,AC_150,AC_110,10R,2,30.43,103,,1.82,,
4,G1,AC_216,AC_058,11L,4,40.133,110,,3.41,,
4,G2,AC_091,AC_204,11R,1,44.169,112,,2.28,,
4,G2,AC_097,AC_054,12L,,,,,,,
4,G1,AC_096,AC_128,12R,1,77.402,95,,4.77,,
4,G1,AC_039,AC_168,13L,5,48.371,119,,3.03,,
4,G2,AC_207,AC_070,13R,1,36.306,88,,2.68,,
4,G2,AC_198,AC_072,14L,4,23.66,109,,1.72,,
4,G2,AC_045,AC_151,14R,2,58.739,114,,4.29,,
4,G2,AC_216,AC_099,15L,,,,,,,
4,G1,AC_169,AC_075,15R,,,,,,,
4,G1,AC_186,AC_048,16L,4,21.341,92,Leaf potentially folded over,2.01,,
4,G1,AC_002,AC_160,16R,,,,,,,
4,G1,AC_008,AC_068,17L,4,38.364,84,,2.72,,
4,G2,AC_094,AC_109,17R,4,52.97,73,,3.64,,
4,G2,AC_186,AC_011,18L,,,,,,,
4,G1,AC_161,AC_088,18R,5,33.793,94,,2.07,,
4,G2,AC_207,AC_055,19L,,,,,,,
4,G1,AC_064,AC_017,19R,1,38.167,103,,3.13,,
4,G1,AC_170,AC_203,20L,5,81.576,104,,4.98,,
4,G2,AC_124,AC_030,20R,2,31.248,102,,1.78,,
4,G2,AC_002,AC_160,21L,5,39.121,114,,3.11,,
4,G2,AC_068,AC_195,21R,3,55.276,107,,,,
4,G1,AC_156,AC_005,22L,3,34.993,132,,2.35,,
4,G2,AC_107,AC_172,22R,3,53.102,95,,3.32,,
4,G1,AC_008,AC_188,23L,,,,,,,
4,G1,AC_169,AC_120,23R,,,,,,,
4,G1,AC_045,AC_123,24L,,,,,,,
4,G1,AC_150,AC_200,24R,,,,,,,
4,G2,AC_071,AC_215,25L,,,,,,,
4,G1,AC_107,AC_130,25R,,,,,,,
4,G1,AC_124,AC_100,26L,,,,,,,
4,G2,AC_198,AC_051,26R,,,,,,,
4,G1,AC_172,AC_208,27L,5,29.19,121,,1.99,,
4,G2,AC_172,AC_040,27R,1,25.582,140,,1.56,,
4,G1,AC_207,AC_070,28L,,,,,,,
4,G1,AC_172,AC_040,28R,1,42.072,127,,2.63,,
4,G1,AC_170,AC_203,29L,,,,,,,
4,G1,AC_094,AC_216,29R,3,31.586,133,,1.93,,
4,G2,AC_159,AC_143,30L,,,,,,,
4,G1,AC_091,AC_204,30R,,,,,,,
4,G2,AC_125,AC_095,31L,,,,,,,
4,G2,AC_008,AC_068,31R,,,,,,,
4,G2,AC_195,AC_179,32L,,,,,,,
4,G2,AC_015,AC_190,32R,,,,,,,
4,G2,AC_170,AC_118,33L,5,19.969,131,,1.27,,
4,G2,AC_097,AC_064,33R,,,,,,,
4,G2,AC_007,AC_147,34L,,,,,,,
4,G2,AC_052,AC_131,34R,,,,,,,
4,G1,AC_159,AC_094,35L,,,,,,,
4,G1,AC_165,AC_062,35R,,,,,,,
4,G2,AC_168,AC_159,36L,4,34.106,76,,2.97,,
4,G2,AC_168,AC_159,36R,,,,,,,
5,G1,AC_094,AC_109,1L,1,39.267,115,,2.07,,
5,G1,AC_186,AC_153,1R,3,56.594,123,,3.66,,
5,G1,AC_150,AC_200,2L,1,74.308,133,,3.22,,
5,G1,AC_179,AC_171,2R,,,,,,,
5,G2,AC_096,AC_128,3L,4,29.646,130,,1.40,,
5,G2,AC_054,AC_046,3R,1,25.677,104,,1.21,,
5,G1,AC_216,AC_058,4L,2,72.229,129,,4.49,possibly collected from fitness plant,
5,G1,AC_068,AC_195,4R,,,,,,,
5,G2,AC_172,AC_208,5L,1,28.72,89,,2.69,,
5,G2,AC_102,AC_178,5R,,,,,,,
5,G1,AC_159,AC_192,6L,,,,,,,
5,G2,AC_168,AC_010,6R,3,11.656,87,,0.58,,
5,G1,AC_008,AC_068,7L,1,54.882,146,,2.36,,
5,G2,AC_008,AC_188,7R,3,19.092,93,,1.63,,
5,G1,AC_165,AC_206,8L,4,25.921,125,,1.46,,
5,G2,AC_089,AC_032,8R,,,,,,,
5,G2,AC_172,AC_111,9L,,,,,,,
5,G1,AC_068,AC_056,9R,,,,,,,
5,G1,AC_094,AC_217,10L,2,55.028,119,,4.03,,
5,G1,AC_097,AC_064,10R,4,72.177,143,,4.89,,
5,G2,AC_097,AC_064,11L,2,68.079,142,,2.93,,
5,G1,AC_207,AC_070,11R,5,,,,4.45,,
5,G2,AC_207,AC_055,12L,,,,,,,
5,G1,AC_168,AC_142,12R,,,,,,,
5,G2,AC_186,AC_153,13L,,,,,,,
5,G1,AC_198,AC_051,13R,,,,,,,
5,G2,AC_096,AC_128,14L,,,,,,,
5,G1,AC_172,AC_040,14R,4,,,VERY blurry,2.39,,
5,G1,AC_002,AC_104,15L,3,36.545,158,VERY blurry,2.06,,
5,G1,AC_156,AC_005,15R,4,62.497,145,,3.14,,
5,G1,AC_124,AC_030,16L,4,,,VERY blurry,1.21,,
5,G2,AC_186,AC_048,16R,,,,,,,
5,G1,AC_103,AC_144,17L,2,14.610,125,,0.87,,
5,G1,AC_161,AC_213,17R,,,,,,,
5,G1,AC_071,AC_115,18L,4,49.940,127,,3.32,,
5,G2,AC_156,AC_090,18R,4,54.923,139,,4.21,,
5,G2,AC_094,AC_109,19L,2,32.714,130,,1.85,,
5,G1,AC_156,AC_090,19R,1,65.107,148,,4.10,,
5,G2,AC_159,AC_192,20L,2,35.998,143,,1.57,envelope contains fragments from 2 leaves. larger one weighed,
5,G2,AC_064,AC_205,20R,1,76.015,158,,4.12,,
5,G1,AC_015,AC_097,21L,3,36.039,120,,2.84,,
5,G2,AC_169,AC_182,21R,,,,,,,
5,G1,AC_002,AC_160,22L,2,53.061,129,,2.83,,
5,G2,AC_091,AC_204,22R,5,45.941,155,,2.35,,
5,G1,AC_054,AC_155,23L,,,,,,,
5,G2,AC_068,AC_056,23R,,,,,,,
5,G2,AC_159,AC_192,24L,,,,,,,
5,G1,AC_054,AC_046,24R,,,,,,,
5,G2,AC_096,AC_181,25L,,,,,,,
5,G2,AC_045,AC_123,25R,3,50.457,135,,3.2,,
5,G2,AC_071,AC_215,26L,,,,,,,
5,G1,AC_125,AC_095,26R,3,45.937,141,,2.28,,
5,G2,AC_168,AC_142,27L,3,50.019,120,,3.71,,
5,G2,AC_165,AC_206,27R,,,,,,,
5,G2,AC_169,AC_120,28L,4,48.625,142,,2.88,,
5,G2,AC_179,AC_171,28R,,,,,,,
5,G1,AC_170,AC_185,29L,,,,,,,
5,G1,AC_007,AC_147,29R,,,,,,,
5,G1,AC_107,AC_130,30L,,,,,,,
5,G1,AC_216,AC_058,30R,2,22.507,145,,1.29,,
5,G1,AC_168,AC_159,31L,,,,,,,
5,G2,AC_061,AC_158,31R,,,,,,,
5,G1,AC_186,AC_011,32L,,,,,,,
5,G1,AC_039,AC_168,32R,,,,,,,
5,G1,AC_179,AC_114,33L,,,,,,,
5,G1,AC_124,AC_100,33R,,,,,,,
5,G1,AC_186,AC_153,34L,2,39.953,149,,2.72,,
5,G2,AC_007,AC_081,34R,2,18.482,145,,1.08,,
5,G2,AC_094,AC_216,35L,,,,,,,
5,G2,AC_039,AC_168,35R,,,,,,,
5,G1,AC_064,AC_205,36L,4,46.76,160,,2.46,,
5,G1,AC_216,AC_034,36R,,,,,,,
6,G1,AC_150,AC_083,1L,1,20.295,111,,1.57,,
6,G2,AC_156,AC_016,1R,5,31.654,112,,1.8,,
6,G1,AC_071,AC_115,2L,2,29.08,144,,1.44,,
6,G2,AC_002,AC_160,2R,5,98.673,150,,5.11,,
6,G1,AC_159,AC_094,3L,,,,,,,
6,G1,AC_169,AC_120,3R,1,86.116,151,,5.17,,
6,G1,AC_216,AC_099,4L,5,35.09,156,,1.88,,
6,G1,AC_052,AC_131,4R,3,80.013,158,,4.22,,
