Location,Gen,Donor,Recipient,Segment,Plant_ID,Leaf area (mm^2),Bright-max,Area notes,Dry weight (mg),Weight notes
1,G1,BB_144,BB_207,1L,,,,,,
1,G2,BB_168,BB_046,1R,,,,,,
1,G1,BB_091,BB_098,2L,,,,,,
1,G1,BB_171,BB_157,2R,,,,,,
1,G2,BB_107,BB_123,3L,,,,,,
1,G1,BB_091,BB_139,3R,,,,,,
2,G1,BB_005,BB_166,4L,,,,,,
2,G1,BB_169,BB_181,4R,5,68.91,156,,5.49,
2,G2,BB_213,BB_132,5L,2,34.78,150,,3.60,
2,G1,BB_173,BB_044,5R,,,,,,
2,G1,BB_142,BB_150,6L,,,,,,
2,G2,BB_174,BB_002,6R,,,,,,
3,G2,BB_162,BB_154,7L,,,,,,
3,G2,BB_066,BB_052,7R,2,14.045,133,,0.99,
3,G1,BB_023,BB_206,8L,,,,,,
3,G1,BB_174,BB_068,8R,,,,,,
3,G2,BB_213,BB_147,9L,,,,,,
3,G1,BB_026,BB_053,9R,,,,,,
4,G2,BB_108,BB_069,10L,4,24.907,143,,1.59,
4,G1,BB_142,BB_086,10R,,,,,,
4,G2,BB_217,BB_054,11L,,,,,,
4,G1,BB_011,BB_215,11R,5,55.751,136,,4.02,
4,G1,BB_125,BB_051,12L,4,55.099,148,,2.47,
4,G2,BB_177,BB_134,12R,3,48.769,134,,3.67,
5,G1,BB_215,BB_148,13L,2,36.941,152,,2.29,
5,G1,BB_215,BB_004,13R,1,78.605,162,,4.11,
5,G2,BB_051,BB_143,14L,2,33.486,141,,3.05,
5,G2,BB_194,BB_159,14R,1,151.785,180,,11.8,
5,G1,BB_176,BB_017,15L,4,53.029,144,,4.36,
5,G1,BB_196,BB_088,15R,,,,,,
6,G1,BB_065,BB_013,16L,2,74.938,165,,6.43,
6,G1,BB_107,BB_179,16R,5,90.96,162,,5.36,
6,G1,BB_005,BB_166,17L,1,36.473,175,,2.64,
6,G1,BB_215,BB_210,17R,,,,,,
6,G1,BB_169,BB_076,18L,5,27.005,115,,1.67,
6,G2,BB_217,BB_205A,18R,,,,,,
7,G1,BB_202,BB_025,19L,,,,,,
7,G2,BB_130,BB_120,19R,,,,,,
7,G1,BB_142,BB_086,20L,4,69.729,137,,3.15,
7,G1,BB_073,BB_092,20R,,,,,,
7,G2,BB_065,BB_133,21L,,,,,,
7,G1,BB_162,BB_154,21R,,,,,,
8,G2,BB_051,BB_105,22L,,,,,,
8,G1,BB_014,BB_152,22R,,,,,,
8,G1,BB_115,BB_020,23L,,,,,,
8,G2,BB_011,BB_116,23R,3,54.753,126,,2.73,
8,G2,BB_066,BB_019,24L,4,77.459,154,,2.97,
8,G1,BB_005,BB_195,24R,1,77.501,103,,3.78,
9,G1,BB_023,BB_190,25L,,,,,,
9,G1,BB_141,BB_029,25R,5,29.856,130,Leaf is folded,2.06,
