`,Gen,Donor,Recipient,Segment,Plant_ID,Leaf area (mm^2),Bright-max,Area notes,Dry weight (mg),Weight notes,Perimeter  (mm),,
1,G2,HR_175,HR_027,1L,2,40.707,171,,2.41,,77.489,,
1,G1,HR_200,HR_010,1R,4,59.399,189,,3.32,,86.278,,
1,G1,HR_189,HR_051,2L,1,74.038,189,,4.22,,98.238,,
1,G2,HR_141,HR_044,2R,4,30.246,172,,2.17,,61.515,,
1,G2,HR_095,HR_178,3L,3,38.678,148,,2.2,,72.852,,
1,G2,HR_069,HR_108,3R,4,53.667,145,,3.12,,88.16,,
1,G1,HR_180,HR_036,4L,3,72.139,180,,3.81,,120.856,,
1,G2,HR_155,HR_121,4R,,,,,,,,,
1,G1,HR_006,HR_162,5L,5,37.152,160,,2.03,,88.607,,
1,G1,HR_062,HR_134,5R,1,42.306,163,,2.28,,74.79,,
1,G2,HR_164,HR_041,6L,5,43.521,162,,2.24,,81.867,,
1,G2,HR_095,HR_124,6R,4,55.917,163,,2.52,,99.498,,
1,G1,HR_006,HR_162,7L,,,,,,,,,
1,G1,HR_180,HR_179,7R,,,,,,,,,
1,G1,HR_175,HR_196,8L,2,27.981,182,,1.62,,58.85,,
1,G1,HR_164,HR_005,8R,,,,,,,,,
1,G1,HR_157,HR_095,9L,2,33.432,165,,1.74,,71.681,,
1,G2,HR_175,HR_196,9R,,,,,,,,,
1,G1,HR_064,HR_019,10L,1,21.327,169,,1.12,,50.391,,
1,G2,HR_115,HR_111,10R,,,,,,,,,
1,G1,HR_155,HR_047,11L,4,24.174,153,,1.45,,45.569,,
1,G1,HR_157,HR_095,11R,,,,,,,,,
1,G1,HR_115,HR_111,12L,1,68.728,171,,3.85,,102.449,,
1,G1,HR_008,HR_042,12R,1,32.622,165,,1.72,,62.253,,
1,G2,HR_125,HR_086,13L,5,45.570,150,,2.82,,87.752,,
1,G2,HR_115,HR_111,13R,3,51.276,156,,2.62,,83.945,,
1,G2,HR_149,HR_174,14L,3,22.848,158,,1.11,,47.659,,
1,G1,HR_121,HR_105,14R,,,,,,,,,
1,G2,HR_141,HR_044,15L,5,17.223,150,,0.98,,38.739,,
1,G2,HR_085,HR_107,15R,,,,,,,,,
1,G1,HR_195,HR_104,16L,,,,,,,,,
1,G2,HR_008,HR_012,16R,,,,,,,,,
1,G2,HR_069,HR_156,17L,5,59.42,151,,3.2,,88.601,,
1,G2,HR_148,HR_050,17R,,,,,,,,,
1,G1,HR_002,HR_071,18L,,,,,,,,,
1,G1,HR_066,HR_137,18R,,,,,,,,,
1,G2,HR_057,HR_110,19L,3,32.480,165,,1.42,,62.382,,
1,G1,HR_066,HR_087,19R,,,,,,,,,
1,G1,HR_155,HR_047,20L,,,,,,,,,
1,G2,HR_074,HR_070,20R,,,,,,,,,
1,G1,HR_108,HR_177,21L,5,32.016,160,,1.44,,62.451,,
1,G2,HR_070,HR_061,21R,,,,,,,,,
1,G1,HR_155,HR_047,22L,5,50.821,175,,2.59,,82.457,,
1,G1,HR_008,HR_058,22R,5,32.093,179,,1.96,,63.267,,
1,G2,HR_053,HR_169,23L,3,28.402,161,,1.38,,56.816,,
1,G2,HR_110,HR_032,23R,4,26.861,168,,1.71,,51.234,,
1,G2,HR_155,HR_121,24R,4,25.337,143,,1.75,,59.537,,
1,G2,HR_147,HR_118,25L,4,12.696,153,,0.82,,25.749,,
1,G2,HR_095,HR_020,25R,,,,,,,,,
1,G1,HR_100,HR_135,26L,,,,,,,,,
1,G2,HR_139,HR_062,26R,3,24.075,160,,1.55,,58.388,,
1,G1,HR_115,HR_111,27L,3,38.285,150,,2.1,,71.102,,
1,G1,HR_074,HR_070,27R,,,,,,,,,
1,G1,HR_196,HR_183,28L,4,32.896,148,,1.48,,64.756,,
1,G2,HR_064,HR_028,28R,2,17.973,158,,0.8,,40.217,,
1,G1,HR_062,HR_136,29L,4,10.98,172,,0.62,,35.567,,
1,G1,HR_115,HR_131,29R,,,,,,,,,
1,G1,HR_027,HR_119,30L,5,31.008,158,,1.58,,57.777,,
1,G2,HR_133,HR_072,30R,2,37.513,158,,2.08,,72.86,,
1,G2,HR_141,HR_044,31L,,,,,,,,,
1,G2,HR_059,HR_166,31R,4,23.789,144,,1.48,,59.058,,
1,G1,HR_133,HR_158,32L,2,43.162,165,,2.37,,81.391,,
1,G1,HR_115,HR_111,32R,1,19.718,168,,1.24,,46.018,,
1,G2,HR_180,HR_179,33L,,,,,,,,,
1,G1,HR_095,HR_178,33R,,,,,,,,,
1,G2,HR_066,HR_137,34L,3,45.635,150,,2.15,,73.965,,
1,G1,HR_195,HR_068,34R,4,36.786,170,,1.9,,70.923,,
1,G2,HR_164,HR_005,35L,,,,,,,,,
