Sample ID,δ13CVPDB (‰),Total C (µg),C Comment,Tray Name,Well Id,Type of Material,Analysis,Sample Weight (mg) from Sample List,Internal ID,Analysis Number,Mass Spec
AC-057-G1-001-1L-2,-32.86,1450.39,,Nemo-2023-AC-1,A1,plant stem tissue,13C,4.07,2035470,704740,H
AC-130-G2-001-1R-2,-31.91,1295.28,,Nemo-2023-AC-1,A2,plant stem tissue,13C,3.95,2035471,704741,H
AC-215-G2-001-2L-5,-32.20,674.07,,Nemo-2023-AC-1,A3,plant stem tissue,13C,2.19,2035472,704742,H
AC-191-G2-001-2R-2,-31.42,529.05,,Nemo-2023-AC-1,A4,plant stem tissue,13C,1.8,2035473,704743,H
AC-189-G2-001-3L-5,-32.94,903.28,,Nemo-2023-AC-1,A5,plant stem tissue,13C,3.02,2035474,704744,H
AC-032-G1-001-3R-2,-31.63,1848.09,,Nemo-2023-AC-1,A6,plant stem tissue,13C,5.47,2035475,704745,H
AC-072-G1-001-4L-4,-32.23,1249.13,,Nemo-2023-AC-1,A7,plant stem tissue,13C,3.5,2035476,704746,H
AC-032-G2-001-4R-2,-31.74,777.17,,Nemo-2023-AC-1,A8,plant stem tissue,13C,1.98,2035477,704747,H
AC-204-G1-001-5L-5,-31.66,1701.12,,Nemo-2023-AC-1,A9,plant stem tissue,13C,4.7,2035478,704748,H
AC-119-G1-001-5R-3,-31.52,1884.69,,Nemo-2023-AC-1,A10,plant stem tissue,13C,5.14,2035479,704749,H
AC-094-G2-001-6L-3,-32.07,1703.96,,Nemo-2023-AC-1,A11,plant stem tissue,13C,4.74,2035480,704750,H
AC-123-G1-001-6R-2,-31.86,1584.62,,Nemo-2023-AC-1,A12,plant stem tissue,13C,4.37,2035481,704751,H
AC-030-G1-001-7L-1,-32.26,389.21,,Nemo-2023-AC-1,B1,plant stem tissue,13C,1.58,2035482,704758,H
AC-151-G2-001-7R-1,-32.24,1754.93,,Nemo-2023-AC-1,B2,plant stem tissue,13C,5.23,2035483,704759,H
AC-147-G2-001-8L-1,-32.17,938.37,,Nemo-2023-AC-1,B3,plant stem tissue,13C,3,2035484,704760,H
AC-147-G1-001-8R-2,-32.28,1870.62,,Nemo-2023-AC-1,B4,plant stem tissue,13C,5.15,2035485,704761,H
AC-086-G1-001-9L-3,-32.01,1819.89,,Nemo-2023-AC-1,B5,plant stem tissue,13C,5.07,2035486,704762,H
AC-089-G1-001-9R-3,-30.46,903.28,,Nemo-2023-AC-1,B6,plant stem tissue,13C,3.16,2035487,704763,H
AC-212-G2-001-10L-4,-32.19,1669.92,,Nemo-2023-AC-1,B7,plant stem tissue,13C,5.26,2035488,704764,H
AC-179-G1-001-11L-3,-32.04,894.51,,Nemo-2023-AC-1,B8,plant stem tissue,13C,2.86,2035489,704765,H
AC-192-G2-001-11R-1,-31.55,552.78,,Nemo-2023-AC-1,B9,plant stem tissue,13C,1.9,2035490,704766,H
AC-107-G2-001-12L-2,-33.49,1367.21,,Nemo-2023-AC-1,B10,plant stem tissue,13C,4.27,2035491,704767,H
AC-188-G2-001-12R-2,-31.24,1752.10,,Nemo-2023-AC-1,B11,plant stem tissue,13C,5.05,2035492,704768,H
AC-068-G1-001-13L-3,-31.92,2013.76,,Nemo-2023-AC-1,B12,plant stem tissue,13C,5.69,2035493,704769,H
AC-195-G2-001-13R-5,-31.71,1338.46,,Nemo-2023-AC-1,C1,plant stem tissue,13C,4.07,2035494,704774,H
AC-034-G1-001-14R-1,-31.77,419.03,,Nemo-2023-AC-1,C2,plant stem tissue,13C,1.23,2035495,704775,H
AC-094-G2-001-15L-2,-32.66,1182.65,,Nemo-2023-AC-1,C3,plant stem tissue,13C,3.49,2035496,704776,H
AC-107-G2-001-15R-4,-32.45,1867.80,,Nemo-2023-AC-1,C4,plant stem tissue,13C,5.7,2035497,704777,H
AC-199-G2-001-16L-3,-32.78,1378.70,,Nemo-2023-AC-1,C5,plant stem tissue,13C,3.85,2035498,704778,H
AC-081-G1-001-18L-3,-33.23,641.58,,Nemo-2023-AC-1,C6,plant stem tissue,13C,2.09,2035499,704779,H
AC-153-G1-001-18R-1,-32.22,697.67,,Nemo-2023-AC-1,C7,plant stem tissue,13C,2.46,2035500,704780,H
AC-119-G1-001-19R-3,-33.05,685.87,,Nemo-2023-AC-1,C8,plant stem tissue,13C,2.47,2035501,704781,H
AC-188-G1-001-21L-4,-32.93,1078.24,,Nemo-2023-AC-1,C9,plant stem tissue,13C,3.48,2035502,704782,H
AC-011-G2-001-21R-4,-32.11,416.05,,Nemo-2023-AC-1,C10,plant stem tissue,13C,1.63,2035503,704783,H
AC-062-G2-001-22R-1,-32.19,1536.16,,Nemo-2023-AC-1,C11,plant stem tissue,13C,4.94,2035504,704784,H
AC-005-G2-001-23R-3,-33.28,1266.44,,Nemo-2023-AC-1,C12,plant stem tissue,13C,4.16,2035505,704785,H
AC-218-G1-001-24L-3,-31.44,1378.70,,Nemo-2023-AC-1,D1,plant stem tissue,13C,3.96,2035506,704789,H
AC-178-G1-001-24R-5,-31.81,1162.38,,Nemo-2023-AC-1,D2,plant stem tissue,13C,3.64,2035507,704790,H
AC-107-G1-001-25L-5,-32.42,1283.75,,Nemo-2023-AC-1,D3,plant stem tissue,13C,4.19,2035508,704791,H
AC-118-G2-001-26R-5,-32.13,617.93,,Nemo-2023-AC-1,D4,plant stem tissue,13C,2.54,2035509,704792,H
AC-201-G2-001-27R-1,-32.61,323.51,,Nemo-2023-AC-1,D5,plant stem tissue,13C,1.06,2035510,704793,H
AC-189-G1-001-28L-2,-32.15,730.09,,Nemo-2023-AC-1,D6,plant stem tissue,13C,2.24,2035511,704794,H
AC-123-G1-001-29L-5,-32.50,1615.93,,Nemo-2023-AC-1,D7,plant stem tissue,13C,4.88,2035512,704795,H
AC-208-G1-001-29R-4,-32.17,377.28,,Nemo-2023-AC-1,D8,plant stem tissue,13C,1.47,2035513,704796,H
AC-113-G2-001-32R-4,-32.25,529.05,,Nemo-2023-AC-1,D9,plant stem tissue,13C,1.69,2035514,704797,H
AC-083-G2-001-33L-5,-32.38,564.64,,Nemo-2023-AC-1,D10,plant stem tissue,13C,1.85,2035515,704798,H
AC-148-G1-001-33R-3,-31.97,419.03,,Nemo-2023-AC-1,D11,plant stem tissue,13C,1.56,2035516,704799,H
AC-181-G2-001-34R-2,-31.98,1301.04,,Nemo-2023-AC-1,D12,plant stem tissue,13C,3.95,2035517,704800,H
AC-136-G2-001-35L-5,-32.52,380.26,,Nemo-2023-AC-1,E1,plant stem tissue,13C,1.3,2035518,704807,H
AC-115-G2-001-36L-4,-32.43,724.20,,Nemo-2023-AC-1,E2,plant stem tissue,13C,2.38,2035519,704808,H
AC-005-G2-002-1L-4,-32.46,835.90,,Nemo-2023-AC-1,E3,plant stem tissue,13C,2.37,2035520,704809,H
AC-054-G1-002-1R-3,-32.39,1332.71,,Nemo-2023-AC-1,E4,plant stem tissue,13C,4.28,2035521,704810,H
AC-206-G2-002-2L-5,-32.18,404.12,,Nemo-2023-AC-1,E5,plant stem tissue,13C,1.71,2035522,704811,H
AC-111-G2-002-3L-5,-31.89,448.81,,Nemo-2023-AC-1,E6,plant stem tissue,13C,1.38,2035523,704812,H
AC-119-G2-002-4L-4,-32.30,445.83,,Nemo-2023-AC-1,E7,plant stem tissue,13C,1.61,2035524,704813,H
AC-082-G2-002-4R-1,-31.63,724.20,,Nemo-2023-AC-1,E8,plant stem tissue,13C,2.23,2035525,704814,H
AC-118-G2-002-5L-3,-32.12,508.27,,Nemo-2023-AC-1,E9,plant stem tissue,13C,1.88,2035526,704815,H
AC-216-G1-002-5R-3,-31.74,1110.19,,Nemo-2023-AC-1,E10,plant stem tissue,13C,3.07,2035527,704816,H
AC-131-G1-002-6L-1,-32.62,797.74,,Nemo-2023-AC-1,E11,plant stem tissue,13C,2.49,2035528,704817,H
AC-086-G2-002-6R-3,-31.53,1398.79,,Nemo-2023-AC-1,E12,plant stem tissue,13C,4.24,2035529,704818,H
AC-205-G1-002-7L-1,-31.99,1576.08,,Nemo-2023-AC-1,F1,plant stem tissue,13C,4.09,2035530,704822,H
AC-062-G2-002-7R-4,-32.05,1593.17,,Nemo-2023-AC-1,F2,plant stem tissue,13C,4.86,2035531,704823,H
AC-118-G1-002-8R-4,-32.42,2022.15,,Nemo-2023-AC-1,F3,plant stem tissue,13C,5.74,2035532,704824,H
AC-144-G1-002-9L-1,-32.58,1496.17,,Nemo-2023-AC-1,F4,plant stem tissue,13C,4.48,2035533,704825,H
AC-030-G1-002-10L-2,-32.26,938.37,,Nemo-2023-AC-1,F5,plant stem tissue,13C,2.36,2035534,704826,H
AC-040-G2-002-10R-4,-31.58,1938.08,,Nemo-2023-AC-1,F6,plant stem tissue,13C,5.88,2035535,704827,H
AC-051-G1-002-11L-5,-32.05,1638.68,,Nemo-2023-AC-1,F7,plant stem tissue,13C,4.68,2035536,704828,H
AC-090-G1-002-11R-2,-32.19,1456.12,,Nemo-2023-AC-1,F8,plant stem tissue,13C,4.33,2035537,704829,H
AC-193-G2-002-12R-5,-31.42,1473.29,,Nemo-2023-AC-1,F9,plant stem tissue,13C,4.39,2035538,704830,H
AC-089-G1-002-13R-1,-30.89,1516.17,,Nemo-2023-AC-1,F10,plant stem tissue,13C,4.47,2035539,704831,H
AC-190-G2-002-14L-4,-31.05,1046.26,,Nemo-2023-AC-1,F11,plant stem tissue,13C,2.9,2035540,704832,H
