Sample ID,δ13CVPDB (‰),Total C (µg),C Comment,Tray Name,Well Id,Type of Material,Analysis,Sample Weight (mg) from Sample List,Internal ID,Analysis Number,Mass Spec
BB-139-G1-001-3R-3,-27.94,1487.79,,Nemo-2023-BB-1,A1,plant stem tissue,13C,3.34,2026595,696624,H
BB-181-G1-002-4R-5,-28.97,1321.78,,Nemo-2023-BB-1,A2,plant stem tissue,13C,4.5,2026596,696625,H
BB-132-G2-002-5L-3,-27.42,1135.44,,Nemo-2023-BB-1,A3,plant stem tissue,13C,3.45,2026597,696626,H
BB-044-G1-002-5R-2,-30.25,1542.77,,Nemo-2023-BB-1,A4,plant stem tissue,13C,4.55,2026598,696627,H
BB-150-G1-002-6L-5,-29.67,1487.79,,Nemo-2023-BB-1,A5,plant stem tissue,13C,4.56,2026599,696628,H
BB-002-G2-002-6R-3,-29.62,1606.69,,Nemo-2023-BB-1,A6,plant stem tissue,13C,4.58,2026600,696629,H
BB-052-G2-003-7R-4,-30.74,1138.56,,Nemo-2023-BB-1,A7,plant stem tissue,13C,3.77,2026601,696630,H
BB-206-G1-003-8L-3,-31.07,1661.29,,Nemo-2023-BB-1,A8,plant stem tissue,13C,4.58,2026602,696631,H
BB-068-G1-003-8R-4,-30.36,1627.95,,Nemo-2023-BB-1,A9,plant stem tissue,13C,4.69,2026603,696632,H
BB-147-G2-003-9L-5,-31.28,899.74,,Nemo-2023-BB-1,A10,plant stem tissue,13C,2.55,2026604,696633,H
BB-053-G1-003-9R-5,-29.87,1147.92,,Nemo-2023-BB-1,A11,plant stem tissue,13C,3.49,2026605,696634,H
BB-069-G2-004-10L-5,-31.16,1444.90,,Nemo-2023-BB-1,A12,plant stem tissue,13C,4.53,2026606,696635,H
BB-086-G1-004-10R-1,-30.80,1530.57,,Nemo-2023-BB-1,B1,plant stem tissue,13C,4.42,2026607,696642,H
BB-215-G1-004-11R-5,-30.25,660.96,,Nemo-2023-BB-1,B2,plant stem tissue,13C,2.47,2026608,696643,H
BB-051-G1-004-12L-5,-30.75,921.87,,Nemo-2023-BB-1,B3,plant stem tissue,13C,2.92,2026609,696644,H
BB-134-G2-004-12R-1,-30.62,667.36,,Nemo-2023-BB-1,B4,plant stem tissue,13C,2.56,2026610,696645,H
