Year,Gen,Transect,Sequence,Donor,Recipient,Plant_ID,F_plant,sample_ID_SEG,SegPos,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,F_Num_01,F_Num_02,F_Num_03,skel_dryweight_mg,skel_dryweights_mg_SEG,closed_fruits,open_fruits,filled_seeds,total_seeds,total_fruits,mean_seeds_per_fruit,est_fecundity,msm_all,corolla_diam_mm,photo_date,corolla_diam_mm_SEG,photo_date_SEG,leaf_area_mm2,leaf_dryweight_mg,leaf_area_mm2_SEG,leaf_dryweight_mg_SEG,SLA_SEG,SLA,LMA_SEG,LMA,d13C,sample_weight_mg,d13C_SEG,sample_weight_mg_SEG,surv_to_flower,surv_to_fruitprod,prod_closed_fruits,prod_filled_seeds,Cohort,Block,Replicated,Rep_FitP,any_FitP,F_plant_ID,F_multi,Germ_Date,days_germ2flower,corolla_area_mm2,corolla_area_mm2_SEG,sd_msm_all,est_fecundity_int,surv_to_germ,skel_dryweights_mg
2023,G1,1,1,AC_089,AC_057,2,TRUE,AC-057-G1-001-1L,1L,2022-10-17,2022-10-21,2024-05-12,573,569,2024-05-26,14,NA,1900-01-01,NA,7.72,7.72,4,0,3,3,4,0.75,3,2.216666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-32.86,4.07,-32.86,4.07,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.72
2023,G2,1,1,AC_107,AC_130,2,TRUE,AC-130-G2-001-1R,1R,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-12,14,NA,NA,NA,20.93,20.93,4,0,7,14,4,1.75,7,1.888571429,22.613,2023-04-28,22.613,2023-04-28,NA,NA,47.806,2.77,17.258483754512635,NA,0.05794251767560557,NA,-31.91,3.95,-31.91,3.95,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.93
2023,G2,1,2,AC_102,AC_191,5,TRUE,AC-191-G2-001-2R,2R,2022-10-17,2022-10-21,2024-05-12,573,569,2024-05-12,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,22.178,2023-05-12,22.178,2023-05-12,NA,NA,73.723,2.76,26.711231884057973,NA,0.03743743472186427,NA,NA,NA,-31.42,1.8,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,1,2,AC_071,AC_215,5,TRUE,AC-215-G2-001-2L,2L,2022-10-17,2022-10-21,2024-05-12,573,569,2024-05-12,0,NA,NA,NA,12.06,12.06,1,0,0,0,1,0,0,NA,NA,NA,21.664,2023-04-28,NA,NA,71.264,3.2,22.269999999999996,NA,0.04490345756623261,NA,-32.2,2.19,-32.2,2.19,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.06
2023,G1,1,3,AC_089,AC_032,2,TRUE,AC-032-G1-001-3R,3R,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-12,14,NA,NA,NA,59.42,59.42,8,1,20,35,9,2.5,22.5,2.106666667,23.885,2023-04-28,23.885,2023-04-28,NA,NA,74.933,4.3,17.426279069767443,NA,0.05738459690656986,NA,-31.63,5.47,-31.63,5.47,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.42
2023,G2,1,3,AC_091,AC_189,5,TRUE,AC-189-G2-001-3L,3L,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-12,14,NA,NA,NA,7.84,7.84,4,0,6,11,4,1.5,6,0.77,NA,NA,18.132,2023-04-28,NA,NA,53.101,2.86,18.566783216783215,NA,0.05385962599574395,NA,-32.94,3.02,-32.94,3.02,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.84
2023,G2,1,4,AC_089,AC_032,2,TRUE,AC-032-G2-001-4R,4R,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-12,14,NA,NA,NA,4.4,4.4,1,2,0,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,79.498,4.95,16.06020202020202,NA,0.06226571737653778,NA,-31.74,1.98,-31.74,1.98,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4
2023,G1,1,4,AC_198,AC_072,4,TRUE,AC-072-G1-001-4L,4L,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-12,14,NA,NA,NA,9.11,9.11,9,2,1,9,11,0.1111111111,1.222222222,1.2,NA,NA,18.225,2023-04-28,NA,NA,32.812,1.54,21.306493506493503,NA,0.04693404851883458,NA,-32.23,3.5,-32.23,3.5,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.11
2023,G1,1,5,AC_054,AC_119,3,TRUE,AC-119-G1-001-5R,5R,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-26,28,NA,1900-01-02,NA,38.66,38.66,7,3,9,25,10,1.285714286,12.85714286,1.732222222,NA,NA,22.18,2023-04-28,NA,NA,42.984,3.45,12.459130434782608,NA,0.08026242322724735,NA,-31.52,5.14,-31.52,5.14,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.66
2023,G1,1,5,AC_091,AC_204,5,TRUE,AC-204-G1-001-5L,5L,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-12,14,NA,NA,NA,30.95,30.95,6,2,19,36,8,3.166666667,25.33333333,1.049294872,23.881,2023-04-28,23.881,2023-04-28,NA,NA,62.23,3.65,17.04931506849315,NA,0.05865338261288767,NA,-31.66,4.7,-31.66,4.7,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.95
2023,G2,1,6,AC_159,AC_094,3,TRUE,AC-094-G2-001-6L,6L,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-26,28,NA,NA,NA,NA,NA,8,7,12,37,15,1.5,22.5,0.9291666667,20.513,2023-04-28,20.513,2023-04-28,NA,NA,NA,NA,NA,NA,NA,NA,-32.07,4.74,-32.07,4.74,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
