Transect,Year,Recipient,Gen,Symbol,Plant_ID,Segment,corolla_dia,
1,2023,AC_057,G1,-,2,1L,21.488,
1,2023,AC_032,G1,-,2,3R,23.885,
1,2023,AC_072,G1,-,1,4L,18.225,
1,2023,AC_072,G1,-,4,4L,15.47,
1,2023,AC_204,G1,-,5,5L,23.881,
1,2023,AC_119,G1,-,2,5R,22.18,
1,2023,AC_119,G1,-,3,5R,25.188,
1,2023,AC_123,G1,-,2,6R,22.462,
1,2023,AC_030,G1,-,1,7L,22.713,
1,2023,AC_147,G1,-,2,8R,25.244,
1,2023,AC_147,G1,-,4,8R,23.421,
1,2023,AC_086,G1,-,1,9L,23.718,
1,2023,AC_086,G1,-,3,9L,,
1,2023,AC_089,G1,-,3,9R,17.596,
1,2023,AC_179,G1,-,3,11L,16.658,
1,2023,AC_068,G1,-,3,13L,17.393,
1,2023,AC_034,G1,-,1,14R,,
1,2023,AC_034,G1,-,4,14R,17.929,
1,2023,AC_081,G1,-,3,18L,17.968,
1,2023,AC_153,G1,-,1,18R,20.32,
1,2023,AC_119,G1,-,3,19R,19.215,
1,2023,AC_178,G1,-,3,20R,20.833,
1,2023,AC_188,G1,-,4,21L,19.514,
1,2023,AC_133,G1,-,1,22L,,
1,2023,AC_218,G1,-,3,24L,18.695,
1,2023,AC_178,G1,-,5,24R,,
1,2023,AC_107,G1,-,5,25L,19.853,
1,2023,AC_154,G1,-,3,25R,21.969,
1,2023,AC_086,G1,-,2,26L,18.427,
1,2023,AC_189,G1,-,2,28L,22.242,
1,2023,AC_123,G1,-,5,29L,21.2,
1,2023,AC_208,G1,-,3,29R,20.66,
1,2023,AC_208,G1,-,4,29R,,
1,2023,AC_119,G1,-,5,30L,16.213,
1,2023,AC_148,G1,-,3,33R,,
1,2023,AC_113,G1,-,3,35R,22.104,
2,2023,AC_054,G1,-,3,1R,25.317,
2,2023,AC_203,G1,-,5,3R,,
2,2023,AC_216,G1,-,3,5R,22.885,
2,2023,AC_131,G1,-,1,6L,17.69,
2,2023,AC_205,G1,-,1,7L,,
