Year,Gen,Transect,Sequence,Donor,Recipient,Plant_ID,F_plant,SegPos,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,skel_weight_mg,Sym,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,total_seeds,total_fruits,mean_seeds_per_fruit,est_fecundity,mean_seed_mass_mg,corolla_diam_mm,photo_date,leaf_area_mm2,leaf_dryweight_mg,SLA,d13C,sample_weight_mg,surv_to_flower,surv_to_fruitprod,prod_closed_fruits,prod_filled_seeds
2023,G1,1,1,AC_089,AC_057,1,FALSE,1L,2022-10-17,2022-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-32.86,4.07,0,NA,NA,NA
2023,G1,1,1,AC_089,AC_057,2,TRUE,1L,2022-10-17,2022-10-21,2023-05-12,207,203,2023-05-26,14,NA,2023-05-12,NA,1,NA,7.72,-,4,0,3,3,4,0.75,3,2.216666667,NA,NA,NA,NA,NA,-32.86,4.07,1,1,1,1
2023,G1,1,1,AC_089,AC_057,3,FALSE,1L,2022-10-17,2022-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-32.86,4.07,0,NA,NA,NA
2023,G1,1,1,AC_089,AC_057,4,FALSE,1L,2022-10-17,2022-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-32.86,4.07,0,NA,NA,NA
2023,G1,1,1,AC_089,AC_057,5,FALSE,1L,2022-10-17,2022-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-32.86,4.07,0,NA,NA,NA
2023,G2,1,1,AC_107,AC_130,1,FALSE,1R,2022-10-17,2022-10-21,2023-05-12,207,203,2023-05-12,0,2023-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.613,2023-04-28,47.806,2.77,17.258483754512635,-31.91,3.95,1,NA,NA,NA
2023,G2,1,1,AC_107,AC_130,2,TRUE,1R,2022-10-17,2022-10-21,2023-04-28,193,189,2023-05-12,14,NA,2023-04-28,NA,NA,NA,20.93,X,4,0,7,14,4,1.75,7,1.888571429,22.613,2023-04-28,47.806,2.77,17.258483754512635,-31.91,3.95,1,1,1,1
2023,G2,1,1,AC_107,AC_130,3,FALSE,1R,2022-10-17,2022-10-21,2023-05-12,207,203,2023-05-12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.613,2023-04-28,47.806,2.77,17.258483754512635,-31.91,3.95,1,NA,NA,NA
2023,G2,1,1,AC_107,AC_130,4,FALSE,1R,2022-10-17,2022-10-21,2023-05-12,207,203,2023-05-12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.613,2023-04-28,47.806,2.77,17.258483754512635,-31.91,3.95,1,NA,NA,NA
2023,G2,1,1,AC_107,AC_130,5,FALSE,1R,2022-10-17,2022-10-21,2023-05-12,207,203,2023-05-12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.613,2023-04-28,47.806,2.77,17.258483754512635,-31.91,3.95,1,NA,NA,NA
