Year,Gen,Location,Sequence,Donor,Recipient,Plant_ID,F_plant,sample_ID,SegPos,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,FD_06,FD_07,FD_08,FD_09,F_Num_01,F_Num_02,F_Num_03,skel_dryweight_mg,skel_dryweights_mg_SEG,closed_fruits,open_fruits,filled_seeds,total_seeds,total_fruits,mean_seeds_per_fruit,est_fecundity,latitude_SEG,longitude_SEG,msm_all,corolla_diam_mm,photo_date,corolla_diam_mm_SEG,photo_date_SEG,leaf_area_mm2,leaf_dryweight_mg,leaf_area_mm2_SEG,leaf_dryweight_mg_SEG,SLA_SEG,SLA,LMA_SEG,LMA,sample_ID_SEG,d13C,sample_weight_mg,d13C_SEG,sample_weight_mg_SEG,surv_to_flower,surv_to_fruitprod,prod_closed_fruits,prod_filled_seeds
2023,G1,1,3,BB_091,BB_139,3,TRUE,BB-139-G1-001-3R-3,3R,2022-10-03,2022-10-06,2023-03-15,163,160,2023-06-07,84,2023-04-26,2023-05-10,2023-05-24,2023-06-07,6,2,1,1129,1129,9,4,13,21,13,1.444444444,18.77777778,38.31522,-123.06908,8.542083333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BB-139-G1-001-3R,-27.94,3.34,-27.94,3.34,1,1,1,1
2023,G1,2,4,BB_169,BB_181,5,TRUE,BB-181-G1-002-4R-5,4R,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-27,43,2023-04-27,NA,NA,NA,NA,0,NA,83.4,83.4,4,0,16,16,4,4,16,38.31514,-123.06908,4.655833333,28.16,2024-03-15,28.16,2024-03-15,68.91,5.49,68.91,5.49,12.55191256830601,12.55191256830601,0.07966913365259035,0.07966913365259035,BB-181-G1-002-4R,-28.97,4.5,-28.97,4.5,1,1,1,1
2023,G1,2,5,BB_173,BB_044,2,TRUE,BB-044-G1-002-5R-2,5R,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-27,43,2023-04-27,NA,NA,NA,NA,0,NA,16.84,16.84,1,0,0,0,1,0,0,38.31514,-123.06908,NA,30.703,2024-03-15,30.703,2024-03-15,NA,NA,NA,NA,NA,NA,NA,NA,BB-044-G1-002-5R,-30.25,4.55,-30.25,4.55,1,1,1,0
2023,G2,2,5,BB_213,BB_132,3,TRUE,BB-132-G2-002-5L-3,5L,2022-10-03,2022-10-06,2023-02-15,135,132,2023-04-27,71,2023-04-27,NA,NA,NA,NA,0,NA,73.86,73.86,0,1,0,0,1,NA,NA,38.31514,-123.06908,NA,20.615,2024-02-15,20.615,2024-02-15,NA,NA,34.78,3.6,9.661111111111111,NA,0.10350776308223117,NA,BB-132-G2-002-5L,-27.42,3.45,-27.42,3.45,1,1,0,0
2023,G2,2,6,BB_174,BB_002,3,TRUE,BB-002-G2-002-6R-3,6R,2022-10-03,2022-10-06,2023-03-01,149,146,2023-04-27,57,2023-04-27,NA,NA,NA,NA,0,NA,80.17,80.17,1,0,0,2,1,0,0,38.31514,-123.06908,NA,25.175,2024-03-15,25.175,2024-03-15,NA,NA,NA,NA,NA,NA,NA,NA,BB-002-G2-002-6R,-29.62,4.58,-29.62,4.58,1,1,1,0
2023,G1,2,6,BB_142,BB_150,5,TRUE,BB-150-G1-002-6L-5,6L,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-27,43,2023-04-27,NA,NA,NA,NA,0,NA,NA,NA,2,0,3,5,2,1.5,3,38.31514,-123.06908,2.743333333,NA,NA,29.72,2024-02-15,NA,NA,NA,NA,NA,NA,NA,NA,BB-150-G1-002-6L,-29.67,4.56,-29.67,4.56,1,1,1,1
2023,G2,3,7,BB_066,BB_052,4,TRUE,BB-052-G2-003-7R-4,7R,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-26,42,2023-04-26,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,5,2,0,0,38.31512,-123.06909,NA,NA,NA,22.117,2024-02-15,NA,NA,14.045,0.99,14.186868686868687,NA,0.0704877180491278,NA,BB-052-G2-003-7R,-30.74,3.77,-30.74,3.77,1,1,1,0
2023,G1,3,8,BB_174,BB_068,4,TRUE,BB-068-G1-003-8R-4,8R,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-26,42,2023-04-26,NA,NA,NA,NA,NA,NA,67.46,67.46,5,0,11,23,5,2.2,11,38.31512,-123.06909,3.715555556,30.232,2024-03-15,30.232,2024-03-15,NA,NA,NA,NA,NA,NA,NA,NA,BB-068-G1-003-8R,-30.36,4.69,-30.36,4.69,1,1,1,1
2023,G1,3,8,BB_023,BB_206,3,TRUE,BB-206-G1-003-8L-3,8L,2022-10-03,2022-10-06,2023-03-01,149,146,2023-04-26,56,2023-04-26,NA,NA,NA,NA,NA,NA,33.31,33.31,1,0,4,6,1,4,4,38.31512,-123.06909,3.0075,28.124,2024-03-01,28.124,2024-03-01,NA,NA,NA,NA,NA,NA,NA,NA,BB-206-G1-003-8L,-31.07,4.58,-31.07,4.58,1,1,1,1
2023,G1,3,9,BB_026,BB_053,5,TRUE,BB-053-G1-003-9R-5,9R,2022-10-03,2022-10-06,2023-03-01,149,146,2023-04-11,41,NA,NA,NA,NA,NA,NA,NA,75.96,75.96,3,0,4,15,3,1.333333333,4,38.31512,-123.06909,7.11,26.154,2024-03-01,26.154,2024-03-01,NA,NA,NA,NA,NA,NA,NA,NA,BB-053-G1-003-9R,-29.87,3.49,-29.87,3.49,1,1,1,1
2023,G2,3,9,BB_213,BB_147,5,TRUE,BB-147-G2-003-9L-5,9L,2022-10-03,2022-10-06,2023-03-29,177,174,2023-04-11,13,NA,NA,NA,NA,NA,NA,NA,35.92,35.92,2,0,0,5,2,0,0,38.31512,-123.06909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BB-147-G2-003-9L,-31.28,2.55,-31.28,2.55,1,1,1,0
2023,G2,4,10,BB_108,BB_069,5,TRUE,BB-069-G2-004-10L-5,10L,2022-10-03,2022-10-06,2023-03-01,149,146,2023-04-11,41,NA,NA,NA,NA,NA,NA,NA,30.34,30.34,3,0,6,14,3,2,6,38.31509,-123.06911,1.92375,25.605,2024-03-01,25.605,2024-03-01,NA,NA,24.907,1.59,15.664779874213835,NA,0.0638374754085197,NA,BB-069-G2-004-10L,-31.16,4.53,-31.16,4.53,1,1,1,1
2023,G1,4,10,BB_142,BB_086,1,TRUE,BB-086-G1-004-10R-1,10R,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-27,43,2023-04-27,NA,NA,NA,NA,NA,NA,33.4,33.4,3,0,15,16,3,5,15,38.31509,-123.06911,2.268,33.443,2024-03-15,33.443,2024-03-15,NA,NA,NA,NA,NA,NA,NA,NA,BB-086-G1-004-10R,-30.8,4.42,-30.8,4.42,1,1,1,1
2023,G1,4,11,BB_011,BB_215,5,TRUE,BB-215-G1-004-11R-5,11R,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-27,43,2023-04-27,NA,NA,NA,NA,NA,NA,65.31,65.31,4,0,20,20,4,5,20,38.31509,-123.06911,4.43,NA,NA,NA,NA,55.751,4.02,55.751,4.02,13.868407960199006,13.868407960199006,0.07210632993130167,0.07210632993130167,BB-215-G1-004-11R,-30.25,2.47,-30.25,2.47,1,1,1,1
2023,G1,4,12,BB_125,BB_051,5,TRUE,BB-051-G1-004-12L-5,12L,2022-10-03,2022-10-06,2023-03-01,149,146,2023-03-29,28,NA,NA,NA,NA,NA,NA,NA,30.19,30.19,2,1,1,6,3,0.5,1.5,38.31509,-123.06911,3.45,NA,NA,NA,NA,NA,NA,55.099,2.47,22.30728744939271,NA,0.04482839978946987,NA,BB-051-G1-004-12L,-30.75,2.92,-30.75,2.92,1,1,1,1
2023,G2,4,12,BB_177,BB_134,1,TRUE,BB-134-G2-004-12R-1,12R,2022-10-03,2022-10-06,2023-03-01,149,146,2023-04-11,41,NA,NA,NA,NA,NA,NA,NA,30.83,30.83,1,3,0,5,4,0,0,38.31509,-123.06911,NA,NA,NA,21.59,2024-02-15,NA,NA,48.769,3.67,13.288555858310627,NA,0.07525272201603478,NA,BB-134-G2-004-12R,-30.62,2.56,-30.62,2.56,1,1,1,0
2023,G1,5,13,BB_215,BB_004,4,TRUE,BB-004-G1-005-13R-4,13R,2022-10-03,2022-10-06,2023-03-01,149,146,2023-05-10,70,2023-04-26,2023-05-10,NA,NA,2,NA,NA,NA,NA,10,1,28,32,11,2.8,30.8,38.31506,-123.06911,3.863571429,20.145,2024-03-01,20.145,2024-03-01,NA,NA,78.605,4.11,19.125304136253042,NA,0.05228675020672985,NA,BB-004-G1-005-13R,NA,NA,-30.9,4.24,1,1,1,1
2023,G1,5,13,BB_215,BB_148,3,TRUE,BB-148-G1-005-13L-3,13L,2022-10-03,2022-10-06,2023-03-01,149,146,2023-05-10,70,2023-04-26,2023-05-10,NA,NA,1,NA,NA,65.51,65.51,13,4,91,97,17,7,119,38.31506,-123.06911,2.712088268,22.76,2024-03-01,22.76,2024-03-01,NA,NA,36.941,2.29,16.131441048034937,NA,0.061990741993990406,NA,BB-148-G1-005-13L,-30.39,4.11,-30.39,4.11,1,1,1,1
2023,G2,5,14,BB_051,BB_143,1,TRUE,BB-143-G2-005-14L-1,14L,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-26,42,2023-04-26,NA,NA,NA,NA,NA,NA,39.69,39.69,1,4,4,4,5,4,20,38.31506,-123.06911,5.21,NA,NA,28.177,2024-03-01,NA,NA,33.486,3.05,10.979016393442622,NA,0.09108284059009736,NA,BB-143-G2-005-14L,-30.07,4.57,-30.07,4.57,1,1,1,1
2023,G2,5,14,BB_194,BB_159,5,TRUE,BB-159-G2-005-14R-5,14R,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-11,27,NA,NA,NA,NA,NA,NA,NA,51.75,51.75,4,2,10,12,6,2.5,15,38.31506,-123.06911,5.793,NA,NA,29.186,2024-03-01,NA,NA,151.785,11.8,12.863135593220338,NA,0.0777415423131403,NA,BB-159-G2-005-14R,-30.37,2.18,-30.37,2.18,1,1,1,1
2023,G1,5,15,BB_176,BB_017,1,TRUE,BB-017-G1-005-15L-1,15L,2022-10-03,2022-10-06,2023-02-15,135,132,2023-04-26,70,2023-04-26,NA,NA,NA,NA,NA,NA,143.62,143.62,3,0,11,16,3,3.666666667,11,38.31506,-123.06911,2.452708333,21.631,2024-02-15,21.631,2024-02-15,NA,NA,53.029,4.36,12.162614678899082,NA,0.08221916309943617,NA,BB-017-G1-005-15L,-28.82,3.8,-28.82,3.8,1,1,1,1
2023,G1,5,15,BB_196,BB_088,3,TRUE,BB-088-G1-005-15R-3,15R,2022-10-03,2022-10-06,2023-02-15,135,132,2023-05-10,84,2023-04-26,2023-05-10,NA,NA,3,NA,NA,395.27,395.27,20,12,54,71,32,2.7,86.4,38.31506,-123.06911,4.081041667,19.277,2024-02-15,19.277,2024-02-15,NA,NA,NA,NA,NA,NA,NA,NA,BB-088-G1-005-15R,-31,4.18,-31,4.18,1,1,1,1
2023,G1,6,16,BB_065,BB_013,4,TRUE,BB-013-G1-006-16L-4,16L,2022-10-03,2022-10-06,2023-03-29,177,174,2023-05-10,42,2023-04-27,2023-05-10,NA,NA,1,NA,NA,43.08,43.08,4,0,10,29,4,2.5,10,38.31504,-123.06917,4.013571429,34.038,2024-03-29,34.038,2024-03-29,NA,NA,74.938,6.43,11.654432348367031,NA,0.08580426485895006,NA,BB-013-G1-006-16L,-29.56,4.08,-29.56,4.08,1,1,1,1
2023,G1,6,16,BB_107,BB_179,1,TRUE,BB-179-G1-006-16R-1,16R,2022-10-03,2022-10-06,2023-04-11,190,187,2023-05-10,29,2023-04-27,2023-05-10,NA,NA,2,NA,NA,143.67,143.67,13,0,70,89,13,5.384615385,70,38.31504,-123.06917,2.295583333,NA,NA,26.623,2024-03-29,NA,NA,90.96,5.36,16.970149253731343,NA,0.05892700087950748,NA,BB-179-G1-006-16R,-30.28,4.02,-30.28,4.02,1,1,1,1
2023,G1,6,17,BB_005,BB_166,2,TRUE,BB-166-G1-006-17L-2,17L,2022-10-03,2022-10-06,2023-02-15,135,132,2023-04-27,71,2023-04-27,NA,NA,NA,NA,NA,NA,259.6,259.6,17,2,42,68,19,2.470588235,46.94117647,38.31504,-123.06917,3.384291667,22.73,2024-02-15,22.73,2024-02-15,NA,NA,36.473,2.64,13.815530303030302,NA,0.07238231020206728,NA,BB-166-G1-006-17L,-30.27,1.49,-30.27,1.49,1,1,1,1
2023,G1,6,18,BB_169,BB_076,1,TRUE,BB-076-G1-006-18L-1,18L,2022-10-03,2022-10-06,2023-03-01,149,146,2023-05-10,70,2023-04-27,2023-05-10,NA,NA,1,NA,NA,90.33,90.33,6,1,28,37,7,4.666666667,32.66666667,38.31504,-123.06917,3.235470588,25.356,2024-03-01,25.356,2024-03-01,NA,NA,27.005,1.67,16.17065868263473,NA,0.06184039992593964,NA,BB-076-G1-006-18L,-29.41,3.74,-29.41,3.74,1,1,1,1
2023,G2,6,18,BB_217,BB_205A,4,TRUE,BB-205A-G2-006-18R-4,18R,2022-10-03,2022-10-06,2023-03-29,177,174,2023-04-12,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,38.31504,-123.06917,8.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BB-205A-G2-006-18R,-30.24,2.26,-30.24,2.26,1,1,1,1
2023,G1,7,19,BB_202,BB_025,1,TRUE,BB-025-G1-007-19L-1,19L,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-26,42,2023-04-26,NA,NA,NA,NA,NA,NA,31.66,31.66,3,0,9,12,3,3,9,38.31505,-123.06921,4.532142857,27.858,2024-03-15,27.858,2024-03-15,NA,NA,NA,NA,NA,NA,NA,NA,BB-025-G1-007-19L,-31.38,4.91,-31.38,4.91,1,1,1,1
2023,G1,7,20,BB_142,BB_086,2,TRUE,BB-086-G1-007-20L-2,20L,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-12,28,NA,NA,NA,NA,NA,NA,NA,62.41,62.41,11,0,60,72,11,5.454545455,60,38.31505,-123.06921,2.6985,NA,NA,15.337,2024-02-15,NA,NA,69.729,3.15,22.136190476190478,NA,0.04517489136514219,NA,BB-086-G1-007-20L,-31.58,4.43,-31.58,4.43,1,1,1,1
2023,G1,7,20,BB_073,BB_092,4,TRUE,BB-092-G1-007-20R-4,20R,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-12,28,NA,NA,NA,NA,NA,NA,NA,29.03,29.03,3,0,7,7,3,2.333333333,7,38.31505,-123.06921,5.245714286,36.822,2024-03-29,36.822,2024-03-29,NA,NA,NA,NA,NA,NA,NA,NA,BB-092-G1-007-20R,-31.13,3.83,-31.13,3.83,1,1,1,1
2023,G1,8,22,BB_014,BB_152,5,TRUE,BB-152-G1-008-22R-5,22R,2022-10-03,2022-10-06,2023-03-29,177,174,2023-04-27,29,2023-04-27,NA,NA,NA,NA,NA,NA,19.36,19.36,3,0,10,10,3,3.333333333,10,38.31505,-123.06922,5.665,27.185,2024-03-29,27.185,2024-03-29,NA,NA,NA,NA,NA,NA,NA,NA,BB-152-G1-008-22R,-30.13,4.61,-30.13,4.61,1,1,1,1
2023,G1,8,23,BB_115,BB_020,4,TRUE,BB-020-G1-008-23L-4,23L,2022-10-03,2022-10-06,2023-03-15,163,160,2023-05-10,56,2023-04-27,2023-05-10,NA,NA,2,NA,NA,355.36,355.36,23,0,161,179,23,7,161,38.31505,-123.06922,1.785031746,NA,NA,18.446,2024-02-15,NA,NA,NA,NA,NA,NA,NA,NA,BB-020-G1-008-23L,-30.11,5.16,-30.11,5.16,1,1,1,1
2023,G2,8,23,BB_011,BB_116,1,TRUE,BB-116-G2-008-23R-1,23R,2022-10-03,2022-10-06,2023-03-15,163,160,2023-04-27,43,2023-04-27,NA,NA,NA,NA,NA,NA,292.05,292.05,24,0,57,68,24,2.375,57,38.31505,-123.06922,4.481833333,32.46,2024-03-15,32.46,2024-03-15,NA,NA,54.753,2.73,20.056043956043958,NA,0.04986028162840392,NA,BB-116-G2-008-23R,-31.09,4.41,-31.09,4.41,1,1,1,1
2023,G2,8,24,BB_066,BB_019,2,TRUE,BB-019-G2-008-24L-2,24L,2022-10-03,2022-10-06,2023-03-15,163,160,2023-05-10,56,2023-04-27,2023-05-10,NA,NA,3,NA,NA,NA,NA,12,5,98,98,17,8.166666667,138.8333333,38.31505,-123.06922,3.6315,NA,NA,25.676,2024-03-01,NA,NA,77.459,2.97,26.08047138047138,NA,0.03834286525774926,NA,BB-019-G2-008-24L,-31.62,3.88,-31.62,3.88,1,1,1,1
