Year,Gen,Transect,Sequence,Donor,Recipient,Plant_ID,F_plant,SegPos,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,LeafD,FLR_P,F_Num_01,F_Num_02,F_Num_03,skel_weight_mg,Sym,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,total_seeds,total_fruits,mean_seeds_per_fruit,est_fecundity,mean_seed_mass_mg,corolla_diam_mm,photo_date,leaf_area_mm2,leaf_dryweight_mg,SLA,d13C,sample_weight_mg,surv_to_flower,surv_to_fruitprod,prod_closed_fruits,prod_filled_seeds
2023,G1,1,14,BO_039,BO_087,4,TRUE,14L,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,NA,2023-05-05,NA,NA,NA,22.55,-,2,9,0,0,11,0,0,NA,NA,NA,NA,NA,NA,-29.26,4.92,1,1,1,0
2023,G1,1,15,BO_153,BO_177,2,TRUE,15R,2022-10-31,2022-11-03,2023-05-17,198,195,2023-05-17,0,NA,2023-05-17,NA,1,NA,NA,-,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
2023,G1,1,17,BO_201,BO_189,4,TRUE,17L,2022-10-31,2022-11-03,2023-05-17,198,195,2023-05-17,0,NA,2023-05-17,NA,NA,NA,NA,-,1,0,4,4,1,4,4,4.8,NA,NA,NA,NA,NA,-27.58,4.26,1,1,1,1
2023,G1,1,18,BO_189,BO_142,3,TRUE,18R,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,NA,2023-05-05,NA,NA,NA,NA,-,2,1,0,0,3,0,0,NA,NA,NA,45.093,3.94,11.444923857868021,NA,NA,1,1,1,0
2023,G1,1,19,BO_170,BO_055,4,TRUE,19R,2022-10-31,2022-11-03,2023-05-17,198,195,2023-06-15,29,2023-06-15,NA,NA,NA,NA,29.05,-,2,1,0,0,3,0,0,NA,NA,NA,43.562,2.72,16.015441176470585,-28.43,5.17,1,1,1,0
2023,G2,1,20,BO_033,BO_124,2,TRUE,20R,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,NA,2023-05-05,NA,NA,NA,NA,X,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0
2023,G2,1,21,BO_173,BO_091,1,TRUE,21L,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,NA,NA,NA,NA,NA,NA,X,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
2023,G1,1,22,BO_029,BO_190,5,TRUE,22R,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,NA,2023-05-05,NA,NA,NA,33.18,-,2,0,2,2,2,1,2,6.785,NA,NA,NA,NA,NA,-28.51,4.85,1,1,1,1
2023,G1,1,24,BO_033,BO_099,1,TRUE,24L,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,2023-06-15,2023-05-05,NA,NA,NA,6.78,-,1,2,0,3,3,0,0,NA,NA,NA,21.346,1.4,15.247142857142858,-30.67,3.96,1,1,1,0
2023,G1,1,25,BO_170,BO_055,5,TRUE,25L,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,NA,2023-05-05,1,NA,NA,4.56,-,5,0,5,7,5,1,5,1.894,NA,NA,NA,NA,NA,-29.09,2.5,1,1,1,1
