sample_ID_SEG,sample_ID,Transect,Recipient,Donor,Gen,SegPos,Plant_ID,Sequence,F_plant,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,F_Num_01,F_Num_02,F_Num_03,skel_dryweight_mg,skel_dryweight_mg_SEG,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,total_seeds,total_fruits,mean_seeds_per_fruit,est_fecundity,mean_seed_mass_mg,corolla_diam_mm,photo_date,corolla_diam_mm_SEG,photo_date_SEG,leaf_area_mm2,leaf_dryweight_mg,leaf_area_mm2_SEG,leaf_dryweight_mg_SEG,SLA_SEG,SLA,LMA_SEG,LMA,d13C,sample_weight_mg,d13C_SEG,sample_weight_mg_SEG,surv_to_flower,surv_to_fruitprod,prod_closed_fruits,prod_filled_seeds
HR-001-G1-002-12L,HR-001-G1-002-12L-3,2,HR_001,HR_171,G1,12L,3,57,TRUE,2022-11-10,2022-11-13,2024-04-05,512,509,2024-04-05,0,,,,,,1,0,1,1,1,1,1,1.3,20.646,2024-04-05,20.646,2024-04-05,,,90.49,4.25,21.29176470588235,,0.046966515637086974,,,,,,1,1,1,1
HR-001-G1-008-2R,HR-001-G1-008-2R-2,8,HR_001,HR_171,G1,2R,2,317,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2024-04-20,381,,,,15.39,15.39,5,0,13,30,5,2.6,13,1.540769231,22.443,2024-04-05,22.443,2024-04-05,,,,,,,,,-30.69,4.97,-30.69,4.97,1,1,1,1
HR-001-G1-009-2L,HR-001-G1-009-2L-3,9,HR_001,HR_171,G1,2L,3,362,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2024-04-20,381,,,,6.56,6.56,3,3,7,12,6,2.333333333,14,1.798571429,24.239,2024-04-05,24.239,2024-04-05,,,,,,,,,-30.32,1.48,-30.32,1.48,1,1,1,1
HR-001-G2-004-17L,HR-001-G2-004-17L-1,4,HR_001,HR_171,G2,17L,1,152,TRUE,2022-11-10,2022-11-13,2024-04-05,512,509,2024-04-20,15,,,,3.43,3.43,2,0,1,1,2,0.5,1,2.12,19.463,2024-04-05,19.463,2024-04-05,,,14.697,0.93,15.80322580645161,,0.06327822004490713,,-31.38,1.94,-31.38,1.94,1,1,1,1
HR-001-G2-005-39R,HR-001-G2-005-39R-5,5,HR_001,HR_171,G2,39R,5,219,TRUE,2022-11-10,2022-11-13,2024-04-05,512,509,2024-04-20,15,,,,1.33,1.33,1,0,0,2,1,0,0,,20.997,2024-04-05,20.997,2024-04-05,,,12.353,0.66,18.716666666666665,,0.05342831700801425,,,,,,1,1,1,0
HR-001-G2-008-9R,HR-001-G2-008-9R-4,8,HR_001,HR_171,G2,9R,4,324,TRUE,2022-11-10,2022-11-13,2023-04-05,146,143,2024-04-20,381,,,,2.41,2.41,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,1,1,0,0
HR-004-G1-006-34L,HR-004-G1-006-34L-3,6,HR_004,HR_135,G1,34L,3,259,TRUE,2022-11-10,2022-11-13,2024-03-23,499,496,2024-04-05,13,,,,5.89,5.89,1,5,2,3,6,2,12,2.895,22.995,2024-03-23,22.995,2024-03-23,,,,,,,,,-30.91,4.79,-30.91,4.79,1,1,1,1
HR-004-G1-008-28L,HR-004-G1-008-28L-2,8,HR_004,HR_135,G1,28L,2,343,TRUE,2022-11-10,2022-11-13,2024-04-20,527,524,2024-04-20,0,,,,4.05,4.05,0,1,0,0,1,,,,,,,,,,,,,,,,-30.06,2.08,-30.06,2.08,1,1,0,0
HR-004-G2-004-43L,HR-004-G2-004-43L-3,4,HR_004,HR_135,G2,43L,3,178,TRUE,2022-11-10,2022-11-13,2024-04-05,512,509,2024-04-20,15,,,,61.57,61.57,9,6,32,44,15,3.555555556,53.33333333,2.690625,23.517,2024-04-05,23.517,2024-04-05,,,,,,,,,-29.55,3.23,-29.55,3.23,1,1,1,1
HR-004-G2-005-24R,HR-004-G2-005-24R-5,5,HR_004,HR_135,G2,24R,5,204,TRUE,2022-11-10,2022-11-13,2024-04-05,512,509,2024-04-20,15,,,,10.66,10.66,2,2,5,9,4,2.5,10,2.34,,,23.021,2024-04-05,,,,,,,,,-29.65,3.34,-29.65,3.34,1,1,1,1
