,Gen,Donor,Recipient,Segment,Plant_ID,Leaf area (mm^2),Bright-max,Area notes,Dry weight (mg),Weight notes
1,G1,BO_106,BO_104,1L,,,,,,
1,G2,BO_029,BO_061,1R,,,,,,
1,G2,BO_162,BO_089,2L,,,,,,
1,G1,BO_101,BO_024,2R,,,,,,
1,G1,BO_185,BO_153,3L,,,,,,
1,G2,BO_153,BO_177,3R,,,,,,
1,G1,BO_101,BO_182,4L,,,,,,
1,G1,BO_040,BO_029,4R,,,,,,
1,G2,BO_039,BO_200,5L,,,,,,
1,G2,BO_001,BO_151,5R,,,,,,
1,G1,BO_130,BO_161,6L,,,,,,
1,G2,BO_185,BO_071,6R,,,,,,
1,G1,BO_065,BO_115,7L,,,,,,
1,G2,BO_162,BO_108,7R,,,,,,
1,G1,BO_168,BO_175,8L,,,,,,
1,G1,BO_153,BO_157,8R,,,,,,
1,G1,BO_039,BO_200,9L,,,,,,
1,G1,BO_151,BO_056,9R,,,,,,
1,G1,BO_185,BO_085,10L,,,,,,
1,G2,BO_065,BO_078,10R,,,,,,
1,G2,BO_101,BO_080,11L,,,,,,
1,G1,BO_033,BO_099,11R,,,,,,
1,G2,BO_189,BO_126,12L,,,,,,
1,G1,BO_163,BO_034,12R,,,,,,
1,G1,BO_177,BO_139,13L,,,,,,
1,G2,BO_170,BO_045,13R,,,,,,
1,G1,BO_039,BO_087,14L,,,,,,
1,G2,BO_151,BO_056,14R,,,,,,
1,G2,BO_187,BO_031,15L,,,,,,
1,G1,BO_153,BO_177,15R,,,,,,
1,G2,BO_185,BO_071,16L,,,,,,
1,G2,BO_119,BO_051,16R,,,,,,
1,G1,BO_201,BO_189,17L,,,,,,
1,G1,BO_069,BO_043,17R,,,,,,
1,G1,BO_073,BO_117,18L,,,,,,
1,G1,BO_189,BO_142,18R,5,45.093,146,,3.94,
1,G1,BO_013,BO_141,19L,,,,,,
1,G1,BO_170,BO_055,19R,4,43.562,161,,2.72,
1,G1,BO_189,BO_086,20L,,,,,,
1,G2,BO_033,BO_124,20R,,,,,,
1,G2,BO_173,BO_091,21L,,,,,,
1,G1,BO_096,BO_178,21R,,,,,,
1,G1,BO_143,BO_195,22L,,,,,,
1,G1,BO_029,BO_190,22R,,,,,,
1,G1,BO_070,BO_046,23L,,,,,,
1,G2,BO_119,BO_017,23R,,,,,,
1,G1,BO_033,BO_099,24L,1,21.346,147,,1.40,
1,G2,BO_194,BO_098,24R,,,,,,
1,G1,BO_170,BO_055,25L,,,,,,
1,G1,BO_177,BO_139,25R,,,,,,
1,G2,BO_168,BO_155,26L,,,,,,
1,G1,BO_194,BO_037,26R,,,,,,
1,G2,BO_192,BO_127,27L,,,,,,
1,G1,BO_177,BO_139,27R,4,15.721,161,,0.95,
