Sample ID,δ13CVPDB (‰),Total C (µg),C Comment,Tray Name,Well Id,Type of Material,Analysis,Sample Weight (mg) from Sample List,Internal ID,Analysis Number,Mass Spec
BO-027-G2-008-3L-5,-28.64,1462.53,,Nemo-2023-BO-2,B3,plant stem tissue,13C,4.52,2031265,700471,H
BO-008-G2-008-4L-1,-29.97,2009.13,,Nemo-2023-BO-2,B4,plant stem tissue,13C,5.76,2031266,700472,H
BO-087-G1-008-4R-1,-28.29,907.66,,Nemo-2023-BO-2,B5,plant stem tissue,13C,3.3,2031267,700473,H
BO-027-G1-008-5L-3,-29.64,433.78,,Nemo-2023-BO-2,B6,plant stem tissue,13C,1.54,2031268,700474,H
BO-122-G1-008-6L-1,-27.92,1064.66,,Nemo-2023-BO-2,B7,plant stem tissue,13C,3.24,2031269,700475,H
BO-115-G1-008-6R-2,-29.90,276.83,,Nemo-2023-BO-2,B8,plant stem tissue,13C,0.95,2031270,700476,H
BO-122-G1-008-7R-2,-27.54,1017.72,,Nemo-2023-BO-2,B9,plant stem tissue,13C,2.84,2031271,700477,H
BO-056-G2-008-8L-2,-28.90,621.12,,Nemo-2023-BO-2,B10,plant stem tissue,13C,2.24,2031272,700478,H
BO-082-G1-008-9L-2,-28.29,907.66,,Nemo-2023-BO-2,B11,plant stem tissue,13C,2.84,2031273,700479,H
BO-028-G1-008-9R-2,-27.82,524.48,,Nemo-2023-BO-2,B12,plant stem tissue,13C,1.56,2031274,700480,H
BO-069-G1-008-11R-3,-28.75,1291.09,,Nemo-2023-BO-2,C1,plant stem tissue,13C,4,2031275,700485,H
BO-164-G1-008-13L-5,-29.68,736.34,,Nemo-2023-BO-2,C2,plant stem tissue,13C,2.06,2031276,700486,H
BO-079-G1-008-15R-2,-28.98,1668.08,,Nemo-2023-BO-2,C3,plant stem tissue,13C,4.91,2031277,700487,H
BO-090-G1-008-16L-5,-27.90,459.75,,Nemo-2023-BO-2,C4,plant stem tissue,13C,1.4,2031278,700488,H
BO-149-G1-008-17L-1,-29.79,621.12,,Nemo-2023-BO-2,C5,plant stem tissue,13C,2.02,2031279,700489,H
BO-027-G1-008-18R-3,-29.43,1441.20,,Nemo-2023-BO-2,C6,plant stem tissue,13C,4.5,2031280,700490,H
BO-072-G1-008-19L-4,-29.38,1244.83,,Nemo-2023-BO-2,C7,plant stem tissue,13C,4.07,2031281,700491,H
BO-152-G2-008-19R-5,-29.31,1151.90,,Nemo-2023-BO-2,C8,plant stem tissue,13C,3.46,2031282,700492,H
BO-008-G1-008-20L-3,-28.70,585.75,,Nemo-2023-BO-2,C9,plant stem tissue,13C,1.88,2031283,700493,H
BO-137-G2-008-20R-2,-30.28,488.91,,Nemo-2023-BO-2,C10,plant stem tissue,13C,1.86,2031284,700494,H
BO-008-G1-008-21L-2,-29.07,1217.01,,Nemo-2023-BO-2,C11,plant stem tissue,13C,2.92,2031285,700495,H
BO-091-G1-008-21R-2,-28.65,424.04,,Nemo-2023-BO-2,C12,plant stem tissue,13C,1.19,2031286,700496,H
BO-149-G2-008-23L-5,-29.04,1416.80,,Nemo-2023-BO-2,D1,plant stem tissue,13C,4.17,2031287,700500,H
BO-152-G2-008-24L-2,-28.84,1465.57,,Nemo-2023-BO-2,D2,plant stem tissue,13C,4.7,2031288,700501,H
BO-066-G1-008-24R-4,-28.71,1167.43,,Nemo-2023-BO-2,D3,plant stem tissue,13C,3.74,2031289,700502,H
BO-144-G1-008-25R-5,-28.77,1499.01,,Nemo-2023-BO-2,D4,plant stem tissue,13C,4.38,2031290,700503,H
BO-032-G1-009-2L-3,-27.90,1086.52,,Nemo-2023-BO-2,D5,plant stem tissue,13C,3.71,2031291,700504,H
BO-117-G1-009-2R-4,-27.76,1589.83,,Nemo-2023-BO-2,D6,plant stem tissue,13C,4.44,2031292,700505,H
BO-087-G1-001-14L-4,-29.26,1627.00,,Nemo-2023-BO-1,A1,plant stem tissue,13C,4.92,2031155,700298,H
BO-189-G1-001-17L-4,-27.58,1218.98,,Nemo-2023-BO-1,A2,plant stem tissue,13C,4.26,2031156,700299,H
BO-055-G1-001-19R-4,-28.43,1783.92,,Nemo-2023-BO-1,A3,plant stem tissue,13C,5.17,2031157,700300,H
BO-190-G1-001-22R-5,-28.51,1605.03,,Nemo-2023-BO-1,A4,plant stem tissue,13C,4.85,2031158,700301,H
BO-099-G1-001-24L-1,-30.67,1262.92,,Nemo-2023-BO-1,A5,plant stem tissue,13C,3.96,2031159,700302,H
BO-055-G1-001-25L-5,-29.09,669.74,,Nemo-2023-BO-1,A6,plant stem tissue,13C,2.5,2031160,700303,H
BO-037-G1-001-26R-2,-32.09,594.41,,Nemo-2023-BO-1,A7,plant stem tissue,13C,2.04,2031161,700304,H
BO-139-G1-001-27R-4,-30.62,1040.09,,Nemo-2023-BO-1,A8,plant stem tissue,13C,3.2,2031162,700305,H
BO-124-G2-001-28R-5,-31.01,324.50,,Nemo-2023-BO-1,A9,plant stem tissue,13C,1.56,2031163,700306,H
BO-089-G1-001-30L-1,-29.46,1648.97,,Nemo-2023-BO-1,A10,plant stem tissue,13C,5.23,2031164,700307,H
BO-151-G1-001-33L-3,-29.39,1696.04,,Nemo-2023-BO-1,A11,plant stem tissue,13C,5.29,2031165,700308,H
BO-125-G1-001-37L-5,-29.91,1397.88,,Nemo-2023-BO-1,A12,plant stem tissue,13C,4.03,2031166,700309,H
BO-175-G1-002-1L-1,-27.89,1222.12,,Nemo-2023-BO-1,B1,plant stem tissue,13C,4.01,2031167,700316,H
BO-095-G2-002-7L-5,-27.11,823.53,,Nemo-2023-BO-1,B2,plant stem tissue,13C,2.67,2031168,700317,H
BO-094-G2-002-8L-2,-28.69,1498.32,,Nemo-2023-BO-1,B3,plant stem tissue,13C,4.12,2031169,700318,H
BO-067-G1-002-9L-1,-28.74,858.05,,Nemo-2023-BO-1,B4,plant stem tissue,13C,2.42,2031170,700319,H
BO-201-G2-002-10R-4,-29.54,475.15,,Nemo-2023-BO-1,B5,plant stem tissue,13C,1.94,2031171,700320,H
BO-143-G1-002-11R-2,-31.03,660.32,,Nemo-2023-BO-1,B6,plant stem tissue,13C,1.81,2031172,700321,H
BO-096-G1-002-14L-5,-30.45,553.61,,Nemo-2023-BO-1,B7,plant stem tissue,13C,1.93,2031173,700322,H
BO-104-G1-002-15L-2,-31.13,1576.78,,Nemo-2023-BO-1,B8,plant stem tissue,13C,4.95,2031174,700323,H
BO-081-G1-002-15R-5,-29.32,889.44,,Nemo-2023-BO-1,B9,plant stem tissue,13C,2.9,2031175,700324,H
BO-174-G1-002-16R-4,-31.81,710.54,,Nemo-2023-BO-1,B10,plant stem tissue,13C,2.12,2031176,700325,H
BO-144-G1-002-18R-4,-29.16,1118.55,,Nemo-2023-BO-1,B11,plant stem tissue,13C,3.67,2031177,700326,H
BO-043-G1-002-20L-1,-27.58,666.60,,Nemo-2023-BO-1,B12,plant stem tissue,13C,2.5,2031178,700327,H
BO-060-G2-002-20R-5,-28.85,895.71,,Nemo-2023-BO-1,C1,plant stem tissue,13C,3.57,2031179,700332,H
BO-137-G1-002-21L-5,-28.81,820.39,,Nemo-2023-BO-1,C2,plant stem tissue,13C,2.25,2031180,700333,H
BO-015-G2-002-22L-1,-29.08,735.65,,Nemo-2023-BO-1,C3,plant stem tissue,13C,2.04,2031181,700334,H
BO-063-G1-002-24R-5,-27.49,880.02,,Nemo-2023-BO-1,C4,plant stem tissue,13C,2.9,2031182,700335,H
BO-044-G1-002-26L-1,-25.96,1077.75,,Nemo-2023-BO-1,C5,plant stem tissue,13C,3.02,2031183,700336,H
BO-031-G1-002-31L-2,-25.69,1102.86,,Nemo-2023-BO-1,C6,plant stem tissue,13C,2.99,2031184,700337,H
BO-169-G2-002-31R-1,-28.74,911.41,,Nemo-2023-BO-1,C7,plant stem tissue,13C,2.63,2031185,700338,H
BO-015-G1-003-2R-4,-30.39,1686.63,,Nemo-2023-BO-1,C8,plant stem tissue,13C,5.21,2031186,700339,H
BO-174-G1-003-4R-2,-31.43,820.39,,Nemo-2023-BO-1,C9,plant stem tissue,13C,2.34,2031187,700340,H
BO-177-G1-003-5L-5,-30.27,453.18,,Nemo-2023-BO-1,C10,plant stem tissue,13C,1.26,2031188,700341,H
BO-086-G1-003-5R-5,-30.76,1463.79,,Nemo-2023-BO-1,C11,plant stem tissue,13C,5.21,2031189,700342,H
BO-111-G1-003-6R-4,-28.94,1156.21,,Nemo-2023-BO-1,C12,plant stem tissue,13C,3.79,2031190,700343,H
BO-072-G2-003-12L-3,-29.25,842.36,,Nemo-2023-BO-1,D1,plant stem tissue,13C,2.89,2031191,700347,H
BO-180-G1-003-14L-4,-30.03,1473.21,,Nemo-2023-BO-1,D2,plant stem tissue,13C,4.06,2031192,700348,H
BO-045-G1-003-14R-4,-30.78,1488.90,,Nemo-2023-BO-1,D3,plant stem tissue,13C,4.79,2031193,700349,H
BO-154-G2-003-15L-3,-28.39,622.66,,Nemo-2023-BO-1,D4,plant stem tissue,13C,2.43,2031194,700350,H
BO-095-G1-004-9L-5,-30.49,1259.79,,Nemo-2023-BO-1,D5,plant stem tissue,13C,4.31,2031195,700351,H
BO-180-G1-004-10L-5,-30.13,770.17,,Nemo-2023-BO-1,D6,plant stem tissue,13C,2.12,2031196,700352,H
BO-125-G1-004-19L-3,-31.09,942.79,,Nemo-2023-BO-1,D7,plant stem tissue,13C,3.04,2031197,700353,H
BO-199-G1-004-27L-1,-28.98,1432.41,,Nemo-2023-BO-1,D8,plant stem tissue,13C,3.84,2031198,700354,H
BO-126-G1-005-2L-5,-29.68,883.16,,Nemo-2023-BO-1,D9,plant stem tissue,13C,3.18,2031199,700355,H
BO-050-G2-005-3L-1,-30.83,1109.14,,Nemo-2023-BO-1,D10,plant stem tissue,13C,3.91,2031200,700356,H
BO-159-G1-005-4R-3,-29.36,371.58,,Nemo-2023-BO-1,D11,plant stem tissue,13C,0.86,2031201,700357,H
BO-052-G2-005-5R-5,-30.57,829.80,,Nemo-2023-BO-1,D12,plant stem tissue,13C,2.88,2031202,700358,H
BO-069-G2-005-6L-4,-29.83,911.41,,Nemo-2023-BO-1,E1,plant stem tissue,13C,3.1,2031203,700364,H
BO-025-G2-005-7R-3,-30.36,537.92,,Nemo-2023-BO-1,E2,plant stem tissue,13C,1.49,2031204,700365,H
BO-004-G1-005-8L-3,-29.14,1052.64,,Nemo-2023-BO-1,E3,plant stem tissue,13C,3.22,2031205,700366,H
BO-013-G1-005-8R-1,-30.62,785.87,,Nemo-2023-BO-1,E4,plant stem tissue,13C,3.07,2031206,700367,H
BO-124-G1-005-9L-1,-30.56,644.63,,Nemo-2023-BO-1,E5,plant stem tissue,13C,2.15,2031207,700368,H
BO-094-G2-005-13L-3,-29.54,836.08,,Nemo-2023-BO-1,E6,plant stem tissue,13C,2.69,2031208,700369,H
BO-078-G1-005-16R-5,-30.74,757.62,,Nemo-2023-BO-1,E7,plant stem tissue,13C,2.96,2031209,700370,H
BO-152-G1-005-18L-2,-31.85,1535.98,,Nemo-2023-BO-1,E8,plant stem tissue,13C,4.59,2031210,700371,H
BO-086-G2-005-18R-5,-30.69,767.03,,Nemo-2023-BO-1,E9,plant stem tissue,13C,3.16,2031211,700372,H
BO-124-G1-005-20L-2,-28.57,2094.64,,Nemo-2023-BO-1,E10,plant stem tissue,13C,5.53,2031212,700373,H
BO-019-G1-005-22L-3,-28.40,1240.95,,Nemo-2023-BO-1,E11,plant stem tissue,13C,3.71,2031213,700374,H
BO-185-G1-006-1R-3,-30.08,625.80,,Nemo-2023-BO-1,E12,plant stem tissue,13C,2.35,2031214,700375,H
BO-056-G1-006-2L-5,-31.67,559.89,,Nemo-2023-BO-1,F1,plant stem tissue,13C,2.49,2031215,700379,H
BO-067-G2-006-2R-1,-30.23,729.37,,Nemo-2023-BO-1,F2,plant stem tissue,13C,1.77,2031216,700380,H
BO-022-G1-006-3L-1,-31.67,1733.71,,Nemo-2023-BO-1,F3,plant stem tissue,13C,5.16,2031217,700381,H
BO-089-G1-006-3R-5,-30.99,1065.20,,Nemo-2023-BO-1,F4,plant stem tissue,13C,3.19,2031218,700382,H
BO-158-G1-006-4L-1,-27.84,1501.45,,Nemo-2023-BO-1,F5,plant stem tissue,13C,4.77,2031219,700383,H
BO-182-G1-006-4R-5,-28.94,638.35,,Nemo-2023-BO-1,F6,plant stem tissue,13C,1.44,2031220,700384,H
