Sample ID,δ13CVPDB (‰),Total C (µg),C Comment,Tray Name,Well Id,Type of Material,Analysis,Sample Weight (mg) from Sample List,Internal ID,Analysis Number,Mass Spec
HR-027-G2-001-1L-4,-29.56,416.64,,Nemo2023HR1,A1,plant stem tissue,13C,1.19,2016190,699131,H
HR-010-G1-001-1R-4,-29.88,374.17,,Nemo2023HR1,A2,plant stem tissue,13C,1.17,2016191,699132,H
HR-051-G1-001-2L-5,-30.00,1467.20,,Nemo2023HR1,A3,plant stem tissue,13C,4.06,2016192,699133,H
HR-044-G2-001-2R-2,-30.97,1272.91,,Nemo2023HR1,A4,plant stem tissue,13C,3.74,2016193,699134,H
HR-178-G2-001-3L-4,-30.53,1451.87,,Nemo2023HR1,A5,plant stem tissue,13C,3.58,2016194,699135,H
HR-108-G2-001-3R-1,-29.87,1207.62,,Nemo2023HR1,A6,plant stem tissue,13C,3.28,2016195,699136,H
HR-036-G1-001-4L-4,-29.89,759.21,,Nemo2023HR1,A7,plant stem tissue,13C,2.28,2016196,699137,H
HR-121-G2-001-4R-3,-31.15,527.26,,Nemo2023HR1,A8,plant stem tissue,13C,1.89,2016197,699138,H
HR-134-G1-001-5R-4,-30.89,1546.69,,Nemo2023HR1,A9,plant stem tissue,13C,4.2,2016198,699139,H
HR-124-G2-001-6R-3,-30.31,1561.93,,Nemo2023HR1,A10,plant stem tissue,13C,4.78,2016199,699140,H
HR-179-G1-001-7R-3,-30.81,861.31,,Nemo2023HR1,A11,plant stem tissue,13C,2.21,2016200,699141,H
HR-196-G1-001-8L-3,-30.93,592.00,,Nemo2023HR1,A12,plant stem tissue,13C,1.61,2016201,699142,H
HR-005-G1-001-8R-1,-31.37,1272.91,,Nemo2023HR1,B1,plant stem tissue,13C,4.08,2016202,699149,H
HR-095-G1-001-9L-4,-31.01,1341.02,,Nemo2023HR1,B2,plant stem tissue,13C,4.22,2016203,699150,H
HR-019-G1-001-10L-5,-31.83,1653.06,,Nemo2023HR1,B3,plant stem tissue,13C,4.49,2016204,699151,H
HR-111-G2-001-10R-4,-31.12,870.85,,Nemo2023HR1,B4,plant stem tissue,13C,2.52,2016205,699152,H
HR-047-G1-001-11L-4,-30.73,383.98,,Nemo2023HR1,B5,plant stem tissue,13C,1.06,2016206,699153,H
HR-042-G1-001-12R-2,-29.47,1522.28,,Nemo2023HR1,B6,plant stem tissue,13C,4.73,2016207,699154,H
HR-086-G2-001-13L-4,-30.64,695.09,,Nemo2023HR1,B7,plant stem tissue,13C,2.48,2016208,699155,H
HR-111-G2-001-13R-1,-30.46,1494.76,,Nemo2023HR1,B8,plant stem tissue,13C,4.24,2016209,699156,H
HR-044-G2-001-15L-3,-31.64,1313.19,,Nemo2023HR1,B9,plant stem tissue,13C,3.66,2016210,699157,H
HR-107-G2-001-15R-5,-30.69,354.53,,Nemo2023HR1,B10,plant stem tissue,13C,1.43,2016211,699158,H
HR-156-G2-001-17L-3,-30.88,691.88,,Nemo2023HR1,B11,plant stem tissue,13C,2.26,2016212,699159,H
HR-071-G1-001-18L-5,-30.12,653.28,,Nemo2023HR1,B12,plant stem tissue,13C,1.3,2016213,699160,H
HR-137-G1-001-18R-4,-29.60,1035.37,,Nemo2023HR1,C1,plant stem tissue,13C,2.76,2016214,699165,H
HR-105-G1-001-14R-1,-31.30,691.88,,Nemo2023HR1,C2,plant stem tissue,13C,1.9,2016215,699166,H
HR-047-G1-001-22L-3,-30.35,880.39,,Nemo2023HR1,C3,plant stem tissue,13C,2.53,2016216,699167,H
HR-169-G2-001-23L-5,-31.52,1716.54,,Nemo2023HR1,C4,plant stem tissue,13C,4.54,2016217,699168,H
HR-032-G2-001-23R-5,-30.59,1201.38,,Nemo2023HR1,C5,plant stem tissue,13C,3.78,2016218,699169,H
HR-118-G2-001-25L-5,-30.17,1269.80,,Nemo2023HR1,C6,plant stem tissue,13C,3.6,2016219,699170,H
HR-020-G2-001-25R-5,-30.46,367.62,,Nemo2023HR1,C7,plant stem tissue,13C,1.18,2016220,699171,H
HR-135-G1-001-26L-4,-31.10,800.77,,Nemo2023HR1,C8,plant stem tissue,13C,1.87,2016221,699172,H
HR-070-G1-001-27R-2,-31.27,1047.96,,Nemo2023HR1,C9,plant stem tissue,13C,3.72,2016222,699173,H
HR-136-G1-001-29L-1,-30.61,1069.96,,Nemo2023HR1,C10,plant stem tissue,13C,2.87,2016223,699174,H
HR-119-G1-001-30L-3,-31.60,816.72,,Nemo2023HR1,C11,plant stem tissue,13C,1.69,2016224,699175,H
HR-072-G2-001-30R-1,-31.16,1047.96,,Nemo2023HR1,C12,plant stem tissue,13C,3,2016225,699176,H
HR-166-G2-001-31R-1,-30.25,656.50,,Nemo2023HR1,D1,plant stem tissue,13C,1.66,2016226,699180,H
HR-158-G1-001-32L-1,-31.68,445.99,,Nemo2023HR1,D2,plant stem tissue,13C,1.76,2016227,699181,H
HR-111-G1-001-32R-5,-32.00,1334.84,,Nemo2023HR1,D3,plant stem tissue,13C,4.15,2016228,699182,H
HR-179-G2-001-33L-3,-30.34,1003.86,,Nemo2023HR1,D4,plant stem tissue,13C,3,2016229,699183,H
HR-178-G1-001-33R-1,-30.98,794.38,,Nemo2023HR1,D5,plant stem tissue,13C,2.91,2016230,699184,H
HR-137-G2-001-34L-4,-30.97,1653.06,,Nemo2023HR1,D6,plant stem tissue,13C,5.27,2016231,699185,H
HR-068-G1-001-34R-5,-32.16,432.95,,Nemo2023HR1,D7,plant stem tissue,13C,1.65,2016232,699186,H
HR-127-G2-001-35R-3,-30.34,1887.49,,Nemo2023HR1,D8,plant stem tissue,13C,5.8,2016233,699187,H
HR-038-G2-001-36L-5,-30.27,720.77,,Nemo2023HR1,D9,plant stem tissue,13C,2.34,2016234,699188,H
HR-168-G2-001-38R-1,-31.05,1269.80,,Nemo2023HR1,D10,plant stem tissue,13C,3.22,2016235,699189,H
HR-156-G1-001-39L-2,-31.51,1543.64,,Nemo2023HR1,D11,plant stem tissue,13C,4.96,2016236,699190,H
HR-065-G1-001-40L-3,-31.90,468.78,,Nemo2023HR1,D12,plant stem tissue,13C,1.58,2016237,699191,H
HR-115-G1-001-40R-3,-30.61,617.83,,Nemo2023HR1,E1,plant stem tissue,13C,2.03,2016238,699198,H
HR-033-G1-001-41R-2,-31.15,579.07,,Nemo2023HR1,E2,plant stem tissue,13C,2.15,2016239,699199,H
HR-184-G2-001-42L-4,-31.40,1537.54,,Nemo2023HR1,E3,plant stem tissue,13C,4.38,2016240,699200,H
HR-135-G1-001-42R-4,-31.05,740.00,,Nemo2023HR1,E4,plant stem tissue,13C,2.43,2016241,699201,H
HR-101-G2-001-44L-3,-29.81,475.29,,Nemo2023HR1,E5,plant stem tissue,13C,0.85,2016242,699202,H
HR-018-G1-001-44R-5,-30.38,781.60,,Nemo2023HR1,E6,plant stem tissue,13C,2.66,2016243,699203,H
HR-037-G2-001-45L-3,-30.45,585.54,,Nemo2023HR1,E7,plant stem tissue,13C,2.28,2016244,699204,H
HR-071-G1-001-45R-4,-29.41,978.60,,Nemo2023HR1,E8,plant stem tissue,13C,3.4,2016245,699205,H
HR-059-G1-002-1L-3,-27.39,1294.61,,Nemo2023HR1,E9,plant stem tissue,13C,3.26,2016246,699206,H
HR-139-G2-002-1R-5,-29.93,1631.85,,Nemo2023HR1,E10,plant stem tissue,13C,4.31,2016247,699207,H
HR-114-G1-002-2L-5,-30.51,1182.67,,Nemo2023HR1,E11,plant stem tissue,13C,2.94,2016248,699208,H
HR-053-G2-002-2R-3,-31.42,733.59,,Nemo2023HR1,E12,plant stem tissue,13C,2.11,2016249,699209,H
HR-146-G2-002-3L-1,-27.92,1716.54,,Nemo2023HR1,F1,plant stem tissue,13C,5.67,2016250,699213,H
HR-182-G1-002-3R-1,-30.28,1210.73,,Nemo2023HR1,F2,plant stem tissue,13C,3.89,2016251,699214,H
HR-156-G1-002-4L-2,-31.62,1371.89,,Nemo2023HR1,F3,plant stem tissue,13C,4.2,2016252,699215,H
HR-026-G2-002-4R-3,-29.97,1135.80,,Nemo2023HR1,F4,plant stem tissue,13C,3.71,2016253,699216,H
HR-152-G2-002-5L-2,-29.99,1073.10,,Nemo2023HR1,F5,plant stem tissue,13C,3.18,2016254,699217,H
HR-009-G1-002-5R-3,-30.87,874.03,,Nemo2023HR1,F6,plant stem tissue,13C,3.09,2016255,699218,H
HR-058-G2-002-6L-5,-29.94,1135.80,,Nemo2023HR1,F7,plant stem tissue,13C,2.75,2016256,699219,H
HR-036-G2-002-6R-4,-30.43,1577.16,,Nemo2023HR1,F8,plant stem tissue,13C,4.11,2016257,699220,H
HR-145-G1-002-7L-1,-31.03,1176.43,,Nemo2023HR1,F9,plant stem tissue,13C,2.66,2016258,699221,H
HR-126-G2-002-7R-4,-31.70,1396.54,,Nemo2023HR1,F10,plant stem tissue,13C,3.4,2016259,699222,H
HR-049-G2-002-8L-2,-30.74,1285.31,,Nemo2023HR1,F11,plant stem tissue,13C,4.26,2016260,699223,H
HR-155-G1-002-8R-3,-31.32,1809.75,,Nemo2023HR1,F12,plant stem tissue,13C,5.93,2016261,699224,H
HR-169-G1-002-9L-4,-31.10,1032.22,,Nemo2023HR1,G1,plant stem tissue,13C,2.6,2016262,699229,H
HR-179-G2-002-9R-3,-30.94,459.02,,Nemo2023HR1,G2,plant stem tissue,13C,1.72,2016263,699230,H
HR-153-G1-002-10R-2,-30.91,1151.44,,Nemo2023HR1,G3,plant stem tissue,13C,3.18,2016264,699231,H
HR-088-G2-002-13R-3,-31.55,950.15,,Nemo2023HR1,G4,plant stem tissue,13C,2.35,2016265,699232,H
HR-035-G1-002-14R-4,-31.45,1622.75,,Nemo2023HR1,G5,plant stem tissue,13C,4.65,2016266,699233,H
HR-105-G1-002-15L-2,-31.74,1126.41,,Nemo2023HR1,G6,plant stem tissue,13C,3.46,2016267,699234,H
HR-026-G1-002-16L-1,-30.74,439.47,,Nemo2023HR1,G7,plant stem tissue,13C,1.98,2016268,699235,H
HR-019-G2-002-16R-3,-30.79,956.48,,Nemo2023HR1,G8,plant stem tissue,13C,2.98,2016269,699236,H
HR-168-G2-002-17R-4,-31.06,1337.93,,Nemo2023HR1,G9,plant stem tissue,13C,3.77,2016270,699237,H
HR-021-G1-002-19L-3,-30.04,1564.98,,Nemo2023HR1,G10,plant stem tissue,13C,4.53,2016271,699238,H
HR-067-G2-002-20R-3,-29.60,740.00,,Nemo2023HR1,G11,plant stem tissue,13C,2.63,2016272,699239,H
HR-145-G2-002-21L-2,-30.69,1041.66,,Nemo2023HR1,G12,plant stem tissue,13C,2.17,2016273,699240,H
HR-068-G2-002-22L-4,-30.49,1881.53,,Nemo2023HR1,H1,plant stem tissue,13C,5.5,2016274,699247,H
HR-153-G1-002-22R-5,-30.82,778.40,,Nemo2023HR1,H2,plant stem tissue,13C,2.26,2016275,699248,H
HR-044-G1-002-23L-5,-30.82,1650.04,,Nemo2023HR1,H3,plant stem tissue,13C,4.3,2016276,699249,H
HR-149-G2-002-23R-1,-31.10,762.41,,Nemo2023HR1,H4,plant stem tissue,13C,2.79,2016277,699250,H
HR-010-G1-002-24L-3,-30.01,1467.20,,Nemo2023HR1,H5,plant stem tissue,13C,4.44,2016278,699251,H
HR-015-G2-002-24R-4,-29.07,1616.68,,Nemo2023HR1,H6,plant stem tissue,13C,4.2,2016279,699252,H
HR-065-G2-002-25L-4,-30.18,1251.17,,Nemo2023HR1,H7,plant stem tissue,13C,3.64,2016280,699253,H
HR-174-G1-002-25R-5,-29.59,1746.67,,Nemo2023HR1,H8,plant stem tissue,13C,4.41,2016281,699254,H
HR-065-G1-002-26L-2,-30.36,1129.55,,Nemo2023HR1,H9,plant stem tissue,13C,2.95,2016282,699255,H
HR-175-G1-002-26R-1,-31.75,1411.93,,Nemo2023HR1,H10,plant stem tissue,13C,3.36,2016283,699256,H
