Year,Gen,Transect,Sequence,Donor,Recipient,Plant_ID,F_plant,sample_ID_SEG,SegPos,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,F_Num_01,F_Num_02,F_Num_03,skel_dryweight_mg,skel_dryweight_mg_SEG,closed_fruits,open_fruits,filled_seeds,total_seeds,total_fruits,mean_seeds_per_fruit,est_fecundity,msm_all,corolla_diam_mm,photo_date,corolla_diam_mm_SEG,photo_date_SEG,leaf_area_mm2,leaf_dryweight_mg,leaf_area_mm2_SEG,leaf_dryweight_mg_SEG,SLA_SEG,SLA,LMA_SEG,LMA,d13C,sample_weight_mg,d13C_SEG,sample_weight_mg_SEG,surv_to_flower,surv_to_fruitprod,prod_closed_fruits,prod_filled_seeds,Cohort,Block,Replicated,Rep_FitP,any_FitP,F_plant_ID,F_multi,Germ_Date,days_germ2flower,corolla_area_mm2,corolla_area_mm2_SEG,nonfitness_fruits,sd_msm_all,est_fecundity_int,surv_to_germ
2023,G1,1,1,AC_089,AC_057,1,FALSE,AC-057-G1-001-1L,1L,2022-10-17,2022-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-32.86,4.07,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,1,1,AC_089,AC_057,2,TRUE,AC-057-G1-001-1L,1L,2022-10-17,2022-10-21,2024-05-12,573,569,2024-05-26,14,NA,1900-01-01,NA,7.72,7.72,4,0,3,3,4,0.75,3,2.216666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-32.86,4.07,-32.86,4.07,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,1,1,AC_089,AC_057,3,FALSE,AC-057-G1-001-1L,1L,2022-10-17,2022-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-32.86,4.07,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,1,1,AC_089,AC_057,4,FALSE,AC-057-G1-001-1L,1L,2022-10-17,2022-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-32.86,4.07,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,1,1,AC_089,AC_057,5,FALSE,AC-057-G1-001-1L,1L,2022-10-17,2022-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-32.86,4.07,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,1,1,AC_107,AC_130,1,FALSE,AC-130-G2-001-1R,1R,2022-10-17,2022-10-21,2024-05-12,573,569,2024-05-12,0,NA,NA,NA,NA,20.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.613,2023-04-28,47.806,2.77,47.806,2.77,17.258483754512635,17.258483754512635,0.05794251767560557,0.05794251767560557,NA,NA,-31.91,3.95,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,1,1,AC_107,AC_130,2,TRUE,AC-130-G2-001-1R,1R,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-12,14,NA,NA,NA,20.93,20.93,4,0,7,14,4,1.75,7,1.888571429,22.613,2023-04-28,22.613,2023-04-28,NA,NA,47.806,2.77,17.258483754512635,NA,0.05794251767560557,NA,-31.91,3.95,-31.91,3.95,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,1,1,AC_107,AC_130,3,FALSE,AC-130-G2-001-1R,1R,2022-10-17,2022-10-21,2024-05-12,573,569,2024-05-12,0,NA,NA,NA,NA,20.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.613,2023-04-28,NA,NA,47.806,2.77,17.258483754512635,NA,0.05794251767560557,NA,NA,NA,-31.91,3.95,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,1,1,AC_107,AC_130,4,FALSE,AC-130-G2-001-1R,1R,2022-10-17,2022-10-21,2024-05-12,573,569,2024-05-12,0,NA,NA,NA,NA,20.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.613,2023-04-28,NA,NA,47.806,2.77,17.258483754512635,NA,0.05794251767560557,NA,NA,NA,-31.91,3.95,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,1,1,AC_107,AC_130,5,FALSE,AC-130-G2-001-1R,1R,2022-10-17,2022-10-21,2024-05-12,573,569,2024-05-12,0,NA,NA,NA,NA,20.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.613,2023-04-28,NA,NA,47.806,2.77,17.258483754512635,NA,0.05794251767560557,NA,NA,NA,-31.91,3.95,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,1,2,AC_102,AC_191,1,FALSE,AC-191-G2-001-2R,2R,2022-10-17,2022-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.178,2023-05-12,NA,NA,73.723,2.76,26.711231884057973,NA,0.03743743472186427,NA,NA,NA,-31.42,1.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,1,2,AC_102,AC_191,2,FALSE,AC-191-G2-001-2R,2R,2022-10-17,2022-10-21,2024-05-12,573,569,2024-05-26,14,NA,NA,NA,3.41,3.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.178,2023-05-12,NA,NA,73.723,2.76,26.711231884057973,NA,0.03743743472186427,NA,-31.42,1.8,-31.42,1.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,1,2,AC_102,AC_191,3,FALSE,AC-191-G2-001-2R,2R,2022-10-17,2022-10-21,2024-05-12,573,569,2024-05-12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.178,2023-05-12,NA,NA,73.723,2.76,26.711231884057973,NA,0.03743743472186427,NA,NA,NA,-31.42,1.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,1,2,AC_102,AC_191,4,FALSE,AC-191-G2-001-2R,2R,2022-10-17,2022-10-21,2024-05-12,573,569,2024-05-12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.178,2023-05-12,73.723,2.76,73.723,2.76,26.711231884057973,26.711231884057973,0.03743743472186427,0.03743743472186427,NA,NA,-31.42,1.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,1,2,AC_102,AC_191,5,TRUE,AC-191-G2-001-2R,2R,2022-10-17,2022-10-21,2024-05-12,573,569,2024-05-12,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,22.178,2023-05-12,22.178,2023-05-12,NA,NA,73.723,2.76,26.711231884057973,NA,0.03743743472186427,NA,NA,NA,-31.42,1.8,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,1,2,AC_071,AC_215,1,FALSE,AC-215-G2-001-2L,2L,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-12,14,NA,NA,NA,NA,12.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.664,2023-04-28,NA,NA,71.264,3.2,22.269999999999996,NA,0.04490345756623261,NA,NA,NA,-32.2,2.19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,1,2,AC_071,AC_215,2,FALSE,AC-215-G2-001-2L,2L,2022-10-17,2022-10-21,2024-05-12,573,569,2024-05-12,0,NA,NA,NA,NA,12.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.664,2023-04-28,NA,NA,71.264,3.2,22.269999999999996,NA,0.04490345756623261,NA,NA,NA,-32.2,2.19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,1,2,AC_071,AC_215,3,FALSE,AC-215-G2-001-2L,2L,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-12,14,NA,NA,NA,NA,12.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.664,2023-04-28,71.264,3.2,71.264,3.2,22.269999999999996,22.269999999999996,0.04490345756623261,0.04490345756623261,NA,NA,-32.2,2.19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,1,2,AC_071,AC_215,4,FALSE,AC-215-G2-001-2L,2L,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-12,14,NA,NA,NA,NA,12.06,NA,NA,NA,NA,NA,NA,NA,NA,21.664,2023-04-28,21.664,2023-04-28,NA,NA,71.264,3.2,22.269999999999996,NA,0.04490345756623261,NA,NA,NA,-32.2,2.19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,1,2,AC_071,AC_215,5,TRUE,AC-215-G2-001-2L,2L,2022-10-17,2022-10-21,2024-05-12,573,569,2024-05-12,0,NA,NA,NA,12.06,12.06,1,0,0,0,1,0,0,NA,NA,NA,21.664,2023-04-28,NA,NA,71.264,3.2,22.269999999999996,NA,0.04490345756623261,NA,-32.2,2.19,-32.2,2.19,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,1,3,AC_089,AC_032,1,FALSE,AC-032-G1-001-3R,3R,2022-10-17,2022-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.885,2023-04-28,NA,NA,74.933,4.3,17.426279069767443,NA,0.05738459690656986,NA,NA,NA,-31.63,5.47,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,1,3,AC_089,AC_032,2,TRUE,AC-032-G1-001-3R,3R,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-12,14,NA,NA,NA,59.42,59.42,8,1,20,35,9,2.5,22.5,2.106666667,23.885,2023-04-28,23.885,2023-04-28,NA,NA,74.933,4.3,17.426279069767443,NA,0.05738459690656986,NA,-31.63,5.47,-31.63,5.47,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,1,3,AC_089,AC_032,3,FALSE,AC-032-G1-001-3R,3R,2022-10-17,2022-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.885,2023-04-28,NA,NA,74.933,4.3,17.426279069767443,NA,0.05738459690656986,NA,NA,NA,-31.63,5.47,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,1,3,AC_089,AC_032,4,FALSE,AC-032-G1-001-3R,3R,2022-10-17,2022-10-21,2024-04-28,559,555,2024-05-12,14,NA,NA,NA,NA,59.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.885,2023-04-28,NA,NA,74.933,4.3,17.426279069767443,NA,0.05738459690656986,NA,NA,NA,-31.63,5.47,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G1,1,3,AC_089,AC_032,5,FALSE,AC-032-G1-001-3R,3R,2022-10-17,2022-10-21,2024-05-12,573,569,2024-05-12,0,NA,NA,NA,NA,59.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.885,2023-04-28,74.933,4.3,74.933,4.3,17.426279069767443,17.426279069767443,0.05738459690656986,0.05738459690656986,NA,NA,-31.63,5.47,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,G2,1,3,AC_091,AC_189,1,FALSE,AC-189-G2-001-3L,3L,2022-10-17,2022-10-21,2024-05-12,573,569,2024-05-12,0,NA,NA,NA,NA,7.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.132,2023-04-28,NA,NA,53.101,2.86,18.566783216783215,NA,0.05385962599574395,NA,NA,NA,-32.94,3.02,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
