Year,Sequence,Cohort,Block,Transect,Donor,Recipient,Gen,Replicated,Plant_ID,F_plant,Rep_FitP,any_FitP,F_plant_ID,F_multi,Germ_Date,Sow_Date,Plant_Date,FFD,LFD,fl_duration,days_germ2flower,days_sow2flower,days_plant2flower,corolla_diam_mm,corolla_diam_mm_SEG,corolla_area_mm2,corolla_area_mm2_SEG,leaf_area_mm2,leaf_dryweight_mg,SLA,LMA,leaf_area_mm2_SEG,leaf_dryweight_mg_SEG,Needed Area Redo,SLA_SEG,LMA_SEG,skel_dryweight_mg,skel_dryweight_mg_SEG,d13C,d13C_SEG,sample_weight_mg,closed_fruits,open_fruits,total_fruits,nonfitness_fruits,filled_seeds,msm_all,sd_msm_all,mean_seeds_per_fruit,est_fecundity,est_fecundity_int,surv_to_germ,surv_to_flower,surv_to_fruitprod,prod_closed_fruits,prod_filled_seeds
2022,1,3,1,1,HR_008,HR_058,G1,n,1,FALSE,FALSE,FALSE,2,2,2021-12-06,2021-11-10,2021-11-19,2022-03-24,2022-04-26,33,108,134,125,NA,22.031,NA,288.273,NA,NA,NA,NA,33.764,1.54,NA,21.924675324675327,0.045610709631560234,NA,123.09,NA,-29.94,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,1,NA,NA,NA
2022,1,3,1,1,HR_008,HR_058,G1,n,2,TRUE,FALSE,TRUE,2,2,2021-12-06,2021-11-10,2021-11-19,2022-03-31,2022-04-26,26,115,141,132,22.031,22.031,288.273,288.273,NA,NA,NA,NA,33.764,1.54,NA,21.924675324675327,0.045610709631560234,123.09,123.09,-29.94,-29.94,2.7,28,1,29,1,11,3.784583333333333,0.8262491945421074,0.39285714285714285,11.392857142857142,11,1,1,1,1,1
2022,1,3,1,1,HR_008,HR_058,G1,n,3,FALSE,FALSE,FALSE,2,2,2021-12-06,2021-11-10,2021-11-19,2022-03-31,2022-04-26,26,115,141,132,NA,22.031,NA,288.273,NA,NA,NA,NA,33.764,1.54,NA,21.924675324675327,0.045610709631560234,NA,123.09,NA,-29.94,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,1,NA,NA,NA
2022,1,3,1,1,HR_008,HR_058,G1,n,4,FALSE,FALSE,FALSE,2,2,2021-12-06,2021-11-10,2021-11-19,2022-03-24,2022-04-26,33,108,134,125,NA,22.031,NA,288.273,NA,NA,NA,NA,33.764,1.54,NA,21.924675324675327,0.045610709631560234,NA,123.09,NA,-29.94,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,1,NA,NA,NA
2022,1,3,1,1,HR_008,HR_058,G1,n,5,FALSE,FALSE,FALSE,2,2,2021-12-17,2021-11-10,2021-11-19,2022-03-31,2022-04-26,26,104,141,132,NA,22.031,NA,288.273,NA,NA,NA,NA,33.764,1.54,NA,21.924675324675327,0.045610709631560234,NA,123.09,NA,-29.94,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,1,NA,NA,NA
2022,1,3,1,1,HR_008,HR_058,G1,n,6,FALSE,FALSE,FALSE,2,2,2021-12-17,2021-11-10,2021-11-19,2022-03-24,2022-04-26,33,97,134,125,NA,22.031,NA,288.273,NA,NA,NA,NA,33.764,1.54,NA,21.924675324675327,0.045610709631560234,NA,123.09,NA,-29.94,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,1,NA,NA,NA
2022,1,3,1,1,HR_008,HR_058,G1,n,7,FALSE,FALSE,FALSE,2,2,2021-12-06,2021-11-10,2021-11-19,2022-03-24,2022-04-26,33,108,134,125,21.319,22.031,261.976,288.273,NA,NA,NA,NA,33.764,1.54,NA,21.924675324675327,0.045610709631560234,NA,123.09,NA,-29.94,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,1,NA,NA,NA
2022,1,3,1,1,HR_008,HR_058,G1,n,8,FALSE,FALSE,FALSE,2,2,2021-12-06,2021-11-10,2021-11-19,2022-03-24,2022-04-26,33,108,134,125,NA,22.031,NA,288.273,33.764,1.54,21.924675324675327,0.045610709631560234,33.764,1.54,NA,21.924675324675327,0.045610709631560234,NA,123.09,NA,-29.94,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,1,NA,NA,NA
2022,2,3,1,1,HR_196,HR_183,G1,n,1,FALSE,FALSE,FALSE,2,2,2021-12-06,2021-11-10,2021-11-19,2022-03-31,2022-04-26,26,115,141,132,NA,19.275,NA,233.033,NA,NA,NA,NA,35.62,2.36,NA,15.09322033898305,0.06625491297024144,NA,NA,NA,-29.64,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,1,NA,NA,NA
2022,2,3,1,1,HR_196,HR_183,G1,n,2,TRUE,FALSE,TRUE,2,2,2021-12-06,2021-11-10,2021-11-19,2022-03-31,2022-04-26,26,115,141,132,19.275,19.275,233.033,233.033,NA,NA,NA,NA,35.62,2.36,NA,15.09322033898305,0.06625491297024144,NA,NA,-29.64,-29.64,3.12,16,0,16,1,11,3.638095238095238,1.284121500174685,0.6875,11,11,1,1,1,1,1
